Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,9,Max Holmes,1,Geelong,25,25,15,15,40,40,6,6,0,0,5,5,1,0,0,0,2,2,146,146
2,4,Brodie Grundy,1,Sydney,12,12,7,7,19,19,5,5,51,51,6,6,1,3,1,1,1,7,139,139
3,44,Tim English,1,Western Bulldogs,13,13,7,7,20,20,5,5,31,31,9,9,2,0,0,0,2,2,139,139
4,22,Nick Blakey,1,Sydney,31,31,3,3,34,34,10,10,0,0,2,2,1,2,0,0,1,1,133,133
5,8,Matthew Kennedy,1,Western Bulldogs,17,17,12,12,29,29,6,6,0,0,8,8,1,0,1,1,0,6,132,132
6,7,Josh Daicos,1,Collingwood,25,25,9,9,34,34,11,11,0,0,2,2,0,2,0,0,0,0,128,128
7,29,George Hewett,1,Carlton,14,14,15,15,29,29,5,5,0,0,9,9,2,0,0,0,0,0,125,125
8,11,Max Gawn,1,Melbourne,13,13,7,7,20,20,6,6,43,43,3,3,1,2,0,0,1,1,122,122
9,12,Tom De Koning,1,Carlton,12,12,11,11,23,23,5,5,29,29,3,3,3,1,1,1,1,7,121,121
10,1,Connor Rozee,1,Port Adelaide,17,17,11,11,28,28,7,7,0,0,6,6,0,2,1,1,3,9,121,121
11,17,Lloyd Meek,1,Hawthorn,7,7,8,8,15,15,5,5,48,48,6,6,1,2,0,0,1,1,120,120
12,3,Harry Sheezel,1,North Melbourne,13,13,15,15,28,28,7,7,0,0,7,7,0,0,0,0,1,1,119,119
13,8,Will Ashcroft,1,Brisbane Lions,13,13,18,18,31,31,4,4,0,0,7,7,1,1,0,0,0,0,113,113
14,15,Sam Docherty,1,Carlton,21,21,5,5,26,26,13,13,0,0,0,0,0,0,0,0,0,0,112,112
15,31,Bailey Dale,1,Western Bulldogs,22,22,8,8,30,30,6,6,0,0,3,3,0,0,0,0,0,0,112,112
16,38,Tristan Xerri,1,North Melbourne,8,8,14,14,22,22,0,0,37,37,6,6,1,1,0,0,0,0,111,111
17,38,Jeremy Howe,1,Collingwood,21,21,5,5,26,26,5,5,0,0,5,5,3,0,0,0,0,0,111,111
18,44,Tom Stewart,1,Geelong,21,21,2,2,23,23,14,14,0,0,0,0,1,0,0,0,0,0,110,110
19,14,Callum Mills,1,Sydney,16,16,9,9,25,25,9,9,0,0,4,4,1,0,0,0,0,0,110,110
20,6,Jye Caldwell,1,Essendon,16,16,10,10,26,26,2,2,0,0,8,8,1,1,1,1,0,6,110,110
21,12,Jordan Dawson,1,Adelaide,12,12,6,6,18,18,4,4,0,0,11,11,2,1,1,1,0,6,109,109
22,4,Oliver Hollands,1,Carlton,16,16,7,7,23,23,10,10,0,0,4,4,1,0,0,0,0,0,109,109
23,10,Scott Pendlebury,1,Collingwood,13,13,16,16,29,29,10,10,0,0,2,2,0,0,0,0,0,0,109,109
24,13,Clayton Oliver,1,Melbourne,16,16,14,14,30,30,1,1,0,0,7,7,2,0,0,0,0,0,109,109
25,12,Tom Green,1,GWS Giants,16,16,15,15,31,31,5,5,0,0,4,4,0,0,0,0,0,0,109,109
26,14,Jake Soligo,1,Adelaide,10,10,9,9,19,19,2,2,0,0,13,13,2,0,0,0,0,0,108,108
27,44,Jack Buckley,1,GWS Giants,17,17,7,7,24,24,12,12,0,0,2,2,2,1,0,0,0,0,108,108
28,32,Gryan Miers,1,Geelong,21,21,5,5,26,26,5,5,0,0,3,3,2,0,1,1,0,6,108,108
29,3,Jai Newcombe,1,Hawthorn,19,19,8,8,27,27,3,3,0,0,6,6,2,2,1,1,0,6,108,108
30,7,Jarrod Berry,1,Brisbane Lions,19,19,9,9,28,28,8,8,0,0,3,3,0,1,0,0,0,0,108,108
31,5,Adam Cerra,1,Carlton,14,14,10,10,24,24,5,5,0,0,7,7,2,0,0,0,0,0,107,107
32,18,Matthew Rowell,1,Gold Coast,16,16,8,8,24,24,0,0,0,0,11,11,4,4,1,1,0,6,106,106
