Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,35,Nick Daicos,1,Collingwood,16,16,18,18,34,34,3,3,0,0,9,9,5,0,0,0,2,2,136,136
2,7,Zach Merrett,1,Essendon,15,15,22,22,37,37,8,8,0,0,5,5,0,0,0,0,1,1,134,134
3,9,Max Holmes,1,Geelong,22,22,10,10,32,32,6,6,0,0,7,7,1,2,1,1,0,6,133,133
4,1,Connor Rozee,1,Port Adelaide,20,20,8,8,28,28,7,7,0,0,4,4,0,0,2,2,1,13,126,126
5,18,Sam Walsh,1,Carlton,13,13,24,24,37,37,6,6,0,0,1,1,2,1,3,3,0,18,126,126
6,8,Andrew Brayshaw,1,Fremantle,12,12,19,19,31,31,2,2,0,0,10,10,3,0,0,0,0,0,123,123
7,37,Nic Martin,1,Essendon,18,18,10,10,28,28,11,11,0,0,2,2,0,0,1,1,0,6,121,121
8,29,George Hewett,1,Carlton,17,17,22,22,39,39,8,8,0,0,1,1,1,1,0,0,0,0,121,121
9,11,Max Gawn,1,Melbourne,7,7,15,15,22,22,4,4,49,49,2,2,1,1,0,0,0,0,118,118
10,3,Jai Newcombe,1,Hawthorn,14,14,15,15,29,29,7,7,0,0,4,4,3,0,1,1,0,6,118,118
11,15,Ed Langdon,1,Melbourne,19,19,6,6,25,25,12,12,0,0,1,1,1,1,1,1,0,6,113,113
12,21,Archie Roberts,1,Essendon,15,15,13,13,28,28,8,8,0,0,6,6,0,2,0,0,0,0,113,113
13,7,Lachlan Ash,1,GWS Giants,19,19,14,14,33,33,9,9,0,0,1,1,0,1,0,0,0,0,113,113
14,6,Hugh McCluggage,1,Brisbane Lions,15,15,17,17,32,32,3,3,0,0,6,6,1,1,0,0,1,1,111,111
15,12,Jy Simpkin,1,North Melbourne,13,13,11,11,24,24,6,6,0,0,4,4,3,0,2,2,0,12,110,110
16,40,Joel Jeffrey,1,Gold Coast,14,14,6,6,20,20,13,13,0,0,2,2,0,0,1,1,1,7,108,108
17,8,Callan Ward,1,GWS Giants,15,15,12,12,27,27,9,9,0,0,2,2,1,1,1,1,0,6,108,108
18,12,Tom Green,1,GWS Giants,15,15,13,13,28,28,5,5,1,1,6,6,3,2,0,0,0,0,108,108
19,35,Josh Treacy,1,Fremantle,10,10,1,1,11,11,8,8,1,1,3,3,1,0,6,6,1,37,107,107
20,23,Izak Rankine,1,Adelaide,16,16,9,9,25,25,5,5,0,0,4,4,1,1,2,2,0,12,107,107
21,4,Brodie Grundy,1,Sydney,3,3,20,20,23,23,2,2,37,37,5,5,0,2,0,0,0,0,106,106
22,9,Luke Davies-Uniacke,1,North Melbourne,17,17,9,9,26,26,7,7,0,0,4,4,0,1,0,0,3,3,106,106
23,35,Jack Sinclair,1,St Kilda,18,18,8,8,26,26,3,3,0,0,5,5,1,0,1,1,0,6,106,106
24,22,Steele Sidebottom,1,Collingwood,17,17,11,11,28,28,5,5,0,0,6,6,0,2,0,0,0,0,106,106
25,14,Darcy Cameron,1,Collingwood,11,11,9,9,20,20,5,5,24,24,3,3,5,1,0,0,1,1,105,105
26,9,Zak Butters,1,Port Adelaide,14,14,19,19,33,33,5,5,0,0,4,4,0,2,0,0,0,0,105,105
27,12,Will Setterfield,1,Essendon,13,13,8,8,21,21,3,3,0,0,10,10,0,0,0,0,0,0,104,104
28,5,Christian Petracca,1,Melbourne,13,13,14,14,27,27,6,6,0,0,5,5,0,1,0,0,2,2,104,104
29,44,Ned Long,1,Collingwood,13,13,16,16,29,29,4,4,0,0,6,6,0,1,0,0,0,0,104,104
30,17,Lloyd Meek,1,Hawthorn,4,4,9,9,13,13,0,0,30,30,7,7,3,0,2,2,0,12,103,103
31,4,Toby Greene,1,GWS Giants,15,15,2,2,17,17,6,6,0,0,2,2,0,1,5,5,1,31,103,103
32,15,Jayden Short,1,Richmond,20,20,5,5,25,25,8,8,0,0,2,2,1,0,0,0,0,0,103,103
33,5,Heath Chapman,1,Fremantle,18,18,8,8,26,26,10,10,0,0,1,1,2,1,0,0,0,0,103,103
34,10,Scott Pendlebury,1,Collingwood,12,12,14,14,26,26,3,3,0,0,8,8,1,1,0,0,0,0,103,103
35,19,Jack Gunston,1,Hawthorn,13,13,2,2,15,15,7,7,0,0,1,1,1,1,6,6,0,36,102,102
36,7,Nasiah Wanganeen-Milera,1,St Kilda,17,17,7,7,24,24,2,2,0,0,3,3,0,0,3,3,1,19,102,102
37,5,Isaac Heeney,1,Sydney,14,14,14,14,28,28,4,4,0,0,2,2,0,0,2,2,0,12,102,102
38,3,Bailey Smith,1,Geelong,24,24,11,11,35,35,1,1,0,0,1,1,1,2,1,1,0,6,102,102
39,2,Sam Draper,1,Essendon,12,12,10,10,22,22,5,5,26,26,2,2,2,2,0,0,0,0,101,101
40,5,Adam Cerra,1,Carlton,10,10,17,17,27,27,5,5,0,0,5,5,2,0,0,0,0,0,101,101
41,3,Caleb Serong,1,Fremantle,17,17,12,12,29,29,4,4,0,0,4,4,4,2,0,0,0,0,101,101
42,6,James Sicily,1,Hawthorn,12,12,8,8,20,20,11,11,0,0,1,1,1,1,2,2,1,13,100,100
