Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,7,Zach Merrett,2,Essendon,29,14.5,23,11.5,52,26,7,3.5,0,0,12,6,3,0,0,0,0,0,205,102.5
2,9,Dylan Shiel,2,Essendon,24,12,34,17,58,29,16,8,0,0,4,2,0,0,0,0,1,1,205,102.5
3,27,Mason Redman,2,Essendon,39,19.5,17,8.5,56,28,14,7,0,0,2,1,3,2,0,0,1,1,199,99.5
4,21,Archie Roberts,2,Essendon,33,16.5,24,12,57,28.5,7,3.5,0,0,7,3.5,4,5,0,0,0,0,185,92.5
5,8,Brayden Fiorini,2,Gold Coast,19,9.5,28,14,47,23.5,9,4.5,0,0,9,4.5,0,0,1,0.5,0,6,182,91
6,2,John Noble,2,Gold Coast,36,18,23,11.5,59,29.5,4,2,0,0,5,2.5,2,2,0,0,0,0,182,91
7,36,Angus Clarke,2,Essendon,27,13.5,21,10.5,48,24,15,7.5,0,0,1,0.5,2,0,0,0,0,0,174,87
8,27,Wil Powell,2,Gold Coast,23,11.5,21,10.5,44,22,12,6,0,0,6,3,2,2,1,0.5,0,6,173,86.5
9,18,Matthew Rowell,2,Gold Coast,19,9.5,33,16.5,52,26,2,1,0,0,11,5.5,2,6,2,1,1,13,170,85
10,28,Jarrod Witts,2,Gold Coast,5,2.5,18,9,23,11.5,3,1.5,82,41,6,3,3,2,1,0.5,0,6,169,84.5
11,10,Isaac Kako,2,Essendon,18,9,18,9,36,18,8,4,0,0,8,4,1,0,3,1.5,2,20,167,83.5
12,11,Touk Miller,2,Gold Coast,23,11.5,18,9,41,20.5,7,3.5,0,0,8,4,2,0,0,0,2,2,162,81
13,15,Noah Anderson,2,Gold Coast,28,14,27,13.5,55,27.5,3,1.5,0,0,1,0.5,2,3,3,1.5,0,18,162,81
14,38,Tristan Xerri,1,North Melbourne,12,12,13,13,25,25,3,3,35,35,12,12,6,2,0,0,0,0,154,154
15,9,Zak Butters,1,Port Adelaide,19,19,16,16,35,35,8,8,0,0,8,8,6,0,0,0,1,1,152,152
16,1,Andrew McGrath,2,Essendon,20,10,31,15.5,51,25.5,4,2,0,0,4,2,2,1,0,0,0,0,149,74.5
17,1,Connor Rozee,1,Port Adelaide,26,26,8,8,34,34,5,5,0,0,7,7,2,1,1,1,0,6,142,142
18,28,Xavier Duursma,2,Essendon,16,8,20,10,36,18,10,5,0,0,6,3,2,3,1,0.5,0,6,141,70.5
19,4,Marcus Bontempelli,1,Western Bulldogs,19,19,14,14,33,33,7,7,0,0,6,6,1,1,2,2,1,13,141,141
20,32,Bodhi Uwland,2,Gold Coast,21,10.5,15,7.5,36,18,13,6.5,0,0,3,1.5,2,2,0,0,0,0,140,70
21,34,Ben King,2,Gold Coast,13,6.5,0,0,13,6.5,8,4,0,0,3,1.5,2,0,10,5,2,62,139,69.5
22,22,Ben Long,2,Gold Coast,18,9,7,3.5,25,12.5,9,4.5,0,0,6,3,2,3,4,2,2,26,138,69
23,5,Josh Dunkley,1,Brisbane Lions,12,12,21,21,33,33,9,9,0,0,8,8,0,1,0,0,2,2,136,136
24,6,Hugh McCluggage,1,Brisbane Lions,16,16,16,16,32,32,7,7,0,0,4,4,2,0,2,2,2,14,133,133
25,21,Errol Gulden,1,Sydney,21,21,15,15,36,36,10,10,0,0,0,0,1,1,2,2,0,12,133,133
26,14,Lachie Weller,2,Gold Coast,21,10.5,22,11,43,21.5,6,3,0,0,2,1,1,1,0,0,1,1,132,66
27,11,Tom Papley,1,Sydney,19,19,8,8,27,27,8,8,0,0,4,4,2,1,3,3,1,19,131,131
28,6,Lachie Whitfield,1,GWS Giants,23,23,8,8,31,31,7,7,0,0,6,6,2,1,0,0,0,0,129,129
29,44,Tim English,1,Western Bulldogs,10,10,5,5,15,15,6,6,40,40,7,7,1,0,0,0,0,0,127,127
30,4,Kyle Langford,2,Essendon,15,7.5,12,6,27,13.5,8,4,0,0,6,3,0,1,2,1,0,12,126,63
31,9,Ben Ainsworth,2,Gold Coast,19,9.5,11,5.5,30,15,8,4,0,0,4,2,0,2,2,1,1,13,126,63
32,1,Mac Andrew,2,Gold Coast,17,8.5,17,8.5,34,17,12,6,0,0,3,1.5,2,4,0,0,1,1,124,62
33,41,Sam Banks,1,Richmond,23,23,7,7,30,30,10,10,0,0,2,2,2,1,0,0,1,1,121,121
34,16,Archie Perkins,2,Essendon,17,8.5,14,7,31,15.5,5,2.5,0,0,7,3.5,0,1,0,0,1,1,120,60
35,7,Riley Thilthorpe,1,Adelaide,15,15,3,3,18,18,12,12,6,6,2,2,2,1,3,3,2,20,120,120
36,30,Tom Atkins,1,Geelong,13,13,14,14,27,27,6,6,0,0,9,9,4,2,0,0,1,1,120,120
37,20,Peter Wright,2,Essendon,13,6.5,6,3,19,9.5,9,4.5,15,7.5,3,1.5,4,2,2,1,1,13,116,58
38,14,Callum Mills,1,Sydney,18,18,11,11,29,29,9,9,0,0,3,3,1,0,0,0,0,0,116,116
39,25,Jaxon Prior,2,Essendon,17,8.5,13,6.5,30,15,8,4,0,0,3,1.5,1,0,0,0,1,1,115,57.5
40,11,Max Gawn,1,Melbourne,10,10,13,13,23,23,7,7,25,25,2,2,5,0,0,0,0,0,115,115
41,19,Rowan Marshall,1,St Kilda,13,13,8,8,21,21,2,2,34,34,6,6,1,2,0,0,0,0,114,114
42,3,Harry Sheezel,1,North Melbourne,15,15,17,17,32,32,7,7,0,0,3,3,1,0,0,0,0,0,113,113
43,12,Jy Simpkin,1,North Melbourne,22,22,11,11,33,33,8,8,0,0,1,1,0,1,0,0,0,0,113,113
44,15,Jayden Short,1,Richmond,22,22,4,4,26,26,10,10,0,0,1,1,1,0,0,0,0,0,109,109
45,7,Lachlan Ash,1,GWS Giants,22,22,10,10,32,32,5,5,0,0,2,2,0,0,0,0,0,0,109,109
46,2,Ben Keays,1,Adelaide,9,9,10,10,19,19,5,5,0,0,6,6,2,0,3,3,2,20,108,108
47,3,Bailey Smith,1,Geelong,16,16,18,18,34,34,3,3,0,0,4,4,2,1,0,0,0,0,108,108
48,26,Luke Parker,1,North Melbourne,10,10,17,17,27,27,5,5,0,0,5,5,2,0,1,1,0,6,107,107
49,3,Dion Prestia,1,Richmond,11,11,18,18,29,29,7,7,0,0,2,2,0,1,2,2,0,12,107,107
50,17,Todd Goldstein,2,Essendon,9,4.5,12,6,21,10.5,6,3,29,14.5,4,2,4,4,0,0,0,0,106,53
Totals,,,76,,935,12.3,770,10.1,1705,22.4,379,5,266,3.5,244,3.2,94,63,51,0.7,30,336,6965,91.6
51,5,Jeremy Cameron,1,Geelong,15,15,5,5,20,20,7,7,0,0,1,1,1,1,4,4,4,28,106,106
52,1,Steven May,1,Melbourne,20,20,3,3,23,23,12,12,0,0,1,1,0,0,0,0,0,0,106,106
53,22,Darcy Wilson,1,St Kilda,11,11,12,12,23,23,4,4,0,0,2,2,2,1,5,5,0,30,106,106
54,9,Luke Davies-Uniacke,1,North Melbourne,16,16,15,15,31,31,3,3,0,0,3,3,1,0,1,1,0,6,106,106
55,29,George Hewett,1,Carlton,12,12,24,24,36,36,2,2,0,0,2,2,0,0,1,1,2,8,106,106
56,5,Alex Davies,2,Gold Coast,14,7,18,9,32,16,2,1,0,0,5,2.5,0,2,1,0.5,1,7,105,52.5
57,14,Rhylee West,1,Western Bulldogs,11,11,6,6,17,17,4,4,0,0,10,10,2,2,2,2,0,12,105,105
58,44,Tom Stewart,1,Geelong,20,20,3,3,23,23,9,9,0,0,3,3,3,1,0,0,0,0,105,105
59,31,Harris Andrews,1,Brisbane Lions,14,14,4,4,18,18,10,10,0,0,6,6,0,0,0,0,0,0,104,104
