Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,4,Brodie Grundy,1,Sydney,11,11,28,28,39,39,8,8,32,32,1,1,3,1,0,0,1,1,150,150
2,19,Rowan Marshall,1,St Kilda,15,15,9,9,24,24,6,6,32,32,5,5,2,0,1,1,1,7,142,142
3,9,Max Holmes,1,Geelong,25,25,10,10,35,35,7,7,0,0,2,2,0,0,2,2,0,12,136,136
4,7,Lachlan Ash,1,GWS Giants,25,25,11,11,36,36,12,12,0,0,2,2,0,2,0,0,0,0,135,135
5,9,Patrick Cripps,1,Carlton,18,18,18,18,36,36,3,3,0,0,9,9,2,1,0,0,0,0,134,134
6,44,Tim English,1,Western Bulldogs,16,16,4,4,20,20,11,11,22,22,0,0,3,0,2,2,3,15,129,129
7,12,Jordan Dawson,1,Adelaide,12,12,9,9,21,21,4,4,0,0,12,12,2,1,2,2,0,12,125,125
8,15,Noah Anderson,1,Gold Coast,19,19,19,19,38,38,5,5,0,0,4,4,0,1,0,0,0,0,123,123
9,22,Nick Blakey,1,Sydney,23,23,5,5,28,28,10,10,0,0,3,3,0,0,0,0,1,1,122,122
10,32,Gryan Miers,1,Geelong,18,18,12,12,30,30,4,4,0,0,6,6,1,0,1,1,1,7,122,122
11,29,George Hewett,1,Carlton,21,21,15,15,36,36,1,1,0,0,6,6,2,0,0,0,0,0,122,122
12,28,Willem Drew,1,Port Adelaide,15,15,9,9,24,24,5,5,0,0,10,10,1,0,0,0,1,1,120,120
13,16,Oliver Wines,1,Port Adelaide,11,11,21,21,32,32,4,4,0,0,8,8,3,1,0,0,0,0,119,119
14,6,Hugh McCluggage,1,Brisbane Lions,18,18,16,16,34,34,3,3,0,0,7,7,2,2,0,0,0,0,119,119
15,10,Colby McKercher,1,North Melbourne,28,28,8,8,36,36,8,8,0,0,1,1,0,5,1,1,0,6,119,119
16,6,Lachie Whitfield,1,GWS Giants,23,23,6,6,29,29,13,13,0,0,1,1,0,2,0,0,0,0,118,118
17,24,Jordon Sweet,1,Port Adelaide,6,6,10,10,16,16,2,2,53,53,5,5,1,1,0,0,2,2,117,117
18,3,Harry Sheezel,1,North Melbourne,17,17,16,16,33,33,5,5,0,0,3,3,1,0,1,1,0,6,117,117
19,5,Caleb Daniel,1,North Melbourne,19,19,13,13,32,32,8,8,0,0,2,2,0,0,0,0,0,0,115,115
20,21,Errol Gulden,1,Sydney,17,17,13,13,30,30,7,7,0,0,4,4,0,2,1,1,0,6,114,114
21,33,Aaron Naughton,1,Western Bulldogs,12,12,8,8,20,20,8,8,1,1,1,1,3,1,5,5,2,32,113,113
22,11,Max Gawn,1,Melbourne,8,8,13,13,21,21,8,8,29,29,1,1,3,1,1,1,0,6,113,113
23,7,Josh Daicos,1,Collingwood,21,21,8,8,29,29,4,4,0,0,5,5,1,0,0,0,1,1,113,113
24,3,Christian Salem,1,Melbourne,18,18,12,12,30,30,9,9,0,0,2,2,0,0,0,0,0,0,113,113
25,5,Josh Dunkley,1,Brisbane Lions,16,16,15,15,31,31,3,3,0,0,6,6,2,0,0,0,0,0,113,113
26,23,Ryan Maric,1,West Coast,20,20,9,9,29,29,4,4,0,0,4,4,0,0,1,1,0,6,112,112
27,3,Bailey Smith,1,Geelong,18,18,12,12,30,30,5,5,0,0,7,7,0,3,0,0,0,0,112,112
28,8,Will Ashcroft,1,Brisbane Lions,18,18,13,13,31,31,7,7,0,0,3,3,0,1,0,0,2,2,112,112
29,9,Lachie Neale,1,Brisbane Lions,16,16,20,20,36,36,4,4,0,0,3,3,0,0,0,0,0,0,112,112
30,9,Luke Jackson,1,Fremantle,7,7,20,20,27,27,1,1,18,18,6,6,4,2,1,1,0,6,110,110
31,7,Nasiah Wanganeen-Milera,1,St Kilda,24,24,12,12,36,36,3,3,0,0,1,1,0,1,0,0,2,2,108,108
32,17,Lloyd Meek,1,Hawthorn,7,7,10,10,17,17,3,3,44,44,5,5,2,3,0,0,0,0,107,107
33,8,Brayden Fiorini,1,Gold Coast,14,14,10,10,24,24,7,7,0,0,4,4,2,0,1,1,0,6,107,107
34,33,Shannon Neale,1,Geelong,10,10,5,5,15,15,7,7,4,4,6,6,1,1,3,3,1,19,106,106
35,18,Matthew Rowell,1,Gold Coast,10,10,17,17,27,27,3,3,0,0,9,9,2,2,0,0,1,1,106,106
36,27,Justin McInerney,1,Sydney,11,11,16,16,27,27,8,8,0,0,1,1,1,0,2,2,0,12,106,106
37,17,Lawson Humphries,1,Geelong,20,20,4,4,24,24,9,9,0,0,3,3,0,1,0,0,0,0,104,104
38,1,Mac Andrew,1,Gold Coast,14,14,10,10,24,24,11,11,0,0,0,0,2,0,1,1,0,6,103,103
39,41,Sam Banks,1,Richmond,21,21,5,5,26,26,5,5,0,0,3,3,3,0,0,0,0,0,103,103
