Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,35,Nick Daicos,1,Collingwood,28,28,15,15,43,43,4,4,0,0,7,7,2,0,1,1,0,6,162,162
2,7,Nasiah Wanganeen-Milera,1,St Kilda,26,26,10,10,36,36,8,8,0,0,4,4,2,1,2,2,2,14,151,151
3,7,Shaun Mannagh,1,Geelong,15,15,9,9,24,24,6,6,0,0,11,11,1,1,3,3,3,21,144,144
4,28,Alex Neal-Bullen,1,Adelaide,20,20,11,11,31,31,7,7,0,0,4,4,3,2,3,3,1,19,135,135
5,5,Josh Dunkley,1,Brisbane Lions,12,12,16,16,28,28,2,2,0,0,15,15,1,1,0,0,1,1,133,133
6,31,Bailey Dale,1,Western Bulldogs,25,25,8,8,33,33,8,8,0,0,3,3,0,0,0,0,1,1,128,128
7,2,Jacob Hopper,1,Richmond,13,13,20,20,33,33,6,6,0,0,4,4,2,0,2,2,0,12,127,127
8,4,Jarman Impey,1,Hawthorn,18,18,8,8,26,26,5,5,0,0,5,5,1,0,3,3,2,20,126,126
9,14,Tim Taranto,1,Richmond,15,15,15,15,30,30,5,5,0,0,4,4,2,1,3,3,1,19,124,124
10,3,Caleb Serong,1,Fremantle,21,21,16,16,37,37,3,3,0,0,3,3,1,0,1,1,0,6,123,123
11,9,Max Holmes,1,Geelong,22,22,10,10,32,32,7,7,0,0,4,4,1,1,0,0,0,0,121,121
12,9,Jack Steele,1,St Kilda,7,7,14,14,21,21,6,6,0,0,14,14,2,2,0,0,0,0,119,119
13,18,Matthew Rowell,1,Gold Coast,19,19,11,11,30,30,2,2,0,0,9,9,0,1,0,0,0,0,118,118
14,9,Harley Reid,1,West Coast,16,16,11,11,27,27,4,4,0,0,6,6,4,2,2,2,1,13,117,117
15,15,Blake Hardwick,1,Hawthorn,22,22,5,5,27,27,8,8,0,0,4,4,1,1,0,0,0,0,114,114
16,8,Will Ashcroft,1,Brisbane Lions,15,15,11,11,26,26,2,2,0,0,5,5,1,0,3,3,0,18,112,112
17,14,Liam Duggan,1,West Coast,18,18,13,13,31,31,9,9,0,0,2,2,0,1,0,0,0,0,112,112
18,25,Toby Nankervis,1,Richmond,11,11,6,6,17,17,4,4,34,34,6,6,1,4,1,1,0,6,110,110
19,12,Tom Green,1,GWS Giants,19,19,11,11,30,30,4,4,0,0,3,3,1,0,1,1,0,6,110,110
20,6,Lachie Whitfield,1,GWS Giants,19,19,10,10,29,29,9,9,0,0,2,2,0,1,0,0,0,0,109,109
21,35,Jack Sinclair,1,St Kilda,28,28,5,5,33,33,2,2,0,0,2,2,0,0,0,0,0,0,108,108
22,7,Lachlan Ash,1,GWS Giants,23,23,4,4,27,27,7,7,0,0,2,2,1,0,0,0,0,0,107,107
23,3,Sam Flanders,1,Gold Coast,11,11,17,17,28,28,9,9,0,0,1,1,2,0,1,1,1,7,107,107
24,22,Nick Blakey,1,Sydney,24,24,5,5,29,29,8,8,0,0,1,1,0,1,0,0,0,0,107,107
25,14,Darcy Cameron,1,Collingwood,11,11,9,9,20,20,8,8,32,32,0,0,2,1,0,0,0,0,106,106
