Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,5,Josh Dunkley,1,Brisbane Lions,7,7,13,13,20,20,5,5,0,0,18,18,3,2,0,0,0,0,131,131
2,29,Rory Laird,1,Adelaide,15,15,15,15,30,30,7,7,0,0,5,5,2,0,0,0,0,0,118,118
3,7,Jarrod Berry,1,Brisbane Lions,16,16,11,11,27,27,8,8,0,0,3,3,1,0,1,1,1,7,114,114
4,24,Josh Worrell,1,Adelaide,21,21,12,12,33,33,10,10,0,0,0,0,0,1,0,0,0,0,114,114
5,8,Will Ashcroft,1,Brisbane Lions,15,15,13,13,28,28,3,3,0,0,4,4,2,0,2,2,1,13,111,111
6,30,Sam Butler,1,Hawthorn,11,11,4,4,15,15,5,5,0,0,9,9,0,0,2,2,0,12,104,104
7,12,Jordan Dawson,1,Adelaide,17,17,4,4,21,21,6,6,0,0,6,6,1,0,0,0,1,1,103,103
8,19,Jack Gunston,1,Hawthorn,13,13,3,3,16,16,7,7,0,0,0,0,1,0,5,5,3,33,100,100
9,18,Matthew Rowell,1,Gold Coast,11,11,12,12,23,23,2,2,0,0,8,8,5,2,1,1,0,6,100,100
10,15,Dayne Zorko,1,Brisbane Lions,21,21,5,5,26,26,6,6,0,0,3,3,0,1,0,0,0,0,100,100
11,31,Harris Andrews,1,Brisbane Lions,16,16,4,4,20,20,14,14,0,0,1,1,0,1,0,0,0,0,99,99
12,44,Darcy Wilmot,1,Brisbane Lions,18,18,8,8,26,26,7,7,0,0,2,2,0,0,0,0,0,0,99,99
13,15,Noah Anderson,1,Gold Coast,12,12,14,14,26,26,6,6,0,0,3,3,0,2,1,1,0,6,94,94
14,11,Touk Miller,1,Gold Coast,9,9,19,19,28,28,2,2,0,0,5,5,2,0,0,0,1,1,94,94
15,25,Josh Ward,1,Hawthorn,13,13,18,18,31,31,2,2,0,0,4,4,0,1,0,0,0,0,94,94
16,3,Jai Newcombe,1,Hawthorn,14,14,14,14,28,28,3,3,0,0,3,3,1,2,1,1,0,6,92,92
17,15,Blake Hardwick,1,Hawthorn,14,14,7,7,21,21,8,8,0,0,3,3,1,1,0,0,1,1,91,91
18,6,Hugh McCluggage,1,Brisbane Lions,11,11,22,22,33,33,2,2,0,0,3,3,2,2,0,0,0,0,91,91
19,3,Jaspa Fletcher,1,Brisbane Lions,15,15,6,6,21,21,7,7,0,0,3,3,0,0,0,0,0,0,90,90
20,16,Max Michalanney,1,Adelaide,13,13,9,9,22,22,8,8,0,0,2,2,0,1,0,0,0,0,86,86
21,30,Wayne Milera,1,Adelaide,18,18,5,5,23,23,7,7,0,0,0,0,1,0,0,0,0,0,86,86
22,17,Lloyd Meek,1,Hawthorn,3,3,12,12,15,15,3,3,39,39,1,1,2,1,0,0,1,1,85,85
23,1,Kai Lohmann,1,Brisbane Lions,7,7,6,6,13,13,6,6,0,0,4,4,0,1,3,3,1,19,83,83
24,6,James Sicily,1,Hawthorn,15,15,6,6,21,21,9,9,0,0,0,0,2,1,0,0,0,0,83,83
25,32,Bodhi Uwland,1,Gold Coast,12,12,7,7,19,19,10,10,0,0,0,0,1,0,0,0,0,0,81,81
26,7,Riley Thilthorpe,1,Adelaide,8,8,4,4,12,12,2,2,11,11,3,3,2,1,3,3,0,18,78,78
27,33,Zac Bailey,1,Brisbane Lions,10,10,6,6,16,16,7,7,0,0,1,1,1,3,3,3,1,19,78,78
28,13,Dylan Moore,1,Hawthorn,12,12,5,5,17,17,5,5,0,0,3,3,2,1,1,1,0,6,78,78
