Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,3,Harry Sheezel,1,North Melbourne,25,25,29,29,54,54,7,7,0,0,5,5,1,1,2,2,2,14,186,186
2,38,Tristan Xerri,1,North Melbourne,3,3,19,19,22,22,1,1,40,40,18,18,3,0,0,0,0,0,165,165
3,9,Luke Davies-Uniacke,1,North Melbourne,18,18,22,22,40,40,9,9,0,0,7,7,2,0,1,1,1,7,162,162
4,27,Mason Redman,1,Essendon,29,29,7,7,36,36,12,12,0,0,1,1,1,0,0,0,1,1,143,143
5,3,Jaspa Fletcher,1,Brisbane Lions,21,21,11,11,32,32,17,17,0,0,2,2,0,1,0,0,0,0,141,141
6,1,Andrew McGrath,1,Essendon,14,14,21,21,35,35,4,4,0,0,9,9,1,0,0,0,1,1,134,134
7,11,Max Gawn,1,Melbourne,17,17,10,10,27,27,6,6,35,35,2,2,2,1,0,0,1,1,132,132
8,4,Marcus Bontempelli,1,Western Bulldogs,12,12,19,19,31,31,6,6,0,0,6,6,1,0,2,2,2,14,131,131
9,44,Tim English,1,Western Bulldogs,12,12,8,8,20,20,10,10,32,32,3,3,2,0,0,0,1,1,129,129
10,19,Jack Gunston,1,Hawthorn,13,13,1,1,14,14,10,10,0,0,2,2,1,0,7,7,4,46,126,126
11,14,Darcy Cameron,1,Collingwood,13,13,11,11,24,24,5,5,30,30,2,2,5,0,1,1,0,6,125,125
12,33,Zac Bailey,1,Brisbane Lions,17,17,11,11,28,28,10,10,0,0,2,2,2,1,2,2,2,14,124,124
13,13,Dylan Moore,1,Hawthorn,16,16,16,16,32,32,9,9,0,0,1,1,0,0,2,2,0,12,123,123
14,10,Harry McKay,1,Carlton,11,11,10,10,21,21,6,6,2,2,2,2,2,1,7,7,0,42,122,122
15,17,Finn Callaghan,1,GWS Giants,18,18,11,11,29,29,8,8,0,0,6,6,1,1,0,0,0,0,122,122
16,19,Rowan Marshall,1,St Kilda,15,15,3,3,18,18,5,5,29,29,5,5,5,2,1,1,1,7,121,121
17,25,Jack Crisp,1,Collingwood,10,10,13,13,23,23,3,3,0,0,13,13,1,1,1,1,0,6,121,121
18,7,Shaun Mannagh,1,Geelong,15,15,4,4,19,19,7,7,0,0,7,7,0,1,3,3,3,21,120,120
19,15,Dayne Zorko,1,Brisbane Lions,22,22,5,5,27,27,12,12,0,0,2,2,0,0,0,0,0,0,120,120
20,31,Bailey Dale,1,Western Bulldogs,25,25,9,9,34,34,10,10,0,0,0,0,0,1,0,0,0,0,120,120
21,7,Jack Viney,1,Melbourne,8,8,14,14,22,22,5,5,0,0,13,13,0,0,0,0,0,0,119,119
22,15,Noah Anderson,1,Gold Coast,16,16,16,16,32,32,6,6,0,0,5,5,1,1,0,0,2,2,118,118
23,31,Connor Macdonald,1,Hawthorn,21,21,7,7,28,28,10,10,0,0,0,0,0,0,1,1,3,9,116,116
24,4,Jarman Impey,1,Hawthorn,20,20,9,9,29,29,6,6,0,0,5,5,3,1,0,0,0,0,116,116
25,44,Tom Stewart,1,Geelong,19,19,6,6,25,25,11,11,0,0,2,2,0,0,0,0,0,0,110,110
26,29,George Hewett,1,Carlton,17,17,18,18,35,35,3,3,0,0,4,4,1,1,0,0,0,0,110,110
27,19,Peter Ladhams,1,Sydney,10,10,7,7,17,17,1,1,35,35,3,3,2,0,2,2,1,13,109,109
28,20,Ed Richards,1,Western Bulldogs,17,17,8,8,25,25,2,2,0,0,6,6,1,1,2,2,2,14,109,109
29,3,Christian Salem,1,Melbourne,18,18,12,12,30,30,5,5,0,0,4,4,0,0,0,0,0,0,109,109
30,3,Bailey Smith,1,Geelong,18,18,12,12,30,30,6,6,0,0,4,4,0,1,0,0,0,0,109,109
31,28,Xavier Duursma,1,Essendon,15,15,9,9,24,24,9,9,0,0,4,4,1,0,0,0,0,0,107,107
32,34,Hugo Garcia,1,St Kilda,11,11,9,9,20,20,2,2,0,0,12,12,0,0,0,0,1,1,106,106
33,35,Nick Daicos,1,Collingwood,18,18,11,11,29,29,2,2,0,0,6,6,1,3,1,1,2,8,106,106
34,24,Jordon Sweet,1,Port Adelaide,8,8,10,10,18,18,6,6,38,38,1,1,4,1,0,0,0,0,105,105
35,9,Jack Steele,1,St Kilda,9,9,18,18,27,27,5,5,0,0,9,9,2,4,0,0,1,1,105,105
36,11,Touk Miller,1,Gold Coast,17,17,11,11,28,28,2,2,0,0,5,5,5,0,0,0,1,1,105,105
37,13,Clayton Oliver,1,Melbourne,18,18,10,10,28,28,3,3,0,0,4,4,2,1,1,1,0,6,104,104
38,6,Lachie Whitfield,1,GWS Giants,20,20,7,7,27,27,5,5,0,0,3,3,1,0,0,0,1,1,103,103
39,22,Sam Durham,1,Essendon,13,13,15,15,28,28,3,3,0,0,7,7,2,2,0,0,1,1,103,103
40,26,Luke Parker,1,North Melbourne,12,12,18,18,30,30,5,5,0,0,5,5,0,2,0,0,1,1,102,102
41,1,Rhys Stanley,1,Geelong,11,11,3,3,14,14,7,7,33,33,2,2,1,1,0,0,0,0,99,99
42,36,Angus Clarke,1,Essendon,15,15,3,3,18,18,10,10,0,0,4,4,1,0,0,0,0,0,98,98
43,25,Toby Nankervis,1,Richmond,9,9,12,12,21,21,4,4,30,30,2,2,0,1,0,0,0,0,98,98
44,27,Wil Powell,1,Gold Coast,16,16,5,5,21,21,6,6,0,0,5,5,1,0,0,0,1,1,98,98
45,1,Chad Warner,1,Sydney,13,13,10,10,23,23,5,5,0,0,6,6,0,0,0,0,0,0,98,98
46,17,Jake Bowey,1,Melbourne,13,13,14,14,27,27,3,3,0,0,6,6,1,1,0,0,0,0,98,98
47,24,Josh Worrell,1,Adelaide,16,16,11,11,27,27,6,6,0,0,2,2,2,0,0,0,0,0,98,98
48,17,Jack Graham,1,West Coast,14,14,6,6,20,20,2,2,0,0,10,10,3,2,0,0,0,0,97,97
49,10,Travis Boak,1,Port Adelaide,14,14,8,8,22,22,5,5,0,0,4,4,1,0,1,1,1,7,97,97
50,14,Callum Mills,1,Sydney,10,10,15,15,25,25,7,7,0,0,4,4,0,0,0,0,0,0,97,97
Totals,,,50,,762,15.2,554,11.1,1316,26.3,309,6.2,304,6.1,242,4.8,66,34,37,0.7,37,259,5816,116.3
51,9,Zak Butters,1,Port Adelaide,11,11,18,18,29,29,1,1,0,0,7,7,3,2,0,0,0,0,97,97
52,25,Paul Curtis,1,North Melbourne,7,7,8,8,15,15,5,5,0,0,3,3,1,0,5,5,1,31,96,96
53,30,Wayne Milera,1,Adelaide,19,19,3,3,22,22,7,7,0,0,4,4,2,2,0,0,0,0,96,96
54,21,Tom Liberatore,1,Western Bulldogs,11,11,11,11,22,22,3,3,0,0,8,8,0,0,0,0,0,0,96,96
55,28,Jarrod Witts,1,Gold Coast,5,5,6,6,11,11,2,2,50,50,2,2,4,0,0,0,0,0,95,95
56,44,Isaac Cumming,1,Adelaide,15,15,3,3,18,18,7,7,0,0,4,4,1,0,1,1,0,6,95,95
57,28,Oliver Dempsey,1,Geelong,10,10,11,11,21,21,6,6,0,0,5,5,1,1,1,1,1,7,95,95
58,23,Ryan Maric,1,West Coast,16,16,10,10,26,26,2,2,0,0,5,5,1,0,0,0,0,0,95,95
59,17,Todd Goldstein,1,Essendon,4,4,10,10,14,14,3,3,41,41,4,4,2,2,0,0,0,0,94,94
60,20,Sam Marshall,1,Brisbane Lions,14,14,7,7,21,21,8,8,0,0,3,3,1,0,0,0,1,1,94,94
61,1,Harvey Thomas,1,GWS Giants,14,14,9,9,23,23,8,8,0,0,3,3,0,1,0,0,1,1,94,94
62,3,Liam Baker,1,West Coast,14,14,10,10,24,24,5,5,0,0,4,4,1,0,0,0,0,0,94,94
63,10,Karl Amon,1,Hawthorn,17,17,7,7,24,24,8,8,0,0,2,2,0,1,0,0,0,0,94,94
64,21,Archie Roberts,1,Essendon,19,19,8,8,27,27,9,9,0,0,0,0,0,2,0,0,0,0,94,94
65,43,Cooper Sharman,1,St Kilda,11,11,6,6,17,17,6,6,0,0,2,2,3,0,3,3,1,19,93,93
66,10,Scott Pendlebury,1,Collingwood,15,15,9,9,24,24,4,4,0,0,5,5,1,1,0,0,0,0,93,93
67,6,Hugh McCluggage,1,Brisbane Lions,14,14,14,14,28,28,4,4,0,0,1,1,0,0,1,1,1,7,93,93
68,32,Gryan Miers,1,Geelong,14,14,4,4,18,18,7,7,0,0,2,2,1,0,2,2,0,12,92,92
69,12,Tom Green,1,GWS Giants,15,15,14,14,29,29,2,2,0,0,4,4,1,2,0,0,2,2,92,92
70,25,Matt Flynn,1,West Coast,5,5,6,6,11,11,2,2,40,40,3,3,0,0,1,1,0,6,91,91
71,24,Harry Rowston,1,GWS Giants,9,9,3,3,12,12,6,6,0,0,4,4,0,0,4,4,0,24,91,91
72,35,Ryan Lester,1,Brisbane Lions,13,13,4,4,17,17,10,10,0,0,2,2,0,0,1,1,0,6,91,91
73,44,Darcy Wilmot,1,Brisbane Lions,15,15,6,6,21,21,8,8,0,0,2,2,2,0,0,0,0,0,91,91
74,12,Jordan Dawson,1,Adelaide,11,11,12,12,23,23,3,3,0,0,7,7,3,2,0,0,0,0,91,91
75,5,Josh Dunkley,1,Brisbane Lions,10,10,14,14,24,24,5,5,0,0,5,5,1,1,0,0,0,0,91,91
76,10,Colby McKercher,1,North Melbourne,20,20,9,9,29,29,1,1,0,0,2,2,2,0,0,0,0,0,91,91
77,34,Bailey Williams,1,Western Bulldogs,12,12,8,8,20,20,4,4,0,0,6,6,1,0,0,0,1,1,90,90
78,8,Andrew Brayshaw,1,Fremantle,14,14,8,8,22,22,0,0,0,0,6,6,5,1,1,1,0,6,90,90
79,19,Thomas Lynch,1,Richmond,11,11,2,2,13,13,7,7,0,0,2,2,4,1,3,3,4,22,89,89
80,31,Harris Andrews,1,Brisbane Lions,14,14,3,3,17,17,13,13,0,0,0,0,2,0,0,0,0,0,89,89
81,2,Lachlan Cowan,1,Carlton,14,14,6,6,20,20,10,10,0,0,2,2,0,1,0,0,0,0,89,89
82,48,Mark Keane,1,Adelaide,21,21,2,2,23,23,8,8,0,0,0,0,1,1,0,0,0,0,89,89
83,6,Jordan Clark,1,Fremantle,17,17,7,7,24,24,4,4,0,0,3,3,2,1,0,0,1,1,89,89
84,12,Jy Simpkin,1,North Melbourne,14,14,10,10,24,24,4,4,0,0,2,2,0,0,1,1,1,7,89,89
85,19,Jack Martin,1,Geelong,12,12,5,5,17,17,8,8,0,0,1,1,1,0,2,2,1,13,88,88
86,32,Bodhi Uwland,1,Gold Coast,12,12,6,6,18,18,7,7,0,0,4,4,3,0,0,0,0,0,88,88
87,20,Mitchell Hinge,1,Adelaide,17,17,4,4,21,21,3,3,0,0,5,5,3,1,0,0,0,0,88,88
88,9,Patrick Cripps,1,Carlton,10,10,12,12,22,22,2,2,0,0,4,4,2,1,2,2,1,13,88,88
89,21,Errol Gulden,1,Sydney,13,13,10,10,23,23,2,2,0,0,7,7,1,2,0,0,0,0,88,88
90,2,Marcus Windhager,1,St Kilda,12,12,14,14,26,26,4,4,0,0,3,3,3,1,0,0,0,0,88,88
91,4,Toby Greene,1,GWS Giants,10,10,9,9,19,19,7,7,0,0,3,3,0,2,2,2,0,12,87,87
92,26,Nick Haynes,1,Carlton,17,17,6,6,23,23,6,6,0,0,1,1,1,0,0,0,1,1,87,87
93,28,Thomas Cole,1,West Coast,12,12,5,5,17,17,8,8,0,0,4,4,0,0,0,0,0,0,86,86
94,11,Tom Papley,1,Sydney,11,11,9,9,20,20,6,6,0,0,1,1,0,0,2,2,1,13,86,86
95,8,Bradley Hill,1,St Kilda,10,10,12,12,22,22,8,8,0,0,2,2,0,0,0,0,0,0,86,86
96,24,Tom Powell,1,North Melbourne,10,10,12,12,22,22,5,5,0,0,3,3,0,1,1,1,2,8,86,86
97,18,Matthew Rowell,1,Gold Coast,10,10,15,15,25,25,2,2,0,0,4,4,1,1,1,1,0,6,86,86
98,7,Lachlan Ash,1,GWS Giants,19,19,7,7,26,26,4,4,0,0,1,1,2,1,0,0,0,0,86,86
99,5,James Worpel,1,Hawthorn,12,12,15,15,27,27,2,2,0,0,4,4,1,1,0,0,0,0,86,86
100,7,Reuben Ginbey,1,West Coast,13,13,9,9,22,22,9,9,0,0,1,1,0,1,0,0,0,0,85,85
Totals,,,50,,645,12.9,418,8.4,1063,21.3,265,5.3,131,2.6,162,3.2,64,34,34,0.7,21,225,4532,90.6
101,3,Jai Newcombe,1,Hawthorn,8,8,14,14,22,22,5,5,0,0,5,5,1,1,0,0,0,0,85,85
102,5,Christian Petracca,1,Melbourne,14,14,14,14,28,28,2,2,0,0,2,2,0,0,0,0,1,1,85,85
103,2,Jacob van Rooyen,1,Melbourne,8,8,5,5,13,13,6,6,7,7,3,3,1,0,2,2,0,12,84,84
104,39,Zach Guthrie,1,Geelong,13,13,4,4,17,17,9,9,0,0,3,3,1,1,0,0,0,0,84,84
105,22,Nick Blakey,1,Sydney,20,20,3,3,23,23,6,6,0,0,0,0,0,0,0,0,0,0,84,84
106,13,Blake Acres,1,Carlton,14,14,9,9,23,23,5,5,0,0,2,2,0,0,0,0,1,1,84,84
107,8,Will Ashcroft,1,Brisbane Lions,12,12,11,11,23,23,7,7,0,0,1,1,0,0,0,0,1,1,84,84
108,3,Caleb Serong,1,Fremantle,11,11,15,15,26,26,1,1,0,0,5,5,0,1,0,0,0,0,83,83
109,5,Aaron Cadman,1,GWS Giants,12,12,1,1,13,13,4,4,0,0,5,5,3,1,2,2,0,12,82,82
110,39,Jason Johannisen,1,Western Bulldogs,12,12,6,6,18,18,7,7,0,0,3,3,0,0,0,0,1,1,82,82
111,45,Tom McCarthy,1,West Coast,13,13,12,12,25,25,2,2,0,0,3,3,1,0,0,0,0,0,82,82
112,2,Jacob Hopper,1,Richmond,9,9,18,18,27,27,1,1,0,0,5,5,1,2,0,0,1,1,82,82
113,14,Tim Taranto,1,Richmond,8,8,11,11,19,19,1,1,0,0,8,8,0,0,0,0,0,0,81,81
114,24,Trent Rivers,1,Melbourne,13,13,7,7,20,20,2,2,0,0,5,5,2,0,0,0,0,0,81,81
115,35,Jack Sinclair,1,St Kilda,16,16,7,7,23,23,6,6,0,0,0,0,0,0,0,0,1,1,81,81
116,7,Nasiah Wanganeen-Milera,1,St Kilda,14,14,10,10,24,24,1,1,0,0,3,3,1,1,1,1,0,6,81,81
117,16,Oliver Wines,1,Port Adelaide,9,9,6,6,15,15,9,9,0,0,3,3,0,0,0,0,2,2,80,80
118,44,Francis Evans,1,Carlton,7,7,8,8,15,15,3,3,0,0,5,5,1,0,2,2,1,13,80,80
119,25,Jaxon Prior,1,Essendon,14,14,6,6,20,20,7,7,0,0,2,2,0,1,0,0,0,0,80,80
120,18,Campbell Chesser,1,West Coast,8,8,14,14,22,22,5,5,0,0,3,3,1,0,0,0,0,0,80,80
121,32,Tom Sparrow,1,Melbourne,10,10,13,13,23,23,3,3,0,0,4,4,2,1,0,0,0,0,80,80
122,35,Josh Treacy,1,Fremantle,9,9,4,4,13,13,7,7,0,0,3,3,0,1,2,2,2,14,79,79
123,22,Steele Sidebottom,1,Collingwood,17,17,4,4,21,21,5,5,0,0,4,4,1,4,0,0,0,0,79,79
124,6,James Sicily,1,Hawthorn,15,15,7,7,22,22,7,7,0,0,1,1,1,2,0,0,0,0,79,79
125,8,Matthew Kennedy,1,Western Bulldogs,11,11,11,11,22,22,3,3,0,0,4,4,4,2,0,0,1,1,79,79
126,2,Ben Keays,1,Adelaide,7,7,8,8,15,15,4,4,0,0,7,7,1,0,0,0,0,0,78,78
127,42,Sam Davidson,1,Western Bulldogs,10,10,5,5,15,15,5,5,0,0,2,2,0,1,3,3,0,18,78,78
128,26,Jake Riccardi,1,GWS Giants,11,11,5,5,16,16,7,7,2,2,3,3,1,3,1,1,2,8,78,78
129,23,Izak Rankine,1,Adelaide,13,13,5,5,18,18,4,4,0,0,3,3,2,1,1,1,0,6,78,78
130,9,Dan Houston,1,Collingwood,11,11,7,7,18,18,5,5,0,0,4,4,0,2,1,1,0,6,78,78
131,30,Tom Atkins,1,Geelong,13,13,8,8,21,21,3,3,0,0,5,5,0,2,0,0,0,0,78,78
132,9,Max Holmes,1,Geelong,16,16,5,5,21,21,5,5,0,0,1,1,0,0,0,0,1,1,78,78
133,16,Archie Perkins,1,Essendon,8,8,5,5,13,13,4,4,0,0,4,4,3,0,2,2,0,12,77,77
134,10,Levi Ashcroft,1,Brisbane Lions,15,15,4,4,19,19,5,5,0,0,2,2,1,0,0,0,0,0,77,77
135,7,Jarrod Berry,1,Brisbane Lions,12,12,8,8,20,20,7,7,0,0,2,2,2,2,0,0,0,0,77,77
136,6,Zachary Williams,1,Carlton,12,12,8,8,20,20,3,3,0,0,1,1,0,0,2,2,0,12,77,77
137,2,Finn O'Sullivan,1,North Melbourne,12,12,9,9,21,21,3,3,0,0,3,3,0,0,0,0,2,2,77,77
138,44,Ned Long,1,Collingwood,11,11,11,11,22,22,3,3,0,0,4,4,0,1,0,0,0,0,77,77
139,6,Daniel Curtin,1,Adelaide,11,11,3,3,14,14,7,7,0,0,2,2,2,0,1,1,0,6,76,76
140,18,Sam Walsh,1,Carlton,11,11,17,17,28,28,4,4,0,0,0,0,1,2,0,0,2,2,76,76
141,33,Shannon Neale,1,Geelong,6,6,4,4,10,10,5,5,1,1,2,2,0,0,4,4,1,25,75,75
142,4,Callum Ah Chee,1,Brisbane Lions,12,12,2,2,14,14,9,9,0,0,1,1,0,1,1,1,1,7,75,75
143,8,Lachie Schultz,1,Collingwood,8,8,9,9,17,17,7,7,0,0,4,4,0,2,0,0,2,2,75,75
144,38,Hamish Davis,1,West Coast,9,9,9,9,18,18,4,4,0,0,4,4,2,0,0,0,0,0,75,75
145,14,Connor O'Sullivan,1,Geelong,10,10,2,2,12,12,8,8,0,0,4,4,0,0,0,0,0,0,74,74
146,8,Ben Hobbs,1,Essendon,8,8,6,6,14,14,3,3,0,0,7,7,3,1,0,0,1,1,74,74
147,45,Flynn Young,1,Carlton,10,10,5,5,15,15,3,3,0,0,3,3,1,0,2,2,0,12,74,74
148,9,Ryan Angwin,1,GWS Giants,9,9,10,10,19,19,3,3,0,0,5,5,1,1,0,0,0,0,74,74
149,4,Oliver Hollands,1,Carlton,12,12,8,8,20,20,6,6,0,0,1,1,0,0,0,0,0,0,74,74
150,43,Reilly O'Brien,1,Adelaide,2,2,4,4,6,6,2,2,46,46,4,4,0,3,0,0,0,0,73,73
Totals,,,50,,556,11.1,387,7.7,943,18.9,233,4.7,56,1.1,160,3.2,41,40,27,0.5,24,186,3944,78.9
151,31,Beau McCreery,1,Collingwood,9,9,2,2,11,11,3,3,0,0,8,8,1,0,0,0,0,0,73,73
152,18,Tyson Stengle,1,Geelong,9,9,3,3,12,12,2,2,0,0,4,4,1,1,3,3,2,20,73,73
153,13,Logan Morris,1,Brisbane Lions,9,9,3,3,12,12,3,3,0,0,1,1,4,1,4,4,2,26,73,73
154,32,Darcy Fort,1,Brisbane Lions,9,9,4,4,13,13,4,4,17,17,2,2,1,2,1,1,0,6,73,73
155,4,Kyle Langford,1,Essendon,12,12,3,3,15,15,6,6,0,0,1,1,0,1,2,2,0,12,73,73
156,38,Jack Henry,1,Geelong,12,12,6,6,18,18,7,7,0,0,1,1,0,0,0,0,0,0,73,73
157,25,James Peatling,1,Adelaide,12,12,7,7,19,19,1,1,0,0,3,3,2,0,1,1,0,6,73,73
158,40,Max Hall,1,St Kilda,12,12,8,8,20,20,5,5,0,0,1,1,1,0,0,0,1,1,73,73
159,12,Angus Sheldrick,1,Sydney,5,5,16,16,21,21,2,2,0,0,5,5,0,0,0,0,0,0,73,73
160,5,Caleb Daniel,1,North Melbourne,13,13,12,12,25,25,2,2,0,0,1,1,0,0,0,0,0,0,73,73
161,5,Isaac Heeney,1,Sydney,9,9,6,6,15,15,4,4,0,0,5,5,3,3,1,1,1,7,72,72
162,19,Griffin Logue,1,North Melbourne,6,6,10,10,16,16,8,8,0,0,1,1,0,0,1,1,0,6,72,72
163,6,Kane Farrell,1,Port Adelaide,14,14,3,3,17,17,5,5,0,0,3,3,0,1,0,0,0,0,72,72
164,33,Jack Ginnivan,1,Hawthorn,9,9,12,12,21,21,4,4,0,0,2,2,1,0,0,0,0,0,72,72
165,44,Jake Lloyd,1,Sydney,12,12,9,9,21,21,5,5,0,0,2,2,0,2,0,0,1,1,72,72
166,32,Darcy Fogarty,1,Adelaide,10,10,4,4,14,14,8,8,0,0,0,0,0,1,2,2,0,12,71,71
167,18,James O'Donnell,1,Western Bulldogs,12,12,5,5,17,17,7,7,0,0,1,1,0,0,0,0,0,0,71,71
168,4,Brayden Maynard,1,Collingwood,11,11,7,7,18,18,7,7,0,0,2,2,1,2,0,0,0,0,71,71
169,2,Darcy Jones,1,GWS Giants,8,8,10,10,18,18,1,1,0,0,4,4,2,0,1,1,0,6,71,71
170,31,Christian Moraes,1,Port Adelaide,8,8,11,11,19,19,2,2,0,0,3,3,0,0,1,1,1,7,71,71
171,17,Lloyd Meek,1,Hawthorn,5,5,5,5,10,10,3,3,31,31,2,2,0,1,0,0,0,0,70,70
172,14,Toby Bedford,1,GWS Giants,6,6,6,6,12,12,3,3,0,0,6,6,1,2,2,2,0,12,70,70
173,23,Charlie Cameron,1,Brisbane Lions,10,10,3,3,13,13,4,4,0,0,2,2,1,2,3,3,1,19,70,70
174,15,Dylan Stephens,1,North Melbourne,11,11,11,11,22,22,3,3,0,0,2,2,0,1,0,0,1,1,70,70
175,7,Riley Thilthorpe,1,Adelaide,8,8,3,3,11,11,5,5,14,14,2,2,1,2,1,1,1,7,69,69
176,7,Harry Cunningham,1,Sydney,9,9,6,6,15,15,5,5,0,0,4,4,2,1,0,0,0,0,69,69
177,13,Luke Ryan,1,Fremantle,16,16,2,2,18,18,5,5,0,0,1,1,1,1,0,0,0,0,69,69
178,36,James Trezise,1,Richmond,7,7,11,11,18,18,2,2,0,0,3,3,2,0,1,1,0,6,69,69
179,15,Sam Wicks,1,Sydney,14,14,7,7,21,21,1,1,0,0,3,3,1,1,0,0,0,0,69,69
180,35,Nathan Broad,1,Richmond,7,7,1,1,8,8,5,5,0,0,7,7,1,0,0,0,0,0,67,67
181,2,Hayden McLean,1,Sydney,8,8,1,1,9,9,6,6,8,8,1,1,1,1,2,2,1,13,67,67
