Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,9,Luke Jackson,1,Fremantle,11,11,10,10,21,21,4,4,48,48,4,4,3,2,3,3,0,18,144,144
2,28,Jarrod Witts,1,Gold Coast,7,7,13,13,20,20,3,3,54,54,7,7,3,3,1,1,0,6,138,138
3,44,Tim English,1,Western Bulldogs,15,15,9,9,24,24,9,9,28,28,1,1,4,0,2,2,0,12,138,138
4,3,Caleb Serong,1,Fremantle,24,24,11,11,35,35,5,5,0,0,4,4,3,1,2,2,0,12,137,137
5,6,Jordan Clark,1,Fremantle,23,23,10,10,33,33,8,8,0,0,5,5,3,1,0,0,0,0,133,133
6,15,Noah Anderson,1,Gold Coast,13,13,29,29,42,42,3,3,0,0,3,3,2,0,2,2,1,13,133,133
7,15,Sam Docherty,1,Carlton,17,17,12,12,29,29,16,16,0,0,2,2,0,0,0,0,0,0,131,131
8,11,Touk Miller,1,Gold Coast,13,13,24,24,37,37,2,2,0,0,7,7,1,1,2,2,0,12,131,131
9,14,Darcy Cameron,1,Collingwood,16,16,3,3,19,19,8,8,28,28,2,2,4,1,2,2,1,13,128,128
10,13,Luke Ryan,1,Fremantle,24,24,8,8,32,32,12,12,0,0,2,2,1,2,0,0,0,0,127,127
11,1,Patrick Lipinski,1,Collingwood,14,14,12,12,26,26,9,9,0,0,5,5,0,0,2,2,0,12,125,125
12,7,Nasiah Wanganeen-Milera,1,St Kilda,25,25,10,10,35,35,7,7,0,0,2,2,1,0,0,0,0,0,125,125
13,5,Josh Dunkley,1,Brisbane Lions,11,11,19,19,30,30,4,4,0,0,10,10,4,1,0,0,0,0,124,124
14,15,Dayne Zorko,1,Brisbane Lions,26,26,7,7,33,33,7,7,0,0,3,3,2,1,0,0,0,0,124,124
15,4,Brodie Grundy,1,Sydney,11,11,11,11,22,22,8,8,34,34,4,4,1,3,0,0,0,0,121,121
16,4,Marcus Bontempelli,1,Western Bulldogs,18,18,18,18,36,36,3,3,0,0,2,2,1,2,3,3,0,18,120,120
17,12,Tom Green,1,GWS Giants,13,13,18,18,31,31,4,4,0,0,9,9,0,4,1,1,2,8,119,119
18,3,Harry Sheezel,1,North Melbourne,16,16,14,14,30,30,9,9,0,0,3,3,1,2,1,1,0,6,116,116
19,10,Sam Darcy,1,Western Bulldogs,11,11,8,8,19,19,8,8,4,4,1,1,1,0,5,5,2,32,114,114
20,8,Matthew Kennedy,1,Western Bulldogs,14,14,11,11,25,25,7,7,0,0,7,7,4,1,0,0,0,0,114,114
21,4,Toby Greene,1,GWS Giants,15,15,2,2,17,17,4,4,0,0,11,11,2,2,2,2,0,12,113,113
22,34,Bailey Williams,1,Western Bulldogs,16,16,9,9,25,25,15,15,0,0,2,2,0,2,0,0,0,0,113,113
23,17,Finn Callaghan,1,GWS Giants,16,16,12,12,28,28,3,3,0,0,8,8,0,0,0,0,0,0,113,113
24,24,Tom Powell,1,North Melbourne,16,16,18,18,34,34,3,3,0,0,5,5,0,0,0,0,0,0,113,113
25,5,Isaac Heeney,1,Sydney,12,12,16,16,28,28,4,4,0,0,4,4,2,0,2,2,1,13,111,111
26,7,Jarrod Berry,1,Brisbane Lions,17,17,9,9,26,26,10,10,0,0,3,3,1,1,0,0,1,1,110,110
27,25,Jack Crisp,1,Collingwood,12,12,4,4,16,16,6,6,0,0,10,10,1,0,1,1,0,6,109,109
28,5,Adam Cerra,1,Carlton,16,16,9,9,25,25,5,5,0,0,8,8,1,2,0,0,1,1,109,109
29,6,Jye Caldwell,1,Essendon,17,17,15,15,32,32,2,2,0,0,5,5,1,0,0,0,1,1,109,109
30,10,Scott Pendlebury,1,Collingwood,14,14,8,8,22,22,7,7,0,0,5,5,2,0,1,1,1,7,108,108
31,42,Sam Davidson,1,Western Bulldogs,18,18,9,9,27,27,9,9,0,0,2,2,1,2,1,1,0,6,108,108
32,8,Will Ashcroft,1,Brisbane Lions,11,11,17,17,28,28,5,5,0,0,5,5,0,0,1,1,0,6,108,108
33,26,Luke Parker,1,North Melbourne,10,10,18,18,28,28,5,5,0,0,8,8,0,2,0,0,0,0,107,107
34,9,Zak Butters,1,Port Adelaide,9,9,19,19,28,28,8,8,0,0,3,3,0,0,1,1,0,6,107,107
35,18,Matthew Rowell,1,Gold Coast,12,12,22,22,34,34,0,0,0,0,8,8,2,3,0,0,1,1,106,106
36,26,Jake Riccardi,1,GWS Giants,12,12,3,3,15,15,7,7,3,3,6,6,2,0,2,2,1,13,105,105
37,19,Rowan Marshall,1,St Kilda,16,16,4,4,20,20,2,2,32,32,3,3,1,3,1,1,1,7,105,105
38,1,Nick Vlastuin,1,Richmond,19,19,9,9,28,28,7,7,0,0,2,2,4,1,0,0,0,0,105,105
39,6,Jackson Macrae,1,St Kilda,16,16,13,13,29,29,2,2,0,0,6,6,2,1,0,0,1,1,104,104
40,8,Andrew Brayshaw,1,Fremantle,14,14,15,15,29,29,3,3,0,0,4,4,0,0,1,1,1,7,104,104
41,13,Logan Morris,1,Brisbane Lions,9,9,4,4,13,13,8,8,0,0,4,4,0,1,5,5,1,31,103,103
42,6,Hugh McCluggage,1,Brisbane Lions,17,17,5,5,22,22,5,5,0,0,6,6,0,1,1,1,0,6,103,103
43,7,Lachlan Ash,1,GWS Giants,20,20,13,13,33,33,4,4,0,0,1,1,1,0,0,0,0,0,103,103
44,14,Tim Taranto,1,Richmond,11,11,17,17,28,28,3,3,0,0,6,6,2,0,0,0,0,0,102,102
45,35,Nick Daicos,1,Collingwood,17,17,13,13,30,30,3,3,0,0,3,3,4,2,1,1,0,6,102,102
46,29,George Hewett,1,Carlton,7,7,24,24,31,31,2,2,0,0,8,8,1,2,0,0,0,0,102,102
47,8,Lachie Fogarty,1,Carlton,9,9,9,9,18,18,6,6,0,0,7,7,2,0,1,1,2,8,101,101
48,7,Rory Lobb,1,Western Bulldogs,16,16,5,5,21,21,13,13,0,0,1,1,3,1,0,0,0,0,101,101
49,7,Josh Daicos,1,Collingwood,23,23,7,7,30,30,6,6,0,0,0,0,0,0,0,0,0,0,101,101
50,19,Bailey Humphrey,1,Gold Coast,12,12,11,11,23,23,5,5,0,0,3,3,0,0,2,2,3,15,100,100
Totals,,,50,,751,15,596,11.9,1347,26.9,298,6,231,4.6,230,4.6,74,51,49,1,22,316,5727,114.5
51,6,Zachary Williams,1,Carlton,11,11,7,7,18,18,7,7,0,0,6,6,0,0,1,1,1,7,99,99
52,23,Jacob Weitering,1,Carlton,15,15,5,5,20,20,10,10,0,0,3,3,2,0,0,0,0,0,99,99
53,10,Colby McKercher,1,North Melbourne,20,20,9,9,29,29,1,1,0,0,3,3,0,2,2,2,0,12,99,99
54,16,Cameron Rayner,1,Brisbane Lions,12,12,7,7,19,19,5,5,0,0,3,3,1,0,3,3,2,20,98,98
55,11,Mitch McGovern,1,Carlton,13,13,3,3,16,16,7,7,0,0,3,3,1,2,4,4,0,24,97,97
56,9,Luke Davies-Uniacke,1,North Melbourne,11,11,19,19,30,30,4,4,0,0,4,4,0,1,0,0,1,1,97,97
57,21,Archie Roberts,1,Essendon,12,12,13,13,25,25,8,8,0,0,2,2,2,0,0,0,0,0,96,96
