Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,11,Max Gawn,1,Melbourne,13,13,22,22,35,35,8,8,47,47,0,0,3,2,1,1,1,7,158,158
2,44,Tim English,1,Western Bulldogs,15,15,12,12,27,27,6,6,30,30,2,2,4,1,3,3,1,19,145,145
3,14,Darcy Cameron,1,Collingwood,13,13,10,10,23,23,7,7,38,38,4,4,2,1,1,1,1,7,140,140
4,6,Jackson Macrae,1,St Kilda,19,19,19,19,38,38,6,6,0,0,8,8,3,3,0,0,0,0,139,139
5,3,Harry Sheezel,1,North Melbourne,21,21,11,11,32,32,9,9,0,0,5,5,2,0,0,0,0,0,134,134
6,16,Massimo D'Ambrosio,1,Hawthorn,23,23,7,7,30,30,9,9,0,0,1,1,1,0,2,2,1,13,128,128
7,4,Marcus Bontempelli,1,Western Bulldogs,15,15,8,8,23,23,4,4,0,0,8,8,2,0,3,3,1,19,126,126
8,37,Kade Chandler,1,Melbourne,17,17,9,9,26,26,5,5,0,0,8,8,1,0,1,1,1,7,124,124
9,44,Callum Wilkie,1,St Kilda,20,20,4,4,24,24,14,14,0,0,3,3,1,0,0,0,0,0,123,123
10,12,Jordan Dawson,1,Adelaide,11,11,11,11,22,22,7,7,0,0,8,8,1,2,3,3,1,19,122,122
11,38,Tristan Xerri,1,North Melbourne,11,11,14,14,25,25,2,2,39,39,4,4,5,2,0,0,0,0,121,121
12,5,Christian Petracca,1,Melbourne,12,12,17,17,29,29,4,4,0,0,8,8,0,0,1,1,1,7,121,121
13,17,Finn Callaghan,1,GWS Giants,16,16,17,17,33,33,2,2,0,0,8,8,1,0,0,0,0,0,121,121
14,10,Scott Pendlebury,1,Collingwood,19,19,7,7,26,26,9,9,0,0,4,4,0,0,1,1,0,6,120,120
15,23,Izak Rankine,1,Adelaide,17,17,12,12,29,29,9,9,0,0,2,2,2,2,2,2,2,14,120,120
