Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,3,Bailey Smith,1,Geelong,21,21,15,15,36,36,5,5,0,0,6,6,0,0,1,1,1,7,139,139
2,15,Dayne Zorko,1,Brisbane Lions,22,22,6,6,28,28,7,7,0,0,8,8,0,2,1,1,0,6,131,131
3,6,Hugh McCluggage,1,Brisbane Lions,20,20,17,17,37,37,8,8,0,0,2,2,0,1,1,1,0,6,129,129
4,35,Patrick Dangerfield,1,Geelong,14,14,17,17,31,31,5,5,0,0,2,2,4,1,3,3,0,18,118,118
5,46,Mark Blicavs,1,Geelong,6,6,6,6,12,12,3,3,29,29,11,11,0,2,1,1,0,6,112,112
6,9,Max Holmes,1,Geelong,19,19,6,6,25,25,3,3,0,0,7,7,1,1,1,1,0,6,110,110
7,5,Josh Dunkley,1,Brisbane Lions,12,12,7,7,19,19,5,5,0,0,10,10,1,1,1,1,0,6,109,109
8,30,Tom Atkins,1,Geelong,12,12,13,13,25,25,1,1,0,0,11,11,3,1,0,0,0,0,109,109
9,13,Dylan Moore,1,Hawthorn,13,13,13,13,26,26,4,4,0,0,6,6,5,2,1,1,0,6,106,106
10,14,Darcy Cameron,1,Collingwood,11,11,4,4,15,15,5,5,35,35,5,5,2,3,0,0,0,0,104,104
11,5,Jamie Elliott,1,Collingwood,10,10,6,6,16,16,8,8,0,0,4,4,0,1,4,4,0,24,103,103
12,44,Darcy Wilmot,1,Brisbane Lions,19,19,6,6,25,25,8,8,0,0,2,2,1,0,0,0,0,0,102,102
13,5,Jeremy Cameron,1,Geelong,14,14,2,2,16,16,9,9,0,0,2,2,0,0,3,3,2,20,101,101
14,7,Josh Daicos,1,Collingwood,19,19,7,7,26,26,4,4,0,0,4,4,2,0,0,0,0,0,101,101
15,8,Will Ashcroft,1,Brisbane Lions,11,11,9,9,20,20,6,6,0,0,6,6,0,2,2,2,1,13,100,100
16,11,Conor Nash,1,Hawthorn,13,13,10,10,23,23,3,3,0,0,6,6,1,1,1,1,0,6,96,96
17,10,Karl Amon,1,Hawthorn,18,18,10,10,28,28,7,7,0,0,1,1,0,1,0,0,0,0,96,96
18,31,Harris Andrews,1,Brisbane Lions,14,14,4,4,18,18,13,13,0,0,2,2,0,1,0,0,0,0,94,94
