Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
51,26,Luke Parker,1,North Melbourne,17,17,12,12,29,29,4,4,0,0,1,1,3,0,0,0,0,0,94,94
52,38,Tristan Xerri,1,North Melbourne,6,6,12,12,18,18,5,5,31,31,3,3,2,3,0,0,0,0,93,93
53,15,Sam Docherty,1,Carlton,13,13,6,6,19,19,9,9,0,0,3,3,0,1,1,1,0,6,93,93
54,9,Jack Steele,1,St Kilda,10,10,12,12,22,22,3,3,0,0,9,9,0,2,0,0,0,0,93,93
55,15,Noah Anderson,1,Gold Coast,10,10,17,17,27,27,5,5,0,0,3,3,2,0,0,0,0,0,93,93
56,19,Brady Hough,1,West Coast,12,12,15,15,27,27,5,5,0,0,2,2,1,1,1,1,0,6,93,93
57,43,Reilly O'Brien,1,Adelaide,8,8,6,6,14,14,3,3,41,41,2,2,0,3,1,1,1,7,92,92
58,11,Tom Papley,1,Sydney,14,14,3,3,17,17,8,8,0,0,3,3,0,2,2,2,1,13,91,91
59,24,Trent Rivers,1,Melbourne,15,15,12,12,27,27,6,6,0,0,1,1,0,0,0,0,0,0,91,91
60,31,Bailey Dale,1,Western Bulldogs,21,21,4,4,25,25,5,5,0,0,1,1,0,0,0,0,0,0,90,90
61,3,Sam Flanders,1,Gold Coast,10,10,18,18,28,28,5,5,0,0,2,2,1,0,0,0,0,0,90,90
62,28,Jarrod Witts,1,Gold Coast,6,6,4,4,10,10,2,2,37,37,4,4,4,0,0,0,0,0,89,89
63,11,Max Gawn,1,Melbourne,6,6,8,8,14,14,5,5,35,35,2,2,0,3,1,1,0,6,89,89
64,44,Jack Hutchinson,1,West Coast,11,11,8,8,19,19,8,8,0,0,4,4,0,0,0,0,0,0,89,89
65,1,Chad Warner,1,Sydney,10,10,9,9,19,19,3,3,0,0,6,6,1,0,1,1,1,7,89,89
66,29,George Hewett,1,Carlton,6,6,15,15,21,21,3,3,0,0,9,9,2,2,0,0,0,0,89,89
67,3,Christian Salem,1,Melbourne,15,15,7,7,22,22,6,6,0,0,3,3,0,0,0,0,0,0,89,89
68,3,Sam Berry,1,Adelaide,14,14,9,9,23,23,6,6,0,0,2,2,0,1,1,1,0,6,89,89
69,7,Jack Viney,1,Melbourne,8,8,16,16,24,24,4,4,0,0,5,5,1,0,0,0,0,0,89,89
70,11,Touk Miller,1,Gold Coast,8,8,16,16,24,24,2,2,0,0,5,5,1,0,1,1,0,6,89,89
71,6,Jackson Macrae,1,St Kilda,13,13,13,13,26,26,2,2,0,0,4,4,2,0,0,0,0,0,89,89
72,28,Neil Erasmus,1,Fremantle,10,10,7,7,17,17,6,6,0,0,6,6,1,0,0,0,1,1,88,88
73,40,Max Hall,1,St Kilda,15,15,6,6,21,21,2,2,0,0,6,6,3,3,1,1,1,7,88,88
74,2,Jacob Hopper,1,Richmond,16,16,12,12,28,28,3,3,0,0,2,2,2,1,0,0,0,0,88,88
75,8,Matthew Kennedy,1,Western Bulldogs,8,8,7,7,15,15,2,2,0,0,8,8,1,1,2,2,0,12,86,86
76,34,Bailey Williams,1,Western Bulldogs,9,9,9,9,18,18,7,7,0,0,5,5,0,0,0,0,0,0,86,86
77,33,Jack Ginnivan,1,Hawthorn,8,8,11,11,19,19,8,8,0,0,1,1,0,0,2,2,0,12,86,86
78,35,Joe Richards,1,Port Adelaide,12,12,10,10,22,22,4,4,0,0,4,4,0,0,0,0,2,2,86,86
79,17,Jake Bowey,1,Melbourne,18,18,7,7,25,25,5,5,0,0,1,1,1,1,0,0,0,0,85,85
80,44,Callum Wilkie,1,St Kilda,14,14,2,2,16,16,11,11,0,0,2,2,0,1,0,0,0,0,84,84
81,1,Patrick Lipinski,1,Collingwood,9,9,10,10,19,19,3,3,0,0,4,4,2,1,2,2,0,12,83,83
82,23,Izak Rankine,1,Adelaide,10,10,10,10,20,20,5,5,0,0,4,4,0,2,1,1,1,7,82,82
83,38,Jeremy Howe,1,Collingwood,14,14,3,3,17,17,8,8,0,0,3,3,0,1,0,0,0,0,81,81
84,26,Nick Haynes,1,Carlton,12,12,6,6,18,18,8,8,0,0,2,2,1,0,0,0,0,0,81,81
85,14,Tim Taranto,1,Richmond,9,9,10,10,19,19,4,4,0,0,6,6,0,1,0,0,1,1,81,81
86,2,Marcus Windhager,1,St Kilda,12,12,9,9,21,21,5,5,0,0,3,3,3,1,0,0,0,0,81,81
87,9,Luke Davies-Uniacke,1,North Melbourne,17,17,11,11,28,28,5,5,0,0,1,1,0,4,0,0,1,1,81,81
88,30,Charlie Curnow,1,Carlton,11,11,1,1,12,12,6,6,0,0,5,5,4,0,0,0,3,3,80,80
89,44,Tim English,1,Western Bulldogs,10,10,6,6,16,16,6,6,16,16,3,3,3,4,0,0,1,1,80,80
90,25,James Peatling,1,Adelaide,10,10,10,10,20,20,3,3,0,0,5,5,1,0,0,0,0,0,80,80
91,44,Ned Long,1,Collingwood,9,9,12,12,21,21,3,3,0,0,6,6,1,2,0,0,1,1,80,80
92,25,Toby Nankervis,1,Richmond,7,7,10,10,17,17,1,1,32,32,1,1,2,1,0,0,0,0,79,79
