Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,6,James Sicily,1,Hawthorn,24,24,19,19,43,43,16,16,0,0,1,1,2,0,0,0,1,1,165,165
2,14,Tim Taranto,1,Richmond,14,14,19,19,33,33,6,6,0,0,7,7,0,2,4,4,1,25,145,145
3,14,Liam Duggan,1,West Coast,18,18,17,17,35,35,12,12,0,0,4,4,0,0,0,0,0,0,140,140
4,12,Jordan Dawson,1,Adelaide,19,19,13,13,32,32,5,5,0,0,10,10,0,1,0,0,0,0,135,135
5,29,Rory Laird,1,Adelaide,10,10,17,17,27,27,3,3,0,0,16,16,0,2,0,0,0,0,131,131
6,2,Jordan de Goey,1,Collingwood,22,22,13,13,35,35,6,6,0,0,4,4,1,2,1,1,0,6,127,127
7,13,Dylan Moore,1,Hawthorn,19,19,12,12,31,31,9,9,0,0,2,2,1,0,1,1,3,9,126,126
8,27,Mason Redman,1,Essendon,23,23,8,8,31,31,11,11,0,0,0,0,1,0,1,1,0,6,125,125
9,18,Matthew Rowell,1,Gold Coast,22,22,7,7,29,29,2,2,0,0,7,7,4,0,1,1,0,6,124,124
10,37,Nic Martin,1,Essendon,22,22,9,9,31,31,10,10,0,0,3,3,1,1,0,0,0,0,124,124
11,11,Jackson Macrae,1,Western Bulldogs,15,15,18,18,33,33,4,4,0,0,8,8,1,1,0,0,0,0,123,123
12,44,Jake Lloyd,1,Sydney,23,23,12,12,35,35,6,6,0,0,3,3,0,0,0,0,0,0,123,123
13,44,Tom Stewart,1,Geelong,24,24,7,7,31,31,9,9,0,0,2,2,0,0,0,0,0,0,121,121
14,4,Toby Greene,1,GWS Giants,15,15,4,4,19,19,9,9,0,0,3,3,2,0,4,4,2,26,120,120
15,5,Jayden Hunt,1,West Coast,21,21,13,13,34,34,9,9,0,0,2,2,1,2,0,0,1,1,120,120
16,4,Marcus Bontempelli,1,Western Bulldogs,16,16,11,11,27,27,1,1,0,0,11,11,2,1,0,0,0,0,116,116
17,5,Christian Petracca,1,Melbourne,18,18,12,12,30,30,6,6,0,0,5,5,0,0,0,0,0,0,116,116
18,35,Nick Daicos,1,Collingwood,13,13,19,19,32,32,3,3,0,0,6,6,0,0,1,1,0,6,116,116
19,18,Hugh Greenwood,1,North Melbourne,10,10,15,15,25,25,3,3,0,0,11,11,1,0,0,0,0,0,114,114
20,22,Nick Blakey,1,Sydney,21,21,5,5,26,26,12,12,0,0,1,1,1,0,0,0,0,0,114,114
21,5,Brad Crouch,1,St Kilda,15,15,11,11,26,26,7,7,0,0,5,5,3,1,1,1,0,6,114,114
22,23,Jesse Hogan,1,GWS Giants,14,14,5,5,19,19,10,10,0,0,6,6,4,0,0,0,2,2,112,112
23,6,Tom Mitchell,1,Collingwood,12,12,17,17,29,29,8,8,0,0,6,6,0,2,0,0,0,0,112,112
24,5,Josh Dunkley,1,Brisbane Lions,9,9,20,20,29,29,2,2,0,0,9,9,3,0,0,0,0,0,112,112
25,18,Sam Walsh,1,Carlton,19,19,12,12,31,31,6,6,0,0,2,2,2,1,1,1,0,6,112,112
26,32,Kieren Briggs,1,GWS Giants,13,13,4,4,17,17,1,1,34,34,5,5,1,0,1,1,0,6,111,111
27,28,Jarrod Witts,1,Gold Coast,12,12,7,7,19,19,2,2,51,51,3,3,1,3,0,0,0,0,111,111
28,7,Zach Merrett,1,Essendon,13,13,19,19,32,32,7,7,0,0,3,3,1,0,0,0,0,0,111,111
29,30,Charlie Curnow,1,Carlton,15,15,3,3,18,18,11,11,0,0,4,4,1,0,1,1,3,9,110,110
30,25,Shannon Hurn,1,West Coast,21,21,6,6,27,27,10,10,0,0,1,1,0,0,0,0,0,0,109,109
31,2,Ben Keays,1,Adelaide,17,17,11,11,28,28,0,0,0,0,9,9,1,3,1,1,2,8,109,109
32,9,Luke Jackson,1,Fremantle,14,14,5,5,19,19,4,4,15,15,6,6,1,1,1,1,1,7,108,108
33,15,Sam Docherty,1,Carlton,11,11,14,14,25,25,6,6,0,0,7,7,1,0,0,0,0,0,108,108
34,12,Tom Green,1,GWS Giants,16,16,12,12,28,28,4,4,0,0,6,6,0,0,0,0,0,0,108,108
35,25,Toby Nankervis,1,Richmond,10,10,12,12,22,22,3,3,29,29,8,8,1,6,0,0,0,0,107,107
36,9,Will Hayward,1,Sydney,13,13,7,7,20,20,7,7,0,0,6,6,2,0,1,1,0,6,106,106
37,35,Caleb Daniel,1,Western Bulldogs,16,16,9,9,25,25,3,3,0,0,6,6,1,0,1,1,0,6,106,106
38,1,Chad Warner,1,Sydney,17,17,12,12,29,29,2,2,0,0,5,5,0,3,2,2,1,13,105,105
39,43,Reilly O'Brien,1,Adelaide,5,5,10,10,15,15,2,2,52,52,4,4,1,2,0,0,0,0,104,104
40,3,Caleb Serong,1,Fremantle,13,13,13,13,26,26,5,5,0,0,5,5,1,1,1,1,0,6,104,104
41,46,Oscar McInerney,1,Brisbane Lions,9,9,4,4,13,13,1,1,57,57,2,2,0,0,0,0,0,0,103,103
42,29,Shai Bolton,1,Richmond,16,16,7,7,23,23,5,5,0,0,4,4,1,0,1,1,3,9,103,103
43,8,Andrew Brayshaw,1,Fremantle,10,10,19,19,29,29,3,3,0,0,6,6,1,0,0,0,1,1,103,103
44,27,Justin McInerney,1,Sydney,15,15,6,6,21,21,8,8,0,0,2,2,1,0,2,2,0,12,102,102
45,13,Luke Ryan,1,Fremantle,21,21,1,1,22,22,11,11,0,0,1,1,0,0,0,0,0,0,102,102
46,15,Jayden Short,1,Richmond,18,18,4,4,22,22,6,6,0,0,5,5,0,0,0,0,2,2,102,102
47,10,Scott Pendlebury,1,Collingwood,15,15,8,8,23,23,4,4,0,0,7,7,1,0,0,0,0,0,102,102
48,35,Nathan Broad,1,Richmond,19,19,5,5,24,24,6,6,0,0,4,4,1,0,0,0,0,0,102,102
49,20,Connor Rozee,1,Port Adelaide,17,17,10,10,27,27,7,7,0,0,2,2,1,0,0,0,1,1,102,102
50,6,Lachie Whitfield,1,GWS Giants,24,24,7,7,31,31,5,5,0,0,1,1,0,1,0,0,0,0,102,102
Totals,,,50,,808,16.2,530,10.6,1338,26.8,298,6,238,4.8,246,4.9,49,36,27,0.5,24,186,5727,114.5
51,21,Errol Gulden,1,Sydney,13,13,8,8,21,21,6,6,0,0,5,5,1,0,1,1,1,7,101,101
52,12,Will Day,1,Hawthorn,15,15,15,15,30,30,5,5,0,0,4,4,1,2,0,0,0,0,101,101
53,8,Bailey Scott,1,North Melbourne,19,19,11,11,30,30,6,6,0,0,0,0,1,1,1,1,0,6,101,101
54,9,Zak Butters,1,Port Adelaide,20,20,12,12,32,32,5,5,0,0,0,0,2,2,1,1,0,6,101,101
55,29,Scott Lycett,1,Port Adelaide,7,7,11,11,18,18,2,2,24,24,5,5,7,0,0,0,0,0,100,100
56,16,Brent Daniels,1,GWS Giants,11,11,8,8,19,19,1,1,0,0,7,7,2,0,3,3,0,18,100,100
57,9,Lachie Neale,1,Brisbane Lions,12,12,14,14,26,26,1,1,0,0,8,8,4,1,0,0,0,0,100,100
58,3,Jai Newcombe,1,Hawthorn,17,17,14,14,31,31,4,4,0,0,2,2,3,1,0,0,1,1,100,100
59,23,Jacob Weitering,1,Carlton,16,16,2,2,18,18,10,10,0,0,4,4,0,0,0,0,0,0,98,98
60,26,Hayden Young,1,Fremantle,20,20,7,7,27,27,4,4,0,0,3,3,0,0,0,0,0,0,98,98
61,11,Conor Nash,1,Hawthorn,10,10,17,17,27,27,4,4,0,0,5,5,1,0,0,0,1,1,98,98
62,8,Ben Hobbs,1,Essendon,12,12,5,5,17,17,8,8,0,0,5,5,1,2,2,2,0,12,97,97
63,46,Matthew Cottrell,1,Carlton,18,18,5,5,23,23,5,5,0,0,3,3,0,0,1,1,0,6,97,97
64,11,James Aish,1,Fremantle,13,13,11,11,24,24,6,6,0,0,3,3,0,0,1,1,0,6,97,97
65,4,Jarman Impey,1,Hawthorn,18,18,8,8,26,26,6,6,0,0,1,1,1,1,1,1,1,7,97,97
66,19,Rowan Marshall,1,St Kilda,14,14,3,3,17,17,6,6,17,17,4,4,3,2,0,0,0,0,96,96
67,2,Jaeger O'Meara,1,Fremantle,16,16,8,8,24,24,2,2,0,0,7,7,1,1,0,0,0,0,96,96
68,44,Tim English,1,Western Bulldogs,11,11,6,6,17,17,8,8,22,22,1,1,2,1,0,0,1,1,95,95
69,11,Mitch McGovern,1,Carlton,15,15,4,4,19,19,7,7,0,0,6,6,0,1,0,0,0,0,95,95
70,6,Brodie Grundy,1,Melbourne,8,8,11,11,19,19,4,4,20,20,3,3,0,1,1,1,2,8,95,95
71,46,Mark Blicavs,1,Geelong,12,12,10,10,22,22,2,2,11,11,6,6,1,1,0,0,0,0,95,95
72,7,Lachlan Ash,1,GWS Giants,15,15,11,11,26,26,9,9,0,0,1,1,0,1,0,0,0,0,95,95
73,14,Jordan Ridley,1,Essendon,18,18,10,10,28,28,8,8,0,0,0,0,0,1,0,0,0,0,95,95
74,8,James Rowbottom,1,Sydney,9,9,8,8,17,17,1,1,0,0,12,12,2,1,0,0,1,1,94,94
75,5,Jeremy Cameron,1,Geelong,13,13,4,4,17,17,7,7,0,0,3,3,2,1,2,2,3,15,94,94
76,33,Zac Bailey,1,Brisbane Lions,15,15,10,10,25,25,4,4,0,0,5,5,1,2,0,0,2,2,94,94
77,1,Andrew McGrath,1,Essendon,14,14,12,12,26,26,9,9,0,0,1,1,0,1,0,0,0,0,94,94
78,11,Jeremy Finlayson,1,Port Adelaide,15,15,2,2,17,17,9,9,5,5,1,1,0,0,1,1,2,8,93,93
79,21,Dyson Heppell,1,Essendon,14,14,10,10,24,24,13,13,0,0,0,0,1,3,0,0,0,0,93,93
80,32,Tom Sparrow,1,Melbourne,10,10,8,8,18,18,5,5,0,0,6,6,1,0,1,1,0,6,92,92
81,10,Angus Brayshaw,1,Melbourne,15,15,12,12,27,27,3,3,0,0,3,3,1,0,0,0,1,1,92,92
82,11,Max Gawn,1,Melbourne,6,6,9,9,15,15,5,5,35,35,2,2,0,1,0,0,0,0,91,91
83,7,Josh Daicos,1,Collingwood,11,11,7,7,18,18,3,3,0,0,4,4,1,0,3,3,0,18,91,91
84,5,Isaac Heeney,1,Sydney,9,9,10,10,19,19,1,1,0,0,10,10,1,0,0,0,0,0,91,91
85,10,Daniel Rich,1,Brisbane Lions,22,22,2,2,24,24,6,6,0,0,0,0,0,1,1,1,0,6,91,91
86,3,Stephen Coniglio,1,GWS Giants,15,15,11,11,26,26,3,3,0,0,5,5,0,2,0,0,1,1,91,91
87,7,Nick Holman,1,Gold Coast,7,7,5,5,12,12,2,2,0,0,10,10,1,0,2,2,0,12,90,90
88,4,Kyle Langford,1,Essendon,10,10,5,5,15,15,7,7,0,0,2,2,1,0,3,3,2,20,90,90
89,36,Brennan Cox,1,Fremantle,14,14,6,6,20,20,12,12,0,0,0,0,0,0,0,0,0,0,90,90
90,5,Adam Cerra,1,Carlton,8,8,16,16,24,24,2,2,0,0,7,7,3,1,0,0,0,0,90,90
91,15,Noah Anderson,1,Gold Coast,13,13,13,13,26,26,3,3,0,0,4,4,0,0,0,0,0,0,90,90
92,29,Will Phillips,1,North Melbourne,6,6,23,23,29,29,2,2,0,0,5,5,0,0,0,0,0,0,90,90
93,24,David Swallow,1,Gold Coast,14,14,5,5,19,19,3,3,0,0,6,6,1,1,1,1,0,6,89,89
94,11,Tim Kelly,1,West Coast,13,13,16,16,29,29,4,4,0,0,3,3,0,2,0,0,0,0,89,89
95,20,Nick Larkey,1,North Melbourne,9,9,4,4,13,13,8,8,0,0,0,0,0,1,5,5,2,32,88,88
96,17,Daniel Rioli,1,Richmond,15,15,5,5,20,20,5,5,0,0,4,4,1,0,0,0,1,1,88,88
97,7,Jack Ziebell,1,North Melbourne,19,19,4,4,23,23,7,7,0,0,1,1,1,1,0,0,0,0,88,88
98,2,Jamarra Ugle-Hagan,1,Western Bulldogs,11,11,1,1,12,12,9,9,1,1,1,1,1,0,3,3,1,19,87,87
99,2,Jaidyn Stephenson,1,North Melbourne,10,10,4,4,14,14,9,9,0,0,2,2,0,0,2,2,2,14,87,87
100,4,Brayden Maynard,1,Collingwood,13,13,4,4,17,17,8,8,0,0,4,4,0,0,0,0,0,0,87,87
Totals,,,50,,660,13.2,427,8.5,1087,21.7,269,5.4,135,2.7,184,3.7,50,37,36,0.7,25,241,4692,93.8
101,25,Jake Stringer,1,Essendon,13,13,5,5,18,18,5,5,0,0,5,5,0,1,1,1,0,6,87,87
102,32,Bailey J. Williams,1,West Coast,6,6,6,6,12,12,2,2,33,33,4,4,2,1,0,0,1,1,85,85
103,30,Alex Neal-Bullen,1,Melbourne,10,10,8,8,18,18,1,1,0,0,9,9,2,1,0,0,0,0,84,84
104,7,Harry Cunningham,1,Sydney,10,10,10,10,20,20,7,7,0,0,3,3,0,0,0,0,1,1,84,84
105,16,Oliver Wines,1,Port Adelaide,7,7,14,14,21,21,4,4,0,0,4,4,1,0,1,1,0,6,84,84
106,30,Wayne Milera,1,Adelaide,13,13,9,9,22,22,3,3,0,0,4,4,2,0,0,0,0,0,84,84
107,18,Jason Horne-Francis,1,Port Adelaide,15,15,8,8,23,23,5,5,0,0,0,0,4,1,1,1,1,7,84,84
108,6,Elliot Yeo,1,West Coast,11,11,13,13,24,24,3,3,0,0,4,4,0,0,0,0,0,0,84,84
109,16,Archie Perkins,1,Essendon,13,13,2,2,15,15,4,4,0,0,5,5,1,0,1,1,1,7,83,83
110,7,Isaac Smith,1,Geelong,18,18,6,6,24,24,4,4,0,0,1,1,0,0,0,0,1,1,83,83
