Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,19,Rowan Marshall,1,St Kilda,21,21,10,10,31,31,5,5,18,18,4,4,3,1,1,1,0,6,138,138
2,13,Clayton Oliver,1,Melbourne,21,21,10,10,31,31,5,5,0,0,10,10,3,3,0,0,0,0,132,132
3,11,Max Gawn,1,Melbourne,17,17,10,10,27,27,7,7,31,31,3,3,0,3,0,0,0,0,126,126
4,9,Zak Butters,1,Port Adelaide,19,19,10,10,29,29,6,6,0,0,7,7,1,0,0,0,0,0,124,124
5,9,Jack Steele,1,St Kilda,13,13,25,25,38,38,6,6,0,0,2,2,2,1,0,0,0,0,114,114
6,7,Lachlan Ash,1,GWS Giants,20,20,11,11,31,31,9,9,0,0,1,1,0,0,0,0,0,0,113,113
7,12,Tom Green,1,GWS Giants,21,21,14,14,35,35,1,1,0,0,5,5,1,1,0,0,0,0,112,112
8,2,Hayden McLean,1,Sydney,12,12,5,5,17,17,12,12,11,11,4,4,0,2,1,1,1,7,110,110
9,8,Bradley Hill,1,St Kilda,19,19,10,10,29,29,5,5,0,0,2,2,0,1,2,2,1,13,110,110
10,21,Errol Gulden,1,Sydney,20,20,3,3,23,23,8,8,0,0,3,3,0,3,2,2,1,13,106,106
11,5,Adam Cerra,1,Carlton,14,14,10,10,24,24,3,3,0,0,7,7,2,1,1,1,0,6,104,104
12,44,Jake Lloyd,1,Sydney,19,19,8,8,27,27,10,10,0,0,1,1,0,1,0,0,0,0,104,104
13,29,Scott Lycett,1,Port Adelaide,3,3,8,8,11,11,1,1,38,38,9,9,2,1,0,0,1,1,102,102
14,32,Kieren Briggs,1,GWS Giants,10,10,7,7,17,17,4,4,28,28,5,5,0,1,0,0,1,1,102,102
15,26,Luke Parker,1,Sydney,14,14,5,5,19,19,8,8,0,0,4,4,1,1,2,2,0,12,102,102
16,22,Steele Sidebottom,1,Collingwood,18,18,4,4,22,22,5,5,0,0,6,6,0,0,0,0,0,0,101,101
17,18,Sam Walsh,1,Carlton,13,13,16,16,29,29,2,2,0,0,6,6,0,0,0,0,0,0,101,101
18,42,Adam Saad,1,Carlton,21,21,2,2,23,23,7,7,0,0,3,3,0,0,0,0,0,0,100,100
19,35,Jack Sinclair,1,St Kilda,14,14,11,11,25,25,4,4,0,0,6,6,0,0,0,0,0,0,100,100
20,6,Lachie Whitfield,1,GWS Giants,21,21,10,10,31,31,5,5,0,0,2,2,2,3,0,0,0,0,99,99
21,3,Joe Daniher,1,Brisbane Lions,13,13,3,3,16,16,6,6,1,1,1,1,1,1,5,5,1,31,97,97
22,5,Josh Dunkley,1,Brisbane Lions,9,9,12,12,21,21,5,5,0,0,7,7,1,0,0,0,0,0,95,95
23,5,Dan Houston,1,Port Adelaide,19,19,8,8,27,27,6,6,0,0,1,1,0,0,0,0,0,0,95,95
24,32,Will Hoskin-Elliott,1,Collingwood,19,19,1,1,20,20,5,5,0,0,5,5,0,0,0,0,0,0,94,94
25,7,Nasiah Wanganeen-Milera,1,St Kilda,17,17,6,6,23,23,6,6,0,0,2,2,2,1,1,1,0,6,94,94
26,6,Hugh McCluggage,1,Brisbane Lions,16,16,10,10,26,26,6,6,0,0,1,1,1,1,1,1,0,6,94,94
27,22,Joshua Kelly,1,GWS Giants,17,17,10,10,27,27,3,3,0,0,1,1,0,1,2,2,1,13,94,94
28,5,Christian Petracca,1,Melbourne,13,13,16,16,29,29,2,2,0,0,4,4,3,1,0,0,1,1,94,94
29,15,Sam Docherty,1,Carlton,16,16,5,5,21,21,6,6,0,0,3,3,1,1,1,1,1,7,93,93
30,20,Connor Rozee,1,Port Adelaide,17,17,11,11,28,28,2,2,0,0,2,2,3,1,1,1,0,6,93,93
31,13,Blake Acres,1,Carlton,17,17,9,9,26,26,4,4,0,0,1,1,0,0,1,1,1,7,92,92
32,16,Brent Daniels,1,GWS Giants,13,13,6,6,19,19,3,3,0,0,6,6,2,1,1,1,0,6,89,89
33,1,Chad Warner,1,Sydney,17,17,5,5,22,22,4,4,0,0,5,5,1,2,0,0,1,1,89,89
34,14,Callum Mills,1,Sydney,13,13,8,8,21,21,3,3,0,0,5,5,3,0,0,0,1,1,88,88
35,16,Braeden Campbell,1,Sydney,12,12,10,10,22,22,6,6,0,0,3,3,0,0,0,0,1,1,87,87
36,46,Matthew Cottrell,1,Carlton,12,12,5,5,17,17,4,4,0,0,3,3,3,0,2,2,1,13,86,86
37,17,Jake Bowey,1,Melbourne,15,15,4,4,19,19,8,8,0,0,2,2,1,0,0,0,0,0,86,86
38,24,Nic Newman,1,Carlton,16,16,7,7,23,23,5,5,0,0,2,2,1,0,0,0,0,0,86,86
39,29,George Hewett,1,Carlton,12,12,13,13,25,25,4,4,0,0,5,5,1,3,0,0,0,0,86,86
40,23,Ian Hill,1,Collingwood,11,11,2,2,13,13,5,5,0,0,4,4,1,1,3,3,1,19,85,85
41,28,Jaspa Fletcher,1,Brisbane Lions,9,9,7,7,16,16,6,6,0,0,1,1,1,0,3,3,0,18,82,82
42,6,Sebastian Ross,1,St Kilda,14,14,10,10,24,24,1,1,0,0,4,4,3,1,0,0,1,1,82,82
43,37,Brandon Starcevich,1,Brisbane Lions,12,12,3,3,15,15,7,7,0,0,6,6,2,3,0,0,0,0,80,80
44,14,Toby Bedford,1,GWS Giants,10,10,6,6,16,16,2,2,0,0,4,4,2,0,2,2,2,14,80,80
45,4,Jade Gresham,1,St Kilda,6,6,11,11,17,17,4,4,0,0,7,7,0,0,0,0,0,0,80,80
46,25,Jack Crisp,1,Collingwood,14,14,9,9,23,23,3,3,0,0,2,2,0,1,1,1,0,6,80,80
47,30,Eric Hipwood,1,Brisbane Lions,10,10,3,3,13,13,7,7,0,0,4,4,0,1,1,1,3,9,79,79
48,7,Xavier Duursma,1,Port Adelaide,11,11,5,5,16,16,6,6,0,0,4,4,1,0,0,0,0,0,78,78
49,43,Cooper Sharman,1,St Kilda,11,11,5,5,16,16,6,6,0,0,1,1,0,0,2,2,1,13,78,78
50,41,Brody Mihocek,1,Collingwood,10,10,5,5,15,15,6,6,0,0,4,4,2,2,1,1,1,7,77,77
Totals,,,50,,731,14.6,404,8.1,1135,22.7,254,5.1,127,2.5,190,3.8,53,45,37,0.7,23,245,4813,96.3
51,17,Finn Callaghan,1,GWS Giants,9,9,9,9,18,18,6,6,0,0,2,2,0,0,1,1,0,6,77,77
52,30,Alex Neal-Bullen,1,Melbourne,11,11,6,6,17,17,1,1,0,0,5,5,2,0,1,1,0,6,76,76
53,28,Willem Drew,1,Port Adelaide,9,9,11,11,20,20,1,1,0,0,6,6,3,1,0,0,0,0,76,76
