Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,2,Jordan de Goey,1,Collingwood,17,17,17,17,34,34,6,6,0,0,2,2,3,0,0,0,0,0,114,114
2,6,Tom Mitchell,1,Collingwood,9,9,15,15,24,24,3,3,0,0,10,10,1,0,0,0,0,0,107,107
3,18,Keidean Coleman,1,Brisbane Lions,18,18,3,3,21,21,10,10,0,0,4,4,0,0,0,0,0,0,106,106
4,22,Joshua Kelly,1,GWS Giants,18,18,16,16,34,34,4,4,0,0,2,2,0,0,0,0,0,0,106,106
5,18,Sam Walsh,1,Carlton,15,15,18,18,33,33,3,3,0,0,6,6,0,3,0,0,0,0,105,105
6,46,Oscar McInerney,1,Brisbane Lions,10,10,4,4,14,14,2,2,38,38,3,3,1,1,2,2,0,12,104,104
7,35,Nick Daicos,1,Collingwood,15,15,13,13,28,28,4,4,0,0,4,4,0,0,0,0,1,1,100,100
8,22,Steele Sidebottom,1,Collingwood,18,18,6,6,24,24,6,6,0,0,4,4,0,1,0,0,0,0,97,97
9,15,Dayne Zorko,1,Brisbane Lions,17,17,5,5,22,22,6,6,0,0,4,4,1,0,0,0,0,0,96,96
10,11,Lincoln McCarthy,1,Brisbane Lions,10,10,8,8,18,18,3,3,0,0,7,7,0,0,2,2,0,12,95,95
11,12,Tom Green,1,GWS Giants,19,19,12,12,31,31,2,2,0,0,1,1,0,1,1,1,0,6,94,94
12,25,Jack Crisp,1,Collingwood,15,15,4,4,19,19,5,5,0,0,5,5,0,1,1,1,1,7,92,92
13,5,Josh Dunkley,1,Brisbane Lions,9,9,14,14,23,23,5,5,0,0,5,5,0,0,0,0,0,0,90,90
14,3,Stephen Coniglio,1,GWS Giants,14,14,11,11,25,25,3,3,0,0,4,4,1,0,0,0,0,0,90,90
15,10,Scott Pendlebury,1,Collingwood,16,16,9,9,25,25,8,8,0,0,0,0,0,0,0,0,0,0,90,90
16,35,Ryan Lester,1,Brisbane Lions,13,13,3,3,16,16,9,9,0,0,2,2,3,0,1,1,0,6,89,89
17,3,Isaac Quaynor,1,Collingwood,13,13,6,6,19,19,8,8,0,0,4,4,1,1,0,0,0,0,89,89
18,15,Sam Docherty,1,Carlton,9,9,10,10,19,19,5,5,0,0,5,5,0,0,1,1,0,6,88,88
19,14,Darcy Cameron,1,Collingwood,9,9,4,4,13,13,8,8,18,18,2,2,2,0,0,0,0,0,87,87
20,38,Daniel Lloyd,1,GWS Giants,12,12,2,2,14,14,8,8,0,0,4,4,0,0,1,1,1,7,87,87
21,38,Jeremy Howe,1,Collingwood,11,11,4,4,15,15,10,10,0,0,4,4,0,0,0,0,0,0,87,87
22,16,Brent Daniels,1,GWS Giants,14,14,5,5,19,19,6,6,0,0,4,4,0,0,0,0,1,1,87,87
23,6,Lachie Whitfield,1,GWS Giants,19,19,7,7,26,26,3,3,0,0,3,3,0,2,0,0,0,0,86,86
24,44,Darcy Wilmot,1,Brisbane Lions,17,17,1,1,18,18,8,8,0,0,2,2,0,0,0,0,0,0,85,85
25,26,Conor McKenna,1,Brisbane Lions,19,19,1,1,20,20,3,3,0,0,2,2,2,0,1,1,0,6,84,84
26,7,Lachlan Ash,1,GWS Giants,15,15,7,7,22,22,7,7,0,0,1,1,0,0,0,0,0,0,84,84
27,24,Nic Newman,1,Carlton,16,16,7,7,23,23,4,4,0,0,3,3,1,1,0,0,0,0,84,84
28,11,Mitch McGovern,1,Carlton,15,15,9,9,24,24,5,5,0,0,2,2,1,1,0,0,0,0,84,84
29,7,Jarrod Berry,1,Brisbane Lions,14,14,10,10,24,24,6,6,0,0,1,1,1,1,0,0,0,0,82,82
30,46,Mason Cox,1,Collingwood,6,6,3,3,9,9,4,4,27,27,3,3,0,0,1,1,0,6,81,81
31,22,Caleb Marchbank,1,Carlton,16,16,4,4,20,20,8,8,0,0,0,0,1,0,0,0,0,0,81,81
32,4,Brayden Maynard,1,Collingwood,12,12,6,6,18,18,5,5,0,0,5,5,0,1,0,0,0,0,80,80
33,9,Lachie Neale,1,Brisbane Lions,11,11,12,12,23,23,2,2,0,0,3,3,2,0,0,0,0,0,77,77
34,37,Jordan Boyd,1,Carlton,13,13,4,4,17,17,5,5,0,0,4,4,1,1,0,0,0,0,76,76
35,23,Jacob Weitering,1,Carlton,13,13,4,4,17,17,8,8,0,0,1,1,1,0,0,0,0,0,76,76
36,9,Patrick Cripps,1,Carlton,6,6,7,7,13,13,4,4,0,0,6,6,1,2,2,2,0,12,75,75
37,36,Harry Perryman,1,GWS Giants,10,10,4,4,14,14,5,5,0,0,6,6,0,1,0,0,0,0,74,74
38,15,Sam Taylor,1,GWS Giants,8,8,8,8,16,16,3,3,0,0,6,6,3,1,0,0,0,0,73,73
39,5,Adam Cerra,1,Carlton,8,8,12,12,20,20,2,2,0,0,5,5,1,1,0,0,1,1,73,73
40,13,Isaac Cumming,1,GWS Giants,12,12,2,2,14,14,7,7,0,0,2,2,0,1,1,1,0,6,72,72
41,44,Jack Buckley,1,GWS Giants,9,9,7,7,16,16,6,6,0,0,3,3,1,0,0,0,0,0,72,72
42,29,George Hewett,1,Carlton,7,7,13,13,20,20,0,0,0,0,6,6,1,0,0,0,0,0,72,72
43,4,Toby Greene,1,GWS Giants,12,12,5,5,17,17,2,2,0,0,1,1,1,0,2,2,0,12,69,69
44,32,Kieren Briggs,1,GWS Giants,9,9,2,2,11,11,3,3,15,15,3,3,1,0,0,0,0,0,68,68
45,28,Jaspa Fletcher,1,Brisbane Lions,9,9,2,2,11,11,8,8,0,0,3,3,0,0,0,0,0,0,67,67
46,17,Finn Callaghan,1,GWS Giants,4,4,17,17,21,21,3,3,0,0,3,3,0,0,0,0,0,0,67,67
47,10,Harry McKay,1,Carlton,10,10,0,0,10,10,6,6,0,0,0,0,4,0,2,2,2,14,66,66
48,46,Callum M. Brown,1,GWS Giants,5,5,9,9,14,14,4,4,0,0,3,3,1,0,1,1,2,8,66,66
49,3,Joe Daniher,1,Brisbane Lions,10,10,4,4,14,14,3,3,3,3,1,1,2,1,2,2,1,13,66,66
50,1,Patrick Lipinski,1,Collingwood,9,9,8,8,17,17,1,1,0,0,5,5,1,1,0,0,0,0,64,64
