Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,24,Nic Newman,1,Carlton,26,26,8,8,34,34,14,14,0,0,5,5,1,0,1,1,1,7,164,164
2,19,Rowan Marshall,1,St Kilda,19,19,7,7,26,26,6,6,28,28,10,10,4,1,0,0,1,1,159,159
3,30,Charlie Curnow,1,Carlton,15,15,3,3,18,18,14,14,0,0,0,0,1,0,9,9,3,57,151,151
4,5,Christian Petracca,1,Melbourne,20,20,15,15,35,35,8,8,0,0,3,3,0,1,3,3,1,19,142,142
5,26,Tom Hawkins,1,Geelong,13,13,3,3,16,16,12,12,3,3,1,1,0,0,8,8,1,49,137,137
6,5,Adam Cerra,1,Carlton,19,19,11,11,30,30,8,8,0,0,8,8,2,2,1,1,0,6,137,137
7,43,Aaron Hall,1,North Melbourne,26,26,4,4,30,30,12,12,0,0,4,4,1,1,0,0,0,0,136,136
8,12,Tom Green,1,GWS Giants,15,15,16,16,31,31,2,2,0,0,13,13,1,0,0,0,0,0,136,136
9,15,Noah Anderson,1,Gold Coast,19,19,13,13,32,32,9,9,0,0,5,5,0,1,1,1,1,7,134,134
10,19,Peter Ladhams,1,Sydney,13,13,11,11,24,24,5,5,34,34,4,4,1,1,1,1,0,6,130,130
11,13,Blake Acres,1,Carlton,20,20,14,14,34,34,10,10,0,0,2,2,0,1,1,1,0,6,129,129
12,9,Jack Steele,1,St Kilda,10,10,18,18,28,28,5,5,0,0,11,11,2,2,1,1,1,7,128,128
13,18,Sam Walsh,1,Carlton,12,12,18,18,30,30,5,5,0,0,10,10,0,0,0,0,1,1,128,128
14,27,Wil Powell,1,Gold Coast,23,23,5,5,28,28,13,13,0,0,2,2,1,0,0,0,0,0,127,127
15,3,Harry Sheezel,1,North Melbourne,19,19,11,11,30,30,11,11,0,0,3,3,2,0,0,0,0,0,126,126
16,14,Tim Taranto,1,Richmond,16,16,16,16,32,32,9,9,0,0,3,3,0,0,1,1,1,7,126,126
17,13,Clayton Oliver,1,Melbourne,17,17,20,20,37,37,7,7,0,0,3,3,1,0,0,0,0,0,125,125
18,10,Travis Boak,1,Port Adelaide,15,15,15,15,30,30,6,6,0,0,6,6,0,0,1,1,1,7,124,124
19,29,George Hewett,1,Carlton,14,14,18,18,32,32,5,5,0,0,8,8,2,1,0,0,0,0,124,124
20,15,Jayden Short,1,Richmond,25,25,7,7,32,32,11,11,0,0,1,1,0,1,0,0,0,0,123,123
21,3,Darcy Parish,1,Essendon,14,14,24,24,38,38,4,4,0,0,4,4,3,0,0,0,0,0,121,121
22,44,Darcy MacPherson,1,Gold Coast,18,18,13,13,31,31,9,9,0,0,3,3,0,0,0,0,0,0,119,119
23,35,Jack Sinclair,1,St Kilda,22,22,11,11,33,33,3,3,0,0,5,5,1,0,0,0,1,1,119,119
24,9,Lachie Neale,1,Brisbane Lions,14,14,21,21,35,35,2,2,0,0,7,7,0,0,0,0,1,1,119,119
25,35,Caleb Daniel,1,Western Bulldogs,14,14,13,13,27,27,5,5,0,0,7,7,1,0,1,1,0,6,118,118
26,5,Dan Houston,1,Port Adelaide,14,14,8,8,22,22,9,9,0,0,7,7,1,1,1,1,0,6,117,117
27,21,Errol Gulden,1,Sydney,16,16,11,11,27,27,5,5,0,0,6,6,1,0,1,1,0,6,116,116
28,9,Patrick Cripps,1,Carlton,6,6,27,27,33,33,3,3,0,0,8,8,3,2,1,1,0,6,116,116
29,36,Harry Perryman,1,GWS Giants,12,12,9,9,21,21,2,2,0,0,9,9,1,0,3,3,0,18,115,115
30,10,Charlie Ballard,1,Gold Coast,21,21,3,3,24,24,12,12,0,0,2,2,2,0,0,0,0,0,115,115
31,25,Jake Stringer,1,Essendon,17,17,9,9,26,26,5,5,0,0,2,2,1,1,4,4,1,25,115,115
32,5,Josh Dunkley,1,Brisbane Lions,11,11,17,17,28,28,7,7,0,0,8,8,1,2,0,0,0,0,115,115
33,8,Will Ashcroft,1,Brisbane Lions,16,16,12,12,28,28,7,7,0,0,2,2,1,0,2,2,1,13,115,115
34,44,Tom Stewart,1,Geelong,24,24,2,2,26,26,12,12,0,0,1,1,0,1,0,0,0,0,113,113
35,1,Chad Warner,1,Sydney,16,16,13,13,29,29,3,3,0,0,6,6,0,0,1,1,0,6,113,113
36,8,Andrew Brayshaw,1,Fremantle,14,14,16,16,30,30,5,5,0,0,4,4,2,2,2,2,0,12,113,113
37,8,Brayden Fiorini,1,Gold Coast,14,14,6,6,20,20,9,9,0,0,6,6,1,0,1,1,0,6,112,112
38,15,Blake Hardwick,1,Hawthorn,21,21,6,6,27,27,12,12,0,0,1,1,0,1,0,0,0,0,112,112
39,12,Jordan Dawson,1,Adelaide,21,21,9,9,30,30,3,3,0,0,5,5,5,1,0,0,0,0,112,112
40,26,Hayden Young,1,Fremantle,19,19,14,14,33,33,3,3,0,0,4,4,1,0,0,0,1,1,112,112
41,26,Luke Parker,1,Sydney,18,18,15,15,33,33,5,5,0,0,4,4,0,3,1,1,0,6,112,112
