Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,11,Max Gawn,1,Melbourne,13,13,16,16,29,29,5,5,39,39,7,7,5,1,1,1,1,7,162,162
2,5,Dan Houston,1,Port Adelaide,22,22,19,19,41,41,9,9,0,0,6,6,1,0,0,0,0,0,156,156
3,4,Marcus Bontempelli,1,Western Bulldogs,22,22,9,9,31,31,6,6,0,0,8,8,1,2,2,2,1,13,142,142
4,44,Tim English,1,Western Bulldogs,17,17,5,5,22,22,4,4,60,60,1,1,3,0,0,0,0,0,140,140
5,9,Luke Davies-Uniacke,1,North Melbourne,16,16,10,10,26,26,10,10,0,0,9,9,1,1,1,1,0,6,138,138
6,8,Bailey Scott,1,North Melbourne,23,23,11,11,34,34,8,8,0,0,5,5,1,0,0,0,0,0,136,136
7,35,Nick Daicos,1,Collingwood,18,18,18,18,36,36,5,5,0,0,4,4,3,0,1,1,2,8,132,132
8,29,Rory Laird,1,Adelaide,8,8,25,25,33,33,3,3,0,0,11,11,1,1,1,1,0,6,131,131
9,5,James Worpel,1,Hawthorn,17,17,15,15,32,32,5,5,0,0,6,6,1,1,1,1,3,9,127,127
10,21,Errol Gulden,1,Sydney,21,21,9,9,30,30,5,5,0,0,7,7,2,0,0,0,0,0,126,126
11,13,Taylor Adams,1,Collingwood,13,13,10,10,23,23,7,7,0,0,9,9,2,2,2,2,1,13,125,125
12,12,Jordan Dawson,1,Adelaide,17,17,10,10,27,27,7,7,0,0,7,7,1,0,0,0,2,2,123,123
13,30,Tom Atkins,1,Geelong,14,14,14,14,28,28,4,4,0,0,12,12,1,3,0,0,0,0,122,122
14,2,Rory Atkins,1,Gold Coast,22,22,10,10,32,32,8,8,0,0,1,1,2,2,2,2,0,12,122,122
15,7,Josh Daicos,1,Collingwood,16,16,15,15,31,31,6,6,0,0,4,4,2,0,1,1,0,6,120,120
16,3,Sam Flanders,1,Gold Coast,19,19,14,14,33,33,7,7,0,0,3,3,1,0,0,0,1,1,120,120
17,27,Wil Powell,1,Gold Coast,20,20,6,6,26,26,10,10,0,0,6,6,1,3,0,0,0,0,118,118
18,21,Tom Liberatore,1,Western Bulldogs,13,13,18,18,31,31,4,4,0,0,7,7,0,1,1,1,0,6,118,118
19,28,Neil Erasmus,1,Fremantle,13,13,13,13,26,26,3,3,0,0,10,10,3,1,0,0,1,1,115,115
20,5,Christian Petracca,1,Melbourne,12,12,14,14,26,26,3,3,0,0,4,4,3,1,4,4,2,26,115,115
21,3,Harry Sheezel,1,North Melbourne,21,21,9,9,30,30,6,6,0,0,3,3,1,0,0,0,0,0,112,112
22,14,Tim Taranto,1,Richmond,13,13,14,14,27,27,3,3,0,0,8,8,0,1,1,1,0,6,111,111
23,12,Will Day,1,Hawthorn,12,12,16,16,28,28,4,4,0,0,7,7,3,0,0,0,0,0,111,111
24,20,Connor Rozee,1,Port Adelaide,15,15,13,13,28,28,4,4,0,0,6,6,0,3,2,2,1,13,111,111
25,26,Tom Hawkins,1,Geelong,13,13,3,3,16,16,8,8,2,2,1,1,2,0,5,5,3,33,110,110
26,1,Jack Silvagni,1,Carlton,8,8,11,11,19,19,5,5,10,10,4,4,1,1,4,4,1,25,110,110
27,8,Andrew Brayshaw,1,Fremantle,11,11,19,19,30,30,4,4,0,0,7,7,2,1,0,0,0,0,110,110
28,14,Liam Shiels,1,North Melbourne,9,9,13,13,22,22,6,6,0,0,10,10,1,1,0,0,0,0,109,109
29,33,Brodie Smith,1,Adelaide,22,22,5,5,27,27,5,5,0,0,5,5,1,1,0,0,0,0,109,109
30,9,Max Holmes,1,Geelong,19,19,14,14,33,33,8,8,0,0,0,0,0,0,0,0,0,0,109,109
31,10,Karl Amon,1,Hawthorn,21,21,12,12,33,33,4,4,0,0,1,1,0,0,1,1,0,6,109,109
32,28,Jarrod Witts,1,Gold Coast,7,7,8,8,15,15,2,2,39,39,6,6,2,0,0,0,0,0,108,108
33,24,Nic Newman,1,Carlton,14,14,9,9,23,23,4,4,0,0,9,9,0,2,1,1,0,6,108,108
34,11,Touk Miller,1,Gold Coast,13,13,12,12,25,25,8,8,0,0,5,5,0,0,0,0,1,1,108,108
35,7,Jack Viney,1,Melbourne,13,13,12,12,25,25,3,3,0,0,8,8,1,1,1,1,0,6,108,108
36,20,Ed Richards,1,Western Bulldogs,18,18,10,10,28,28,11,11,0,0,2,2,1,3,0,0,1,1,108,108
37,22,Joshua Kelly,1,GWS Giants,11,11,17,17,28,28,4,4,0,0,6,6,2,1,1,1,0,6,108,108
38,20,Ivan Soldo,1,Richmond,7,7,4,4,11,11,5,5,41,41,5,5,1,2,1,1,1,7,107,107
39,9,Jack Steele,1,St Kilda,12,12,10,10,22,22,6,6,0,0,8,8,0,0,0,0,0,0,106,106
