Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,44,Tim English,1,Western Bulldogs,14,14,13,13,27,27,12,12,30,30,8,8,0,3,0,0,1,1,158,158
2,7,Zach Merrett,1,Essendon,19,19,15,15,34,34,11,11,0,0,6,6,2,1,2,2,0,12,155,155
3,4,Dom Sheed,1,West Coast,22,22,21,21,43,43,9,9,0,0,1,1,1,3,1,1,1,7,138,138
4,14,Liam Duggan,1,West Coast,24,24,9,9,33,33,13,13,0,0,2,2,0,0,0,0,0,0,137,137
5,35,Caleb Daniel,1,Western Bulldogs,21,21,14,14,35,35,6,6,0,0,5,5,1,0,1,1,0,6,136,136
6,8,Callan Ward,1,GWS Giants,20,20,12,12,32,32,6,6,0,0,7,7,0,1,1,1,1,7,134,134
7,1,Adam Treloar,1,Western Bulldogs,11,11,20,20,31,31,3,3,0,0,11,11,1,1,1,1,0,6,130,130
8,14,Tim Taranto,1,Richmond,22,22,14,14,36,36,4,4,0,0,5,5,1,1,1,1,0,6,130,130
9,9,Zak Butters,1,Port Adelaide,17,17,9,9,26,26,8,8,0,0,7,7,1,0,1,1,1,7,129,129
10,12,Jordan Dawson,1,Adelaide,20,20,10,10,30,30,7,7,0,0,6,6,2,2,1,1,1,7,128,128
11,11,Jeremy Finlayson,1,Port Adelaide,15,15,2,2,17,17,9,9,3,3,5,5,1,2,5,5,2,32,126,126
12,6,Tom Mitchell,1,Collingwood,10,10,20,20,30,30,1,1,0,0,13,13,2,3,1,1,0,6,124,124
13,2,Ben Keays,1,Adelaide,18,18,7,7,25,25,3,3,0,0,10,10,1,3,2,2,2,14,123,123
14,20,Connor Rozee,1,Port Adelaide,22,22,7,7,29,29,8,8,0,0,2,2,1,0,1,1,2,8,121,121
15,21,Tom Liberatore,1,Western Bulldogs,16,16,14,14,30,30,7,7,0,0,7,7,2,2,0,0,0,0,121,121
16,31,Bailey Dale,1,Western Bulldogs,22,22,9,9,31,31,8,8,0,0,2,2,2,0,0,0,0,0,118,118
17,5,Christian Petracca,1,Melbourne,17,17,15,15,32,32,6,6,0,0,4,4,0,1,1,1,0,6,118,118
18,4,Jarman Impey,1,Hawthorn,22,22,11,11,33,33,6,6,0,0,2,2,1,1,1,1,0,6,118,118
19,32,Kieren Briggs,1,GWS Giants,6,6,5,5,11,11,3,3,30,30,9,9,1,0,2,2,1,13,117,117
20,44,Tom Stewart,1,Geelong,23,23,4,4,27,27,10,10,0,0,1,1,1,1,1,1,0,6,115,115
21,12,Tom Green,1,GWS Giants,13,13,22,22,35,35,6,6,0,0,4,4,1,1,0,0,0,0,115,115
22,35,Nick Daicos,1,Collingwood,17,17,13,13,30,30,1,1,0,0,3,3,3,0,3,3,1,19,114,114
23,11,Tim Kelly,1,West Coast,15,15,14,14,29,29,4,4,0,0,5,5,1,0,1,1,0,6,112,112
24,37,Nic Martin,1,Essendon,14,14,7,7,21,21,7,7,0,0,5,5,2,0,2,2,0,12,111,111
25,5,Adam Cerra,1,Carlton,13,13,17,17,30,30,6,6,0,0,4,4,4,0,0,0,0,0,111,111
26,14,Darcy Cameron,1,Collingwood,12,12,11,11,23,23,7,7,31,31,1,1,3,3,0,0,1,1,109,109
27,15,Noah Anderson,1,Gold Coast,22,22,6,6,28,28,4,4,0,0,2,2,1,1,2,2,1,13,109,109
28,4,Marcus Bontempelli,1,Western Bulldogs,18,18,5,5,23,23,5,5,0,0,8,8,1,2,0,0,2,2,108,108
29,46,Mark Blicavs,1,Geelong,10,10,7,7,17,17,3,3,16,16,7,7,3,0,1,1,1,7,107,107
30,6,Jye Caldwell,1,Essendon,21,21,6,6,27,27,9,9,0,0,1,1,1,0,0,0,0,0,107,107
31,8,Jack Riewoldt,1,Richmond,9,9,6,6,15,15,8,8,0,0,3,3,0,1,5,5,3,33,105,105
32,11,Jackson Macrae,1,Western Bulldogs,13,13,16,16,29,29,5,5,0,0,3,3,0,0,1,1,0,6,104,104
33,4,Todd Marshall,1,Port Adelaide,12,12,4,4,16,16,10,10,0,0,1,1,0,2,5,5,1,31,103,103
34,3,Stephen Coniglio,1,GWS Giants,15,15,8,8,23,23,2,2,0,0,8,8,1,0,0,0,1,1,101,101
35,23,Alex Witherden,1,West Coast,15,15,13,13,28,28,7,7,0,0,2,2,1,0,0,0,0,0,101,101
36,4,Tanner Bruhn,1,Geelong,10,10,5,5,15,15,5,5,0,0,12,12,0,3,1,1,0,6,100,100
37,25,Toby Nankervis,1,Richmond,10,10,8,8,18,18,5,5,27,27,3,3,0,0,0,0,0,0,100,100
38,5,Jeremy Cameron,1,Geelong,14,14,7,7,21,21,7,7,0,0,3,3,1,1,2,2,1,13,100,100
39,41,Brody Mihocek,1,Collingwood,14,14,1,1,15,15,11,11,0,0,1,1,0,1,3,3,2,20,98,98
40,32,Gryan Miers,1,Geelong,14,14,6,6,20,20,8,8,0,0,4,4,0,1,1,1,0,6,97,97
41,13,Oskar Baker,1,Western Bulldogs,17,17,5,5,22,22,9,9,0,0,2,2,0,0,0,0,1,1,97,97
42,7,Lachlan Ash,1,GWS Giants,18,18,15,15,33,33,4,4,0,0,1,1,0,1,0,0,0,0,97,97
43,2,Mitch Lewis,1,Hawthorn,12,12,8,8,20,20,8,8,0,0,0,0,0,0,3,3,2,20,96,96
44,43,Aaron Hall,1,North Melbourne,21,21,6,6,27,27,4,4,0,0,2,2,1,0,0,0,0,0,96,96
45,13,Taylor Adams,1,Collingwood,14,14,9,9,23,23,7,7,0,0,3,3,2,2,1,1,0,6,95,95
46,46,Mason Cox,1,Collingwood,12,12,2,2,14,14,6,6,21,21,0,0,5,1,2,2,1,13,94,94
47,6,Elliot Yeo,1,West Coast,13,13,13,13,26,26,5,5,0,0,3,3,2,0,0,0,0,0,94,94
48,6,Lachie Whitfield,1,GWS Giants,19,19,14,14,33,33,6,6,0,0,0,0,0,3,0,0,0,0,94,94
49,13,Jack Lukosius,1,Gold Coast,14,14,2,2,16,16,4,4,0,0,1,1,0,0,5,5,1,31,93,93
50,11,Luke McDonald,1,North Melbourne,11,11,7,7,18,18,5,5,0,0,6,6,1,0,1,1,0,6,93,93
