Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,4,Marcus Bontempelli,1,Western Bulldogs,16,16,15,15,31,31,6,6,0,0,10,10,0,0,2,2,0,12,148,148
2,35,Nick Daicos,1,Collingwood,21,21,19,19,40,40,6,6,0,0,2,2,0,0,2,2,1,13,140,140
3,14,Tim Taranto,1,Richmond,16,16,17,17,33,33,6,6,0,0,10,10,1,1,0,0,0,0,138,138
4,3,Stephen Coniglio,1,GWS Giants,20,20,18,18,38,38,5,5,0,0,8,8,1,3,0,0,0,0,135,135
5,14,Lachie Weller,1,Gold Coast,22,22,6,6,28,28,14,14,0,0,3,3,1,0,0,0,0,0,133,133
6,20,Connor Rozee,1,Port Adelaide,20,20,9,9,29,29,6,6,0,0,7,7,2,2,2,2,1,13,133,133
7,18,Sam Walsh,1,Carlton,19,19,19,19,38,38,9,9,0,0,3,3,0,1,0,0,0,0,131,131
8,5,Adam Cerra,1,Carlton,22,22,17,17,39,39,7,7,0,0,1,1,2,1,1,1,0,6,130,130
9,44,Tim English,1,Western Bulldogs,14,14,6,6,20,20,3,3,34,34,7,7,1,1,1,1,0,6,129,129
10,22,Steele Sidebottom,1,Collingwood,19,19,11,11,30,30,7,7,0,0,5,5,0,0,1,1,0,6,126,126
11,9,Patrick Cripps,1,Carlton,14,14,20,20,34,34,5,5,1,1,7,7,4,2,0,0,2,2,126,126
12,13,Blake Acres,1,Carlton,20,20,16,16,36,36,11,11,0,0,1,1,0,1,0,0,0,0,126,126
13,22,Joshua Kelly,1,GWS Giants,20,20,21,21,41,41,2,2,0,0,4,4,0,0,0,0,1,1,125,125
14,13,Taylor Walker,1,Adelaide,16,16,4,4,20,20,8,8,0,0,4,4,2,0,4,4,1,25,123,123
15,28,Willem Drew,1,Port Adelaide,12,12,13,13,25,25,5,5,0,0,10,10,2,1,1,1,1,7,123,123
16,3,Jai Newcombe,1,Hawthorn,11,11,15,15,26,26,8,8,0,0,10,10,0,2,0,0,1,1,122,122
17,29,Rory Laird,1,Adelaide,9,9,20,20,29,29,1,1,0,0,12,12,5,1,0,0,0,0,120,120
18,24,Nic Newman,1,Carlton,21,21,7,7,28,28,10,10,0,0,3,3,0,0,0,0,0,0,119,119
