Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,12,Jordan Dawson,1,Adelaide,27,27,8,8,35,35,9,9,0,0,12,12,3,1,0,0,0,0,172,172
2,21,Errol Gulden,1,Sydney,22,22,10,10,32,32,7,7,0,0,5,5,0,0,3,3,0,18,145,145
3,13,Luke Ryan,1,Fremantle,25,25,6,6,31,31,18,18,0,0,1,1,1,1,0,0,0,0,143,143
4,35,Jack Sinclair,1,St Kilda,21,21,15,15,36,36,4,4,0,0,4,4,2,0,1,1,1,7,130,130
5,5,Isaac Heeney,1,Sydney,13,13,9,9,22,22,6,6,0,0,5,5,0,0,5,5,4,34,129,129
6,8,James Rowbottom,1,Sydney,17,17,10,10,27,27,2,2,0,0,13,13,4,2,0,0,2,2,129,129
7,8,Andrew Brayshaw,1,Fremantle,15,15,14,14,29,29,7,7,0,0,8,8,0,1,1,1,0,6,129,129
8,1,Chad Warner,1,Sydney,18,18,15,15,33,33,3,3,0,0,5,5,1,0,2,2,2,14,128,128
9,5,Christian Petracca,1,Melbourne,18,18,15,15,33,33,3,3,0,0,6,6,3,1,1,1,2,8,125,125
10,22,Mitchell Duncan,1,Geelong,19,19,3,3,22,22,6,6,0,0,8,8,0,0,1,1,1,7,120,120
11,5,Josh Dunkley,1,Brisbane Lions,15,15,11,11,26,26,6,6,0,0,7,7,3,1,1,1,1,7,120,120
12,13,Luke Shuey,1,West Coast,18,18,10,10,28,28,5,5,0,0,8,8,2,1,0,0,0,0,120,120
13,35,Nick Daicos,1,Collingwood,13,13,24,24,37,37,2,2,0,0,5,5,1,0,1,1,0,6,120,120
14,23,Liam Henry,1,Fremantle,25,25,7,7,32,32,8,8,0,0,1,1,0,0,0,0,1,1,118,118
15,15,Blake Hardwick,1,Hawthorn,20,20,18,18,38,38,8,8,0,0,0,0,0,1,0,0,0,0,117,117
16,5,Brad Crouch,1,St Kilda,13,13,12,12,25,25,5,5,0,0,10,10,1,1,0,0,0,0,116,116
17,12,Will Day,1,Hawthorn,14,14,15,15,29,29,9,9,0,0,4,4,1,0,0,0,0,0,116,116
18,8,Brayden Fiorini,1,Gold Coast,25,25,10,10,35,35,7,7,0,0,1,1,1,2,0,0,0,0,115,115
19,37,Nic Martin,1,Essendon,17,17,9,9,26,26,9,9,0,0,3,3,1,1,1,1,0,6,112,112
20,29,Angus Sheldrick,1,Sydney,14,14,15,15,29,29,4,4,0,0,4,4,2,0,1,1,3,9,111,111
21,29,Rory Laird,1,Adelaide,10,10,21,21,31,31,4,4,0,0,7,7,2,1,0,0,0,0,111,111
22,31,Harris Andrews,1,Brisbane Lions,18,18,3,3,21,21,14,14,0,0,2,2,0,0,0,0,0,0,110,110
23,9,Ben Ainsworth,1,Gold Coast,18,18,9,9,27,27,8,8,0,0,2,2,0,0,1,1,0,6,110,110
24,6,Tom Mitchell,1,Collingwood,11,11,16,16,27,27,5,5,0,0,7,7,0,2,1,1,1,7,109,109
25,7,Zach Merrett,1,Essendon,15,15,14,14,29,29,5,5,0,0,4,4,2,1,1,1,0,6,109,109
26,4,Jarman Impey,1,Hawthorn,20,20,9,9,29,29,6,6,0,0,3,3,0,0,0,0,0,0,108,108
27,14,Jack Scrimshaw,1,Hawthorn,19,19,12,12,31,31,11,11,0,0,0,0,0,2,0,0,0,0,108,108
28,1,Andrew McGrath,1,Essendon,21,21,6,6,27,27,8,8,0,0,2,2,0,0,0,0,0,0,107,107
29,11,Tim Kelly,1,West Coast,16,16,11,11,27,27,4,4,0,0,6,6,1,2,1,1,0,6,107,107
30,15,Noah Anderson,1,Gold Coast,19,19,9,9,28,28,7,7,0,0,0,0,2,1,2,2,0,12,107,107
31,2,Hayden McLean,1,Sydney,8,8,8,8,16,16,5,5,17,17,3,3,2,0,3,3,2,20,106,106
32,14,Darcy Cameron,1,Collingwood,9,9,10,10,19,19,3,3,29,29,5,5,3,1,0,0,1,1,106,106
33,7,Josh Daicos,1,Collingwood,18,18,15,15,33,33,6,6,0,0,0,0,1,1,1,1,0,6,106,106
34,19,Rowan Marshall,1,St Kilda,7,7,6,6,13,13,7,7,30,30,5,5,1,0,0,0,0,0,105,105
35,8,Ben Hobbs,1,Essendon,16,16,10,10,26,26,7,7,0,0,4,4,0,2,1,1,0,6,105,105
36,9,Jack Steele,1,St Kilda,9,9,12,12,21,21,3,3,0,0,12,12,2,2,0,0,0,0,104,104
37,23,Gary Rohan,1,Geelong,12,12,4,4,16,16,7,7,0,0,4,4,1,0,3,3,2,20,102,102
38,7,Nasiah Wanganeen-Milera,1,St Kilda,18,18,6,6,24,24,4,4,0,0,4,4,2,0,1,1,0,6,102,102
39,3,Caleb Serong,1,Fremantle,20,20,12,12,32,32,2,2,0,0,1,1,2,0,1,1,0,6,102,102
40,11,Tom Papley,1,Sydney,13,13,5,5,18,18,8,8,0,0,5,5,0,0,1,1,2,8,101,101
41,27,Wil Powell,1,Gold Coast,17,17,2,2,19,19,12,12,0,0,2,2,1,0,0,0,0,0,100,100
42,22,Izak Rankine,1,Adelaide,14,14,7,7,21,21,7,7,0,0,4,4,0,0,1,1,1,7,100,100
43,44,Tom Stewart,1,Geelong,20,20,2,2,22,22,9,9,0,0,2,2,1,0,0,0,0,0,100,100
