Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,11,Jackson Macrae,1,Western Bulldogs,20,20,17,17,37,37,3,3,0,0,9,9,3,0,1,1,0,6,148,148
2,4,Toby Greene,1,GWS Giants,18,18,3,3,21,21,6,6,0,0,2,2,4,0,7,7,2,44,134,134
3,15,Sam Docherty,1,Carlton,25,25,6,6,31,31,11,11,0,0,3,3,0,1,0,0,0,0,129,129
4,29,Cameron Guthrie,1,Geelong,13,13,12,12,25,25,6,6,0,0,13,13,2,3,0,0,0,0,126,126
5,27,Mason Redman,1,Essendon,19,19,12,12,31,31,11,11,0,0,3,3,1,1,0,0,1,1,125,125
6,29,Rory Laird,1,Adelaide,12,12,30,30,42,42,4,4,0,0,6,6,0,3,0,0,1,1,124,124
7,12,Jordan Dawson,1,Adelaide,22,22,10,10,32,32,6,6,0,0,2,2,0,0,1,1,0,6,118,118
8,15,Karl Amon,1,Port Adelaide,18,18,13,13,31,31,7,7,0,0,4,4,2,1,0,0,1,1,117,117
9,14,Callum Mills,1,Sydney,16,16,11,11,27,27,6,6,0,0,5,5,2,0,1,1,0,6,116,116
10,4,Jade Gresham,1,St Kilda,15,15,13,13,28,28,6,6,0,0,4,4,4,4,3,3,1,19,116,116
11,44,Tim English,1,Western Bulldogs,12,12,11,11,23,23,6,6,34,34,1,1,3,1,0,0,0,0,114,114
12,26,Riley Bonner,1,Port Adelaide,20,20,7,7,27,27,9,9,0,0,1,1,0,0,1,1,0,6,111,111
13,18,Sam Walsh,1,Carlton,20,20,14,14,34,34,5,5,0,0,2,2,0,1,0,0,1,1,109,109
14,5,Josh Dunkley,1,Western Bulldogs,5,5,22,22,27,27,3,3,0,0,8,8,1,0,1,1,0,6,107,107
15,18,Matthew Rowell,1,Gold Coast,13,13,6,6,19,19,2,2,0,0,11,11,5,0,0,0,0,0,106,106
16,8,Jack Redden,1,West Coast,11,11,13,13,24,24,6,6,0,0,7,7,1,0,0,0,0,0,106,106
17,8,Bradley Hill,1,St Kilda,19,19,7,7,26,26,10,10,0,0,2,2,0,1,0,0,0,0,106,106
18,15,Noah Anderson,1,Gold Coast,20,20,8,8,28,28,5,5,0,0,3,3,2,0,0,0,1,1,106,106
19,9,Patrick Cripps,1,Carlton,9,9,25,25,34,34,4,4,0,0,5,5,3,2,0,0,0,0,106,106
20,3,Stephen Coniglio,1,GWS Giants,10,10,22,22,32,32,3,3,0,0,3,3,0,1,2,2,1,13,105,105
21,16,Oliver Wines,1,Port Adelaide,12,12,22,22,34,34,5,5,0,0,2,2,2,0,0,0,0,0,105,105
22,4,Todd Marshall,1,Port Adelaide,13,13,1,1,14,14,8,8,0,0,3,3,1,0,4,4,2,26,104,104
23,7,Liam Baker,1,Richmond,19,19,8,8,27,27,7,7,0,0,2,2,0,0,0,0,1,1,103,103
24,1,Adam Treloar,1,Western Bulldogs,14,14,17,17,31,31,4,4,0,0,3,3,0,0,0,0,2,2,102,102
25,5,Isaac Heeney,1,Sydney,11,11,5,5,16,16,8,8,0,0,3,3,1,1,4,4,0,24,101,101
26,15,Jayden Short,1,Richmond,24,24,1,1,25,25,5,5,0,0,3,3,0,0,0,0,0,0,101,101
27,35,Jack Sinclair,1,St Kilda,18,18,13,13,31,31,7,7,0,0,0,0,0,0,0,0,0,0,101,101
28,5,Matt Crouch,1,Adelaide,10,10,21,21,31,31,4,4,0,0,7,7,1,4,0,0,0,0,101,101
29,12,Tom Green,1,GWS Giants,11,11,21,21,32,32,3,3,0,0,4,4,1,0,0,0,0,0,101,101
30,3,Ryan Burton,1,Port Adelaide,18,18,2,2,20,20,8,8,0,0,3,3,0,0,1,1,0,6,100,100
31,27,Harrison Himmelberg,1,GWS Giants,14,14,9,9,23,23,7,7,5,5,3,3,1,0,0,0,0,0,99,99
32,21,Tom Liberatore,1,Western Bulldogs,12,12,14,14,26,26,6,6,0,0,4,4,0,0,0,0,1,1,99,99
33,6,Lachie Whitfield,1,GWS Giants,13,13,17,17,30,30,4,4,0,0,4,4,1,1,0,0,0,0,99,99
34,34,Jack Graham,1,Richmond,12,12,7,7,19,19,2,2,0,0,10,10,2,0,0,0,0,0,98,98
35,6,Jye Caldwell,1,Essendon,12,12,11,11,23,23,5,5,0,0,7,7,0,1,0,0,0,0,98,98
36,21,Sam Berry,1,Adelaide,10,10,15,15,25,25,2,2,0,0,7,7,2,0,0,0,0,0,96,96
37,1,Nick Vlastuin,1,Richmond,14,14,10,10,24,24,5,5,0,0,4,4,2,0,0,0,0,0,95,95
38,7,Zach Merrett,1,Essendon,10,10,16,16,26,26,1,1,0,0,7,7,1,0,0,0,1,1,95,95
39,13,Taylor Walker,1,Adelaide,12,12,2,2,14,14,8,8,3,3,5,5,4,2,1,1,3,9,94,94
40,25,Jake Stringer,1,Essendon,11,11,5,5,16,16,4,4,0,0,6,6,1,0,2,2,2,14,94,94
41,20,Connor Rozee,1,Port Adelaide,14,14,15,15,29,29,2,2,0,0,3,3,1,1,1,1,0,6,94,94
42,3,Dion Prestia,1,Richmond,13,13,20,20,33,33,1,1,0,0,4,4,1,2,0,0,1,1,94,94
43,30,Tom Atkins,1,Geelong,12,12,12,12,24,24,5,5,0,0,5,5,1,1,0,0,0,0,93,93
44,9,Dylan Shiel,1,Essendon,15,15,10,10,25,25,3,3,0,0,5,5,2,1,0,0,0,0,93,93
45,4,Marcus Bontempelli,1,Western Bulldogs,12,12,16,16,28,28,2,2,0,0,4,4,0,1,1,1,0,6,93,93
46,15,Jamie Cripps,1,West Coast,13,13,3,3,16,16,3,3,0,0,5,5,4,0,2,2,1,13,91,91
47,15,Jack Billings,1,St Kilda,14,14,4,4,18,18,5,5,0,0,3,3,2,0,2,2,0,12,91,91
48,25,Shannon Hurn,1,West Coast,17,17,3,3,20,20,11,11,0,0,1,1,0,1,0,0,0,0,91,91
49,31,James Rowe,1,Adelaide,12,12,12,12,24,24,7,7,0,0,1,1,1,1,1,1,2,8,91,91
50,42,Adam Saad,1,Carlton,15,15,10,10,25,25,3,3,0,0,4,4,1,0,0,0,0,0,91,91
Totals,,,50,,724,14.5,584,11.7,1308,26.2,264,5.3,42,0.8,216,4.3,66,36,36,0.7,25,241,5237,104.7
51,2,Zach Tuohy,1,Geelong,15,15,6,6,21,21,9,9,0,0,1,1,2,0,0,0,0,0,90,90
52,11,Touk Miller,1,Gold Coast,15,15,9,9,24,24,4,4,0,0,5,5,1,2,0,0,0,0,90,90
53,26,Luke Parker,1,Sydney,14,14,12,12,26,26,1,1,0,0,5,5,2,1,0,0,2,2,90,90
54,20,Peter Wright,1,Essendon,10,10,4,4,14,14,8,8,0,0,1,1,0,1,4,4,2,26,89,89
55,2,Jake Waterman,1,West Coast,14,14,2,2,16,16,8,8,0,0,2,2,0,1,2,2,1,13,88,88
56,27,Sam Menegola,1,Geelong,15,15,5,5,20,20,7,7,0,0,2,2,0,3,2,2,1,13,88,88
57,1,Andrew McGrath,1,Essendon,11,11,10,10,21,21,10,10,0,0,1,1,1,0,0,0,0,0,88,88
58,6,Sebastian Ross,1,St Kilda,14,14,9,9,23,23,5,5,0,0,3,3,1,0,0,0,0,0,88,88
59,25,Toby Nankervis,1,Richmond,9,9,5,5,14,14,2,2,26,26,5,5,1,1,0,0,0,0,87,87
60,43,Reilly O'Brien,1,Adelaide,7,7,8,8,15,15,2,2,33,33,4,4,1,2,0,0,0,0,87,87
61,7,Lachlan Ash,1,GWS Giants,11,11,8,8,19,19,5,5,0,0,4,4,1,0,1,1,0,6,87,87
62,19,Nick Hind,1,Essendon,20,20,5,5,25,25,6,6,0,0,1,1,3,3,0,0,1,1,87,87
63,37,Tom Barrass,1,West Coast,14,14,4,4,18,18,10,10,0,0,1,1,2,0,0,0,0,0,86,86
64,50,Marlion Pickett,1,Richmond,12,12,8,8,20,20,4,4,0,0,3,3,3,0,1,1,1,7,86,86
65,22,Izak Rankine,1,Gold Coast,10,10,7,7,17,17,5,5,0,0,1,1,2,0,3,3,2,20,85,85
66,6,Elliot Yeo,1,West Coast,16,16,6,6,22,22,9,9,0,0,0,0,0,1,0,0,0,0,84,84
67,6,Jackson Hately,1,Adelaide,9,9,16,16,25,25,2,2,0,0,4,4,3,0,0,0,0,0,84,84
68,3,Andrew Gaff,1,West Coast,14,14,13,13,27,27,5,5,0,0,1,1,0,1,0,0,0,0,84,84
69,24,David Swallow,1,Gold Coast,14,14,7,7,21,21,3,3,0,0,4,4,5,1,0,0,0,0,83,83
70,35,Nathan Broad,1,Richmond,16,16,6,6,22,22,6,6,0,0,1,1,1,0,0,0,0,0,83,83
71,8,Callan Ward,1,GWS Giants,11,11,12,12,23,23,4,4,0,0,4,4,0,1,0,0,1,1,83,83
72,35,Caleb Daniel,1,Western Bulldogs,13,13,12,12,25,25,2,2,0,0,3,3,2,0,0,0,0,0,83,83
73,23,Shane McAdam,1,Adelaide,8,8,4,4,12,12,7,7,0,0,6,6,1,1,1,1,1,7,82,82
74,16,Archie Perkins,1,Essendon,14,14,5,5,19,19,4,4,0,0,2,2,2,0,1,1,2,8,82,82
75,13,Luke Shuey,1,West Coast,11,11,9,9,20,20,3,3,0,0,6,6,4,2,0,0,0,0,82,82
76,9,Ben Ainsworth,1,Gold Coast,9,9,11,11,20,20,4,4,0,0,0,0,1,0,3,3,2,20,82,82
77,4,Lochie O'Brien,1,Carlton,15,15,9,9,24,24,4,4,0,0,0,0,0,0,1,1,1,7,82,82
78,33,Aaron Naughton,1,Western Bulldogs,9,9,1,1,10,10,6,6,1,1,1,1,1,1,5,5,1,31,81,81
79,2,Sam Powell-Pepper,1,Port Adelaide,9,9,5,5,14,14,5,5,2,2,6,6,0,1,1,1,0,6,81,81
80,18,Tyson Stengle,1,Geelong,11,11,4,4,15,15,3,3,0,0,3,3,2,1,3,3,2,20,81,81
81,13,Isaac Cumming,1,GWS Giants,15,15,6,6,21,21,4,4,0,0,3,3,0,0,0,0,0,0,81,81
82,7,Isaac Smith,1,Geelong,13,13,9,9,22,22,6,6,0,0,0,0,0,0,1,1,0,6,81,81
83,5,Brad Crouch,1,St Kilda,11,11,12,12,23,23,5,5,0,0,2,2,1,0,0,0,0,0,81,81
84,33,Darcy Byrne-Jones,1,Port Adelaide,13,13,15,15,28,28,5,5,0,0,0,0,0,1,0,0,0,0,81,81
