Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,44,Tom Stewart,1,Geelong,34,34,6,6,40,40,16,16,0,0,1,1,3,0,0,0,0,0,169,169
2,43,Reilly O'Brien,1,Adelaide,12,12,16,16,28,28,5,5,47,47,7,7,4,1,0,0,0,0,159,159
3,3,Jed Anderson,1,North Melbourne,16,16,12,12,28,28,8,8,0,0,12,12,2,1,1,1,0,6,149,149
4,9,Lachie Neale,1,Brisbane Lions,19,19,20,20,39,39,5,5,0,0,6,6,1,2,2,2,0,12,143,143
5,5,Josh Dunkley,1,Western Bulldogs,10,10,15,15,25,25,12,12,0,0,7,7,3,0,2,2,0,12,139,139
6,13,Luke Ryan,1,Fremantle,25,25,4,4,29,29,14,14,0,0,3,3,0,0,0,0,0,0,137,137
7,46,Mark Blicavs,1,Geelong,14,14,9,9,23,23,6,6,31,31,9,9,2,4,0,0,0,0,135,135
8,35,Jack Sinclair,1,St Kilda,27,27,5,5,32,32,10,10,0,0,3,3,0,0,0,0,0,0,133,133
9,7,Jarrod Berry,1,Brisbane Lions,20,20,13,13,33,33,10,10,0,0,3,3,0,1,1,1,2,8,133,133
10,44,Tim English,1,Western Bulldogs,14,14,11,11,25,25,4,4,28,28,4,4,5,0,1,1,1,7,132,132
11,11,Tim Kelly,1,West Coast,18,18,20,20,38,38,6,6,0,0,5,5,1,3,1,1,0,6,130,130
12,1,Adam Treloar,1,Western Bulldogs,16,16,19,19,35,35,9,9,0,0,2,2,0,0,1,1,2,8,129,129
13,8,Bradley Hill,1,St Kilda,23,23,10,10,33,33,9,9,0,0,1,1,0,0,1,1,1,7,127,127
14,4,Brandon Ellis,1,Gold Coast,16,16,8,8,24,24,8,8,0,0,6,6,2,0,2,2,0,12,126,126
15,29,Cameron Guthrie,1,Geelong,16,16,18,18,34,34,5,5,0,0,8,8,0,2,0,0,1,1,126,126
16,22,Joshua Kelly,1,GWS Giants,11,11,20,20,31,31,6,6,0,0,5,5,0,1,2,2,0,12,120,120
17,18,Sam Walsh,1,Carlton,19,19,16,16,35,35,5,5,0,0,3,3,1,1,1,1,0,6,120,120
18,5,Adam Cerra,1,Carlton,20,20,10,10,30,30,5,5,0,0,4,4,5,1,1,1,0,6,119,119
19,4,Jade Gresham,1,St Kilda,18,18,12,12,30,30,3,3,0,0,4,4,2,0,2,2,2,14,119,119
20,29,Rory Laird,1,Adelaide,12,12,26,26,38,38,3,3,0,0,8,8,2,4,0,0,0,0,119,119
