Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,4,Sean Darcy,1,Fremantle,15,15,1,1,16,16,5,5,56,56,6,6,3,2,1,1,2,8,147,147
2,22,Joshua Kelly,1,GWS Giants,26,26,9,9,35,35,12,12,0,0,4,4,0,2,0,0,0,0,142,142
3,14,Liam Duggan,1,West Coast,26,26,4,4,30,30,10,10,0,0,5,5,2,1,0,0,1,1,136,136
4,5,Dan Houston,1,Port Adelaide,23,23,9,9,32,32,8,8,0,0,5,5,2,1,1,1,0,6,136,136
5,19,Thomas Lynch,1,Richmond,14,14,4,4,18,18,12,12,0,0,1,1,2,2,8,8,0,48,134,134
6,11,Touk Miller,1,Gold Coast,28,28,8,8,36,36,8,8,0,0,3,3,3,2,0,0,0,0,133,133
7,36,Harry Perryman,1,GWS Giants,13,13,10,10,23,23,6,6,0,0,14,14,2,1,0,0,0,0,132,132
8,4,Brandon Ellis,1,Gold Coast,27,27,5,5,32,32,9,9,0,0,3,3,0,0,0,0,0,0,130,130
9,14,Callum Mills,1,Sydney,18,18,11,11,29,29,9,9,0,0,7,7,0,1,0,0,1,1,129,129
10,12,Jordan Dawson,1,Adelaide,27,27,6,6,33,33,9,9,0,0,2,2,0,0,0,0,1,1,129,129
11,9,Luke Davies-Uniacke,1,North Melbourne,19,19,18,18,37,37,5,5,0,0,3,3,3,0,1,1,0,6,129,129
12,19,Nick Haynes,1,GWS Giants,21,21,4,4,25,25,15,15,0,0,0,0,1,0,1,1,0,6,123,123
13,15,Sam Docherty,1,Carlton,17,17,11,11,28,28,4,4,0,0,10,10,1,1,0,0,0,0,123,123
14,16,Oliver Wines,1,Port Adelaide,17,17,14,14,31,31,6,6,0,0,6,6,2,0,0,0,0,0,123,123
15,10,Angus Brayshaw,1,Melbourne,24,24,14,14,38,38,3,3,0,0,4,4,1,1,0,0,0,0,123,123
16,6,Lachie Whitfield,1,GWS Giants,21,21,8,8,29,29,13,13,0,0,2,2,1,2,0,0,0,0,121,121
17,3,Stephen Coniglio,1,GWS Giants,17,17,14,14,31,31,8,8,0,0,4,4,1,0,0,0,1,1,121,121
18,26,Luke Parker,1,Sydney,15,15,11,11,26,26,7,7,0,0,8,8,0,0,0,0,0,0,120,120
19,46,Mark Blicavs,1,Geelong,11,11,16,16,27,27,6,6,8,8,4,4,1,0,2,2,0,12,120,120
20,27,Harrison Himmelberg,1,GWS Giants,20,20,10,10,30,30,12,12,2,2,1,1,1,1,0,0,0,0,120,120
21,19,Rowan Marshall,1,St Kilda,15,15,5,5,20,20,3,3,42,42,3,3,0,0,0,0,0,0,118,118
22,9,Patrick Cripps,1,Carlton,9,9,17,17,26,26,4,4,0,0,12,12,0,1,0,0,0,0,118,118
23,6,James Sicily,1,Hawthorn,23,23,7,7,30,30,9,9,0,0,0,0,0,0,1,1,0,6,116,116
24,11,Max Gawn,1,Melbourne,12,12,8,8,20,20,7,7,33,33,1,1,1,1,1,1,1,7,115,115
25,25,Shannon Hurn,1,West Coast,25,25,3,3,28,28,6,6,0,0,4,4,0,0,0,0,0,0,115,115
26,20,Connor Rozee,1,Port Adelaide,14,14,14,14,28,28,7,7,0,0,6,6,1,3,1,1,2,8,115,115
27,18,Zak Butters,1,Port Adelaide,15,15,10,10,25,25,5,5,0,0,3,3,3,0,3,3,1,19,114,114
28,29,Cameron Guthrie,1,Geelong,18,18,12,12,30,30,7,7,0,0,3,3,0,1,1,1,0,6,114,114
29,43,Aaron Hall,1,North Melbourne,22,22,6,6,28,28,6,6,0,0,4,4,0,0,0,0,1,1,113,113
30,11,Jeremy Finlayson,1,Port Adelaide,15,15,10,10,25,25,6,6,6,6,4,4,1,2,2,2,0,12,112,112
31,24,Xavier O'Neill,1,West Coast,12,12,7,7,19,19,3,3,0,0,11,11,2,0,1,1,0,6,111,111
32,12,Jy Simpkin,1,North Melbourne,15,15,15,15,30,30,2,2,0,0,7,7,2,0,0,0,0,0,111,111
33,5,Jeremy Cameron,1,Geelong,16,16,5,5,21,21,8,8,0,0,3,3,1,2,3,3,3,21,110,110
34,8,Callan Ward,1,GWS Giants,20,20,9,9,29,29,7,7,0,0,1,1,1,0,1,1,0,6,110,110
35,13,Clayton Oliver,1,Melbourne,11,11,18,18,29,29,3,3,0,0,9,9,1,2,0,0,0,0,109,109
36,14,Jordan Ridley,1,Essendon,18,18,12,12,30,30,9,9,0,0,1,1,0,0,0,0,0,0,109,109
37,6,Sebastian Ross,1,St Kilda,15,15,17,17,32,32,3,3,0,0,5,5,1,0,0,0,0,0,109,109
38,8,James Rowbottom,1,Sydney,18,18,6,6,24,24,1,1,0,0,8,8,1,0,1,1,0,6,108,108
39,5,Brad Crouch,1,St Kilda,15,15,10,10,25,25,5,5,0,0,8,8,1,2,0,0,1,1,108,108
40,9,Dylan Shiel,1,Essendon,7,7,20,20,27,27,0,0,0,0,10,10,6,0,0,0,0,0,107,107
41,3,Dion Prestia,1,Richmond,16,16,14,14,30,30,2,2,0,0,4,4,0,1,2,2,0,12,107,107
42,7,Ben McEvoy,1,Hawthorn,5,5,8,8,13,13,1,1,29,29,8,8,4,0,1,1,0,6,105,105
43,3,Christian Salem,1,Melbourne,14,14,8,8,22,22,8,8,0,0,6,6,1,1,0,0,0,0,104,104
44,31,Bailey Dale,1,Western Bulldogs,19,19,7,7,26,26,7,7,0,0,2,2,1,1,1,1,0,6,104,104
45,15,Noah Anderson,1,Gold Coast,18,18,8,8,26,26,5,5,0,0,4,4,0,1,1,1,0,6,104,104
46,3,Brandan Parfitt,1,Geelong,16,16,12,12,28,28,3,3,0,0,4,4,1,2,2,2,0,12,104,104
47,3,Darcy Parish,1,Essendon,15,15,14,14,29,29,5,5,0,0,3,3,1,1,1,1,0,6,104,104
48,3,Tom Mitchell,1,Hawthorn,13,13,19,19,32,32,3,3,0,0,5,5,1,1,0,0,0,0,104,104
49,9,Blake Acres,1,Fremantle,17,17,12,12,29,29,5,5,0,0,2,2,0,1,1,1,2,8,103,103
50,28,Jarrod Witts,1,Gold Coast,5,5,11,11,16,16,4,4,41,41,2,2,1,1,1,1,0,6,102,102
Totals,,,50,,852,17,511,10.2,1363,27.3,311,6.2,217,4.3,235,4.7,58,41,39,0.8,17,251,5854,117.1
51,1,Andrew McGrath,1,Essendon,12,12,14,14,26,26,7,7,0,0,4,4,1,0,0,0,0,0,102,102
52,1,Steven May,1,Melbourne,22,22,3,3,25,25,6,6,0,0,2,2,3,0,0,0,0,0,101,101
53,5,Josh Dunkley,1,Western Bulldogs,9,9,17,17,26,26,6,6,0,0,6,6,1,1,0,0,0,0,101,101
54,35,Caleb Daniel,1,Western Bulldogs,21,21,8,8,29,29,7,7,0,0,0,0,1,0,0,0,0,0,101,101
55,10,Michael Walters,1,Fremantle,12,12,7,7,19,19,8,8,0,0,4,4,1,1,2,2,0,12,100,100
56,13,Isaac Cumming,1,GWS Giants,17,17,5,5,22,22,9,9,0,0,3,3,0,0,0,0,0,0,100,100
57,44,Jake Lloyd,1,Sydney,15,15,3,3,18,18,6,6,0,0,8,8,1,1,0,0,0,0,99,99
58,2,Sam Powell-Pepper,1,Port Adelaide,13,13,9,9,22,22,4,4,1,1,1,1,1,0,4,4,0,24,99,99
59,43,Will Setterfield,1,Carlton,14,14,12,12,26,26,5,5,0,0,6,6,0,2,0,0,0,0,99,99
60,3,Caleb Serong,1,Fremantle,13,13,12,12,25,25,1,1,0,0,7,7,0,1,1,1,1,7,98,98
61,44,Jai Newcombe,1,Hawthorn,10,10,19,19,29,29,3,3,0,0,6,6,0,1,0,0,0,0,98,98
62,9,Trent Cotchin,1,Richmond,17,17,13,13,30,30,4,4,0,0,3,3,0,3,1,1,0,6,98,98
63,10,Daniel Rich,1,Brisbane Lions,22,22,4,4,26,26,5,5,0,0,2,2,0,0,0,0,0,0,97,97
64,15,Jayden Short,1,Richmond,19,19,7,7,26,26,7,7,0,0,1,1,0,0,0,0,1,1,97,97
65,4,Marcus Bontempelli,1,Western Bulldogs,8,8,18,18,26,26,5,5,0,0,5,5,0,0,0,0,2,2,97,97
66,17,Will Brodie,1,Fremantle,9,9,19,19,28,28,5,5,0,0,5,5,3,2,0,0,0,0,97,97
67,12,Tom Green,1,GWS Giants,10,10,19,19,29,29,3,3,0,0,5,5,0,0,0,0,0,0,97,97
68,11,Jackson Macrae,1,Western Bulldogs,12,12,19,19,31,31,5,5,0,0,2,2,0,0,0,0,0,0,97,97
69,14,Darcy Cameron,1,Collingwood,11,11,4,4,15,15,2,2,31,31,4,4,5,3,1,1,0,6,96,96
70,44,Callum Wilkie,1,St Kilda,15,15,7,7,22,22,11,11,0,0,1,1,0,0,0,0,0,0,96,96
71,35,Jack Sinclair,1,St Kilda,19,19,6,6,25,25,6,6,0,0,3,3,0,1,0,0,0,0,96,96
72,7,Jack Viney,1,Melbourne,12,12,14,14,26,26,4,4,0,0,4,4,4,0,0,0,0,0,96,96
73,46,Oscar McInerney,1,Brisbane Lions,10,10,6,6,16,16,3,3,36,36,2,2,0,0,0,0,0,0,95,95
74,1,Nick Vlastuin,1,Richmond,16,16,7,7,23,23,9,9,0,0,2,2,1,1,0,0,0,0,95,95
75,10,Scott Pendlebury,1,Collingwood,15,15,11,11,26,26,3,3,0,0,4,4,3,0,0,0,0,0,95,95
76,6,Bailey Smith,1,Western Bulldogs,13,13,13,13,26,26,4,4,0,0,3,3,0,0,1,1,0,6,95,95
77,18,Jake Melksham,1,Melbourne,13,13,2,2,15,15,7,7,0,0,1,1,0,0,4,4,2,26,94,94
78,8,Jack Redden,1,West Coast,11,11,8,8,19,19,8,8,0,0,4,4,1,1,1,1,0,6,93,93
