Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,29,Rory Laird,1,Adelaide,19,19,12,12,31,31,0,0,0,0,20,20,1,0,0,0,1,1,163,163
2,35,Nick Daicos,1,Collingwood,25,25,15,15,40,40,3,3,0,0,5,5,1,2,3,3,0,18,147,147
3,35,Jack Sinclair,1,St Kilda,27,27,9,9,36,36,11,11,0,0,2,2,0,0,1,1,0,6,146,146
4,6,Hugh McCluggage,1,Brisbane Lions,17,17,13,13,30,30,8,8,0,0,4,4,2,0,4,4,1,25,144,144
5,27,Mason Redman,1,Essendon,26,26,8,8,34,34,10,10,0,0,4,4,2,0,0,0,1,1,143,143
6,4,Marcus Bontempelli,1,Western Bulldogs,17,17,17,17,34,34,11,11,0,0,3,3,0,1,2,2,1,13,140,140
7,37,Tom Barrass,1,West Coast,24,24,6,6,30,30,18,18,0,0,1,1,0,1,0,0,0,0,139,139
8,25,Josh Ward,1,Hawthorn,23,23,11,11,34,34,7,7,0,0,5,5,1,0,0,0,0,0,133,133
9,14,Callum Mills,1,Sydney,16,16,10,10,26,26,9,9,0,0,9,9,0,0,0,0,1,1,132,132
10,7,Zach Merrett,1,Essendon,16,16,20,20,36,36,8,8,0,0,5,5,1,1,0,0,1,1,131,131
11,1,Patrick Lipinski,1,Collingwood,13,13,15,15,28,28,2,2,0,0,13,13,0,0,0,0,0,0,127,127
12,10,Scott Pendlebury,1,Collingwood,11,11,17,17,28,28,2,2,0,0,12,12,3,1,1,1,0,6,127,127
13,1,Chad Warner,1,Sydney,24,24,11,11,35,35,6,6,0,0,3,3,2,2,1,1,1,7,127,127
14,44,Callum Wilkie,1,St Kilda,19,19,8,8,27,27,16,16,0,0,1,1,1,1,0,0,0,0,123,123
15,44,Jake Lloyd,1,Sydney,22,22,3,3,25,25,13,13,0,0,3,3,1,1,0,0,0,0,121,121
16,5,Dan Houston,1,Port Adelaide,19,19,9,9,28,28,11,11,0,0,3,3,1,0,0,0,0,0,121,121
17,12,Jy Simpkin,1,North Melbourne,17,17,17,17,34,34,3,3,0,0,6,6,1,2,1,1,0,6,119,119
18,9,Jack Steele,1,St Kilda,11,11,15,15,26,26,3,3,0,0,9,9,3,0,1,1,0,6,117,117
19,27,Harrison Himmelberg,1,GWS Giants,19,19,11,11,30,30,8,8,0,0,3,3,0,2,1,1,0,6,115,115
20,10,Travis Boak,1,Port Adelaide,16,16,13,13,29,29,6,6,0,0,3,3,0,1,2,2,1,13,114,114
21,13,Dylan Moore,1,Hawthorn,12,12,13,13,25,25,7,7,0,0,6,6,2,1,1,1,0,6,112,112
22,21,Sam Berry,1,Adelaide,12,12,9,9,21,21,0,0,0,0,17,17,1,4,0,0,0,0,111,111
23,45,Josh Carmichael,1,Collingwood,24,24,0,0,24,24,3,3,0,0,8,8,1,3,1,1,0,6,111,111
24,1,Nick Vlastuin,1,Richmond,14,14,8,8,22,22,9,9,0,0,6,6,1,0,0,0,0,0,110,110
25,21,Errol Gulden,1,Sydney,18,18,5,5,23,23,8,8,0,0,3,3,0,1,2,2,1,13,110,110
26,42,Robbie Fox,1,Sydney,18,18,6,6,24,24,13,13,0,0,1,1,1,0,0,0,0,0,110,110
27,14,Joel Selwood,1,Geelong,14,14,11,11,25,25,9,9,0,0,4,4,4,1,0,0,1,1,109,109
28,25,Shannon Hurn,1,West Coast,24,24,4,4,28,28,9,9,0,0,0,0,2,0,0,0,0,0,109,109
29,6,Bailey Smith,1,Western Bulldogs,16,16,13,13,29,29,4,4,0,0,5,5,3,0,0,0,0,0,109,109
30,9,Luke Davies-Uniacke,1,North Melbourne,18,18,10,10,28,28,7,7,0,0,5,5,2,3,0,0,0,0,108,108
31,11,Jackson Macrae,1,Western Bulldogs,15,15,16,16,31,31,3,3,0,0,6,6,1,1,0,0,0,0,108,108
32,20,Connor Rozee,1,Port Adelaide,15,15,18,18,33,33,2,2,0,0,3,3,3,0,1,1,0,6,108,108
33,14,Darcy Cameron,1,Collingwood,11,11,6,6,17,17,1,1,31,31,5,5,2,0,1,1,0,6,107,107
34,23,Alex Witherden,1,West Coast,16,16,7,7,23,23,8,8,0,0,6,6,3,2,0,0,0,0,107,107
35,32,Mason Wood,1,St Kilda,15,15,6,6,21,21,13,13,0,0,1,1,0,0,1,1,0,6,106,106
36,11,Touk Miller,1,Gold Coast,17,17,11,11,28,28,4,4,0,0,7,7,4,4,0,0,1,1,106,106
37,1,Andrew McGrath,1,Essendon,18,18,11,11,29,29,11,11,0,0,0,0,0,1,0,0,0,0,106,106
38,37,Brayden Maynard,1,Collingwood,10,10,6,6,16,16,6,6,0,0,12,12,0,1,0,0,0,0,105,105
39,18,Sam Walsh,1,Carlton,13,13,20,20,33,33,6,6,0,0,4,4,1,3,0,0,0,0,105,105
40,24,Dane Rampe,1,Sydney,14,14,4,4,18,18,11,11,0,0,5,5,1,0,0,0,0,0,104,104
41,26,Josh Battle,1,St Kilda,18,18,4,4,22,22,14,14,0,0,0,0,0,0,0,0,0,0,104,104
42,7,Jack Viney,1,Melbourne,18,18,10,10,28,28,6,6,0,0,3,3,3,1,0,0,0,0,104,104
43,13,Oliver Florent,1,Sydney,18,18,3,3,21,21,11,11,0,0,3,3,0,1,0,0,1,1,103,103
