Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,8,Andrew Brayshaw,1,Fremantle,26,26,14,14,40,40,10,10,0,0,8,8,5,0,1,1,2,8,181,181
2,10,Travis Boak,1,Port Adelaide,18,18,21,21,39,39,7,7,0,0,9,9,1,1,0,0,1,1,152,152
3,15,Karl Amon,1,Port Adelaide,22,22,16,16,38,38,8,8,0,0,6,6,0,0,0,0,2,2,148,148
4,11,Touk Miller,1,Gold Coast,24,24,14,14,38,38,6,6,0,0,7,7,0,0,0,0,1,1,147,147
5,15,Dayne Zorko,1,Brisbane Lions,25,25,8,8,33,33,16,16,0,0,2,2,1,1,0,0,0,0,145,145
6,9,Lachie Neale,1,Brisbane Lions,24,24,17,17,41,41,6,6,0,0,2,2,2,1,2,2,2,14,145,145
7,18,Zak Butters,1,Port Adelaide,19,19,10,10,29,29,5,5,0,0,11,11,1,0,0,0,0,0,137,137
8,5,Christian Petracca,1,Melbourne,23,23,17,17,40,40,6,6,0,0,3,3,1,0,0,0,2,2,136,136
9,15,Jayden Short,1,Richmond,29,29,4,4,33,33,10,10,0,0,2,2,1,1,0,0,0,0,131,131
10,2,Ben Keays,1,Adelaide,21,21,16,16,37,37,9,9,0,0,2,2,1,0,0,0,0,0,131,131
11,7,Jack Ziebell,1,North Melbourne,24,24,5,5,29,29,14,14,0,0,2,2,1,2,0,0,0,0,127,127
12,13,Luke Ryan,1,Fremantle,27,27,5,5,32,32,9,9,0,0,2,2,4,1,0,0,0,0,127,127
13,25,Jack Crisp,1,Collingwood,14,14,12,12,26,26,6,6,0,0,10,10,1,0,0,0,1,1,126,126
14,16,Oliver Wines,1,Port Adelaide,22,22,14,14,36,36,5,5,0,0,4,4,0,0,0,0,1,1,126,126
15,17,Jake Bowey,1,Melbourne,24,24,10,10,34,34,9,9,0,0,1,1,2,0,0,0,0,0,125,125
16,9,Patrick Cripps,1,Carlton,14,14,21,21,35,35,2,2,0,0,5,5,4,1,2,2,0,12,123,123
17,18,Hugh Greenwood,1,North Melbourne,18,18,11,11,29,29,2,2,0,0,10,10,1,1,0,0,0,0,120,120
18,13,Clayton Oliver,1,Melbourne,19,19,15,15,34,34,4,4,0,0,4,4,1,1,1,1,1,7,120,120
19,26,Josh Battle,1,St Kilda,18,18,3,3,21,21,13,13,0,0,5,5,1,1,0,0,0,0,117,117
20,30,Alex Neal-Bullen,1,Melbourne,13,13,10,10,23,23,7,7,0,0,9,9,0,0,0,0,1,1,117,117
21,14,Callum Mills,1,Sydney,19,19,10,10,29,29,7,7,0,0,4,4,3,2,1,1,0,6,117,117
22,1,Adam Treloar,1,Western Bulldogs,11,11,21,21,32,32,7,7,0,0,4,4,1,1,1,1,1,7,117,117
23,7,Matthew Kennedy,1,Carlton,17,17,14,14,31,31,7,7,0,0,2,2,0,0,1,1,0,6,114,114
24,6,Luke Jackson,1,Melbourne,11,11,10,10,21,21,5,5,16,16,4,4,3,1,2,2,0,12,112,112
25,5,Josh Dunkley,1,Western Bulldogs,11,11,15,15,26,26,6,6,0,0,8,8,0,1,0,0,2,2,112,112
26,12,Jordan Dawson,1,Adelaide,21,21,7,7,28,28,11,11,0,0,1,1,0,3,1,1,0,6,111,111
