Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,7,Zach Merrett,1,Essendon,25,25,13,13,38,38,6,6,0,0,10,10,6,0,1,1,1,7,172,172
2,19,Rowan Marshall,1,St Kilda,21,21,9,9,30,30,9,9,35,35,7,7,1,3,0,0,0,0,163,163
3,21,Errol Gulden,1,Sydney,24,24,9,9,33,33,12,12,0,0,4,4,1,0,2,2,0,12,155,155
4,33,Brodie Smith,1,Adelaide,28,28,9,9,37,37,8,8,0,0,4,4,1,1,0,0,1,1,141,141
5,27,Mason Redman,1,Essendon,25,25,7,7,32,32,10,10,0,0,4,4,1,1,1,1,0,6,139,139
6,9,Patrick Cripps,1,Carlton,18,18,23,23,41,41,3,3,1,1,6,6,5,0,0,0,0,0,139,139
7,8,Andrew Brayshaw,1,Fremantle,12,12,18,18,30,30,10,10,0,0,8,8,2,0,0,0,1,1,137,137
8,29,Rory Laird,1,Adelaide,16,16,16,16,32,32,2,2,0,0,12,12,2,2,0,0,0,0,130,130
9,8,James Rowbottom,1,Sydney,14,14,9,9,23,23,3,3,0,0,13,13,4,1,1,1,1,7,129,129
10,5,Brad Crouch,1,St Kilda,15,15,15,15,30,30,1,1,0,0,11,11,2,1,1,1,1,7,128,128
11,18,Sam Walsh,1,Carlton,17,17,23,23,40,40,6,6,0,0,3,3,0,0,0,0,1,1,128,128
12,12,Jy Simpkin,1,North Melbourne,19,19,22,22,41,41,2,2,0,0,5,5,1,1,0,0,1,1,126,126
13,11,Touk Miller,1,Gold Coast,16,16,15,15,31,31,1,1,0,0,10,10,3,1,0,0,1,1,122,122
14,7,Jack Viney,1,Melbourne,15,15,18,18,33,33,4,4,0,0,6,6,2,0,0,0,1,1,120,120
15,5,Josh Dunkley,1,Western Bulldogs,13,13,12,12,25,25,6,6,0,0,6,6,1,0,2,2,1,13,119,119
16,11,James Aish,1,Fremantle,13,13,15,15,28,28,5,5,0,0,9,9,2,1,0,0,0,0,119,119
17,15,Sam Docherty,1,Carlton,21,21,11,11,32,32,10,10,0,0,4,4,0,4,0,0,0,0,119,119
18,14,Callum Mills,1,Sydney,15,15,12,12,27,27,8,8,0,0,5,5,0,1,1,1,0,6,116,116
19,3,Tom Mitchell,1,Hawthorn,10,10,21,21,31,31,9,9,0,0,4,4,0,0,0,0,0,0,115,115
20,20,Connor Rozee,1,Port Adelaide,13,13,22,22,35,35,6,6,0,0,5,5,0,2,0,0,0,0,115,115
21,29,Shai Bolton,1,Richmond,20,20,4,4,24,24,7,7,0,0,2,2,0,0,2,2,5,17,114,114
22,26,Luke Parker,1,Sydney,15,15,19,19,34,34,4,4,0,0,6,6,0,2,0,0,1,1,114,114
23,4,Kyle Langford,1,Essendon,12,12,9,9,21,21,10,10,0,0,5,5,0,1,2,2,0,12,113,113
24,2,Jaidyn Stephenson,1,North Melbourne,19,19,15,15,34,34,5,5,0,0,3,3,1,1,0,0,0,0,112,112
25,27,Jack Darling,1,West Coast,11,11,3,3,14,14,8,8,0,0,3,3,2,1,6,6,0,36,110,110
26,15,Jayden Laverde,1,Essendon,17,17,6,6,23,23,12,12,0,0,2,2,3,0,0,0,0,0,110,110
27,5,Adam Cerra,1,Carlton,11,11,13,13,24,24,7,7,0,0,9,9,0,2,0,0,0,0,110,110
28,6,Sebastian Ross,1,St Kilda,12,12,14,14,26,26,3,3,0,0,7,7,2,0,1,1,1,7,110,110
29,21,Dyson Heppell,1,Essendon,14,14,14,14,28,28,10,10,0,0,3,3,1,1,0,0,0,0,110,110
30,5,Christian Petracca,1,Melbourne,12,12,18,18,30,30,3,3,0,0,8,8,0,1,0,0,0,0,110,110
31,25,Jake Stringer,1,Essendon,12,12,2,2,14,14,3,3,0,0,7,7,2,1,5,5,3,33,109,109
32,20,Sam Reid.,1,Sydney,10,10,8,8,18,18,5,5,13,13,4,4,2,1,3,3,1,19,108,108
33,42,Adam Saad,1,Carlton,23,23,3,3,26,26,7,7,0,0,3,3,0,0,0,0,0,0,108,108
34,10,Angus Brayshaw,1,Melbourne,20,20,8,8,28,28,3,3,0,0,6,6,2,1,0,0,0,0,108,108
35,20,Ed Richards,1,Western Bulldogs,19,19,9,9,28,28,11,11,0,0,0,0,0,0,0,0,0,0,108,108
36,8,Jack Redden,1,West Coast,15,15,8,8,23,23,6,6,0,0,5,5,2,2,2,2,0,12,107,107
