Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,9,Jack Steele,1,St Kilda,16,16,24,24,40,40,10,10,0,0,8,8,2,2,0,0,0,0,154,154
2,5,Brad Crouch,1,St Kilda,18,18,13,13,31,31,5,5,0,0,11,11,2,0,1,1,0,6,147,147
3,29,Rory Laird,1,Adelaide,28,28,10,10,38,38,1,1,0,0,6,6,3,1,1,1,1,7,138,138
4,11,Max Gawn,1,Melbourne,16,16,9,9,25,25,8,8,40,40,1,1,1,1,0,0,1,1,133,133
5,26,Hayden Young,1,Fremantle,23,23,8,8,31,31,14,14,0,0,2,2,0,1,0,0,0,0,132,132
6,15,Karl Amon,1,Port Adelaide,22,22,3,3,25,25,13,13,0,0,2,2,1,0,1,1,0,6,126,126
7,10,Angus Brayshaw,1,Melbourne,23,23,6,6,29,29,11,11,0,0,3,3,0,0,0,0,0,0,126,126
8,4,Marcus Bontempelli,1,Western Bulldogs,14,14,12,12,26,26,4,4,0,0,9,9,3,0,1,1,2,8,125,125
9,13,Luke Ryan,1,Fremantle,20,20,4,4,24,24,11,11,0,0,6,6,2,1,0,0,0,0,124,124
10,21,Sam Berry,1,Adelaide,11,11,13,13,24,24,1,1,0,0,14,14,0,2,2,2,0,12,124,124
11,14,Tim Taranto,1,GWS Giants,18,18,12,12,30,30,8,8,0,0,5,5,1,0,0,0,0,0,123,123
12,43,Aaron Hall,1,North Melbourne,22,22,8,8,30,30,7,7,0,0,4,4,2,0,0,0,1,1,122,122
13,28,Jarrod Witts,1,Gold Coast,6,6,8,8,14,14,2,2,50,50,7,7,3,0,0,0,0,0,121,121
14,9,Patrick Cripps,1,Carlton,13,13,21,21,34,34,6,6,0,0,4,4,1,1,1,1,2,8,121,121
15,7,Zach Merrett,1,Essendon,23,23,15,15,38,38,4,4,0,0,2,2,2,0,0,0,0,0,121,121
16,11,Touk Miller,1,Gold Coast,20,20,14,14,34,34,2,2,0,0,7,7,1,1,0,0,0,0,120,120
17,19,Jack Gunston,1,Hawthorn,15,15,2,2,17,17,7,7,0,0,3,3,2,0,5,5,4,34,118,118
18,14,Callum Mills,1,Sydney,13,13,14,14,27,27,7,7,0,0,6,6,0,0,1,1,0,6,118,118
19,21,Dyson Heppell,1,Essendon,17,17,9,9,26,26,11,11,0,0,4,4,2,1,0,0,0,0,117,117
20,44,Tim English,1,Western Bulldogs,12,12,8,8,20,20,10,10,19,19,3,3,0,3,2,2,0,12,116,116
21,42,Adam Saad,1,Carlton,22,22,3,3,25,25,12,12,0,0,2,2,0,0,0,0,0,0,116,116
22,8,Jack Redden,1,West Coast,9,9,16,16,25,25,8,8,0,0,8,8,0,0,0,0,0,0,115,115
23,1,Chad Warner,1,Sydney,18,18,7,7,25,25,4,4,0,0,8,8,0,1,1,1,0,6,115,115
24,26,Luke Parker,1,Sydney,11,11,18,18,29,29,3,3,0,0,12,12,0,4,0,0,0,0,114,114
25,9,Luke Davies-Uniacke,1,North Melbourne,12,12,18,18,30,30,4,4,0,0,5,5,0,1,2,2,0,12,113,113
26,3,Ryan Burton,1,Port Adelaide,18,18,6,6,24,24,8,8,0,0,5,5,1,0,0,0,0,0,111,111
27,2,Sam Powell-Pepper,1,Port Adelaide,14,14,5,5,19,19,7,7,2,2,5,5,1,0,2,2,1,13,109,109
28,15,Sam Docherty,1,Carlton,17,17,9,9,26,26,10,10,0,0,3,3,1,1,0,0,0,0,109,109
29,15,Noah Anderson,1,Gold Coast,20,20,11,11,31,31,6,6,0,0,3,3,3,2,0,0,0,0,109,109
30,19,Rowan Marshall,1,St Kilda,9,9,6,6,15,15,3,3,49,49,6,6,2,5,0,0,0,0,108,108
31,32,Bailey J. Williams,1,West Coast,13,13,5,5,18,18,3,3,22,22,5,5,5,1,1,1,0,6,108,108
32,7,Jack Ziebell,1,North Melbourne,16,16,4,4,20,20,7,7,0,0,2,2,4,0,3,3,1,19,108,108
33,2,Ben Keays,1,Adelaide,11,11,11,11,22,22,2,2,0,0,12,12,2,1,0,0,0,0,108,108
34,3,Dylan Stephens,1,Sydney,18,18,7,7,25,25,3,3,0,0,6,6,4,1,1,1,0,6,108,108
35,4,Brandon Ellis,1,Gold Coast,18,18,11,11,29,29,4,4,0,0,2,2,0,0,2,2,0,12,108,108
36,6,Bailey Smith,1,Western Bulldogs,18,18,10,10,28,28,4,4,0,0,5,5,0,0,0,0,1,1,107,107
37,44,Jai Newcombe,1,Hawthorn,13,13,17,17,30,30,3,3,0,0,3,3,0,0,2,2,1,13,107,107
38,20,Ed Richards,1,Western Bulldogs,15,15,9,9,24,24,8,8,0,0,4,4,3,0,0,0,0,0,106,106
39,3,Tom Mitchell,1,Hawthorn,12,12,20,20,32,32,7,7,0,0,4,4,2,5,1,1,0,6,106,106
40,11,Braydon Preuss,1,GWS Giants,13,13,6,6,19,19,5,5,36,36,2,2,3,3,0,0,1,1,105,105
41,8,James Rowbottom,1,Sydney,14,14,12,12,26,26,3,3,0,0,8,8,0,1,0,0,1,1,105,105
42,17,Will Brodie,1,Fremantle,15,15,11,11,26,26,6,6,0,0,4,4,1,1,1,1,0,6,105,105
43,7,Matthew Kennedy,1,Carlton,16,16,11,11,27,27,3,3,0,0,6,6,1,0,0,0,1,1,105,105
44,3,Dion Prestia,1,Richmond,17,17,13,13,30,30,5,5,0,0,3,3,1,0,0,0,0,0,105,105
45,43,Reilly O'Brien,1,Adelaide,5,5,6,6,11,11,0,0,51,51,7,7,1,1,0,0,0,0,104,104
46,42,Robbie Fox,1,Sydney,18,18,7,7,25,25,8,8,0,0,3,3,0,0,0,0,0,0,104,104
47,13,Dylan Moore,1,Hawthorn,9,9,16,16,25,25,5,5,0,0,7,7,2,0,0,0,0,0,104,104
48,9,Dylan Shiel,1,Essendon,13,13,17,17,30,30,6,6,0,0,3,3,0,0,0,0,1,1,104,104
49,12,Jordan Dawson,1,Adelaide,15,15,5,5,20,20,5,5,0,0,7,7,1,1,1,1,1,7,103,103
50,1,Nick Vlastuin,1,Richmond,13,13,10,10,23,23,6,6,0,0,6,6,2,0,0,0,0,0,103,103
Totals,,,50,,782,15.6,520,10.4,1302,26,300,6,269,5.4,263,5.3,68,43,32,0.6,20,212,5758,115.2
51,27,Harrison Himmelberg,1,GWS Giants,19,19,6,6,25,25,7,7,0,0,3,3,4,1,0,0,0,0,103,103
52,21,Aliir Aliir,1,Port Adelaide,18,18,5,5,23,23,11,11,0,0,3,3,2,3,0,0,0,0,102,102
53,5,Josh Dunkley,1,Western Bulldogs,13,13,11,11,24,24,6,6,0,0,6,6,1,1,0,0,1,1,102,102
54,18,Sam Walsh,1,Carlton,14,14,17,17,31,31,4,4,0,0,5,5,0,2,0,0,0,0,102,102
55,5,Isaac Heeney,1,Sydney,10,10,5,5,15,15,1,1,0,0,10,10,4,0,2,2,2,14,101,101
56,30,Charlie Curnow,1,Carlton,14,14,4,4,18,18,10,10,0,0,1,1,1,3,4,4,1,25,101,101
57,14,Liam Duggan,1,West Coast,17,17,7,7,24,24,10,10,0,0,2,2,1,1,0,0,0,0,101,101
58,43,Will Setterfield,1,Carlton,14,14,10,10,24,24,8,8,0,0,2,2,0,0,1,1,1,7,101,101
59,11,Jackson Macrae,1,Western Bulldogs,17,17,12,12,29,29,4,4,0,0,2,2,0,0,1,1,0,6,101,101
60,20,Connor Rozee,1,Port Adelaide,11,11,10,10,21,21,7,7,0,0,7,7,0,1,0,0,1,1,100,100
61,6,Sebastian Ross,1,St Kilda,14,14,13,13,27,27,5,5,0,0,4,4,1,0,0,0,0,0,100,100
62,5,Adam Cerra,1,Carlton,10,10,17,17,27,27,4,4,0,0,6,6,0,0,0,0,0,0,100,100
63,23,Charlie Cameron,1,Brisbane Lions,10,10,3,3,13,13,3,3,0,0,8,8,3,0,3,3,1,19,99,99
64,10,Harry McKay,1,Carlton,15,15,3,3,18,18,10,10,5,5,0,0,3,2,2,2,3,15,98,98
65,11,Tom Papley,1,Sydney,13,13,9,9,22,22,3,3,0,0,5,5,1,1,2,2,2,14,98,98
66,8,Andrew Brayshaw,1,Fremantle,7,7,21,21,28,28,3,3,0,0,7,7,2,2,0,0,2,2,98,98
67,1,Adam Treloar,1,Western Bulldogs,16,16,12,12,28,28,6,6,0,0,1,1,1,1,1,1,0,6,98,98
68,6,Hugh McCluggage,1,Brisbane Lions,15,15,10,10,25,25,8,8,0,0,1,1,0,1,1,1,1,7,97,97
69,33,Kamdyn McIntosh,1,Richmond,14,14,2,2,16,16,6,6,0,0,6,6,2,0,1,1,0,6,96,96
70,9,Blake Acres,1,Fremantle,17,17,5,5,22,22,6,6,0,0,5,5,0,1,0,0,0,0,96,96
71,24,Nic Newman,1,Carlton,15,15,8,8,23,23,6,6,0,0,4,4,1,0,0,0,0,0,96,96
72,6,Jordan Clark,1,Fremantle,15,15,9,9,24,24,7,7,0,0,3,3,2,1,0,0,1,1,96,96
73,33,Zac Bailey,1,Brisbane Lions,17,17,7,7,24,24,6,6,0,0,2,2,2,1,1,1,0,6,96,96
74,18,Hugh Greenwood,1,North Melbourne,6,6,18,18,24,24,6,6,0,0,5,5,2,0,0,0,1,1,95,95
75,37,Tom Barrass,1,West Coast,17,17,9,9,26,26,8,8,0,0,0,0,2,0,0,0,0,0,95,95
76,9,Lachie Neale,1,Brisbane Lions,13,13,19,19,32,32,3,3,0,0,2,2,1,0,0,0,0,0,95,95
77,11,Will Snelling,1,Essendon,6,6,14,14,20,20,5,5,0,0,8,8,1,0,0,0,0,0,94,94
78,22,Charlie Dixon,1,Port Adelaide,13,13,10,10,23,23,7,7,7,7,0,0,2,3,2,2,2,14,94,94
79,8,Callan Ward,1,GWS Giants,11,11,14,14,25,25,4,4,0,0,5,5,1,0,0,0,0,0,94,94
80,22,Nick Blakey,1,Sydney,19,19,7,7,26,26,7,7,0,0,2,2,0,2,0,0,0,0,94,94
81,13,Clayton Oliver,1,Melbourne,14,14,14,14,28,28,1,1,0,0,5,5,1,0,0,0,0,0,94,94
82,32,Mason Wood,1,St Kilda,11,11,10,10,21,21,5,5,0,0,4,4,2,0,1,1,1,7,93,93
83,30,Tom Atkins,1,Geelong,13,13,11,11,24,24,1,1,0,0,7,7,2,1,0,0,1,1,92,92
84,22,Sam Durham,1,Essendon,10,10,13,13,23,23,10,10,0,0,1,1,1,1,0,0,1,1,89,89
85,11,James Aish,1,Fremantle,13,13,10,10,23,23,8,8,0,0,0,0,0,0,1,1,0,6,89,89
86,35,Josh Rotham,1,West Coast,10,10,4,4,14,14,7,7,8,8,2,2,1,0,2,2,0,12,88,88
87,16,Dan Butler,1,St Kilda,10,10,4,4,14,14,3,3,0,0,3,3,2,1,5,5,0,30,88,88
88,31,Tom Hickey,1,Sydney,10,10,7,7,17,17,2,2,22,22,4,4,0,0,0,0,0,0,88,88
89,17,Jarryd Lyons,1,Brisbane Lions,13,13,8,8,21,21,4,4,0,0,4,4,1,1,1,1,1,7,88,88
