Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,44,Tom Stewart,1,Geelong,26,26,14,14,40,40,14,14,0,0,4,4,2,3,0,0,0,0,157,157
2,11,Max Gawn,1,Melbourne,19,19,10,10,29,29,6,6,35,35,3,3,1,2,2,2,0,12,149,149
3,19,Thomas Lynch,1,Richmond,17,17,2,2,19,19,14,14,0,0,2,2,3,3,7,7,5,47,146,146
4,9,Lachie Neale,1,Brisbane Lions,15,15,22,22,37,37,3,3,0,0,9,9,2,0,1,1,0,6,142,142
5,11,Touk Miller,1,Gold Coast,21,21,15,15,36,36,4,4,0,0,6,6,2,1,2,2,0,12,140,140
6,13,Dylan Moore,1,Hawthorn,20,20,13,13,33,33,11,11,0,0,3,3,1,0,1,1,0,6,138,138
7,29,Shai Bolton,1,Richmond,21,21,9,9,30,30,8,8,0,0,4,4,1,2,3,3,2,20,136,136
8,22,Joshua Kelly,1,GWS Giants,21,21,20,20,41,41,3,3,0,0,6,6,0,1,0,0,1,1,134,134
9,5,Josh Dunkley,1,Western Bulldogs,16,16,13,13,29,29,6,6,0,0,6,6,4,0,2,2,1,13,133,133
10,14,Callum Mills,1,Sydney,16,16,14,14,30,30,7,7,0,0,7,7,3,1,1,1,0,6,131,131
11,25,Jack Crisp,1,Collingwood,18,18,10,10,28,28,8,8,0,0,6,6,0,0,1,1,2,8,130,130
12,13,Clayton Oliver,1,Melbourne,18,18,15,15,33,33,7,7,0,0,5,5,3,1,0,0,1,1,126,126
13,9,Patrick Cripps,1,Carlton,13,13,22,22,35,35,4,4,2,2,4,4,4,0,1,1,2,8,125,125
14,8,Jack Redden,1,West Coast,16,16,11,11,27,27,15,15,0,0,3,3,0,1,0,0,0,0,124,124
15,15,Jayden Short,1,Richmond,27,27,4,4,31,31,7,7,0,0,3,3,0,0,0,0,1,1,123,123
16,13,Isaac Cumming,1,GWS Giants,19,19,14,14,33,33,5,5,0,0,7,7,1,2,0,0,0,0,123,123
17,26,Luke Parker,1,Sydney,13,13,20,20,33,33,4,4,0,0,6,6,4,0,0,0,0,0,119,119
18,29,Rory Laird,1,Adelaide,9,9,26,26,35,35,4,4,0,0,7,7,2,1,0,0,0,0,118,118
19,46,Mark Blicavs,1,Geelong,11,11,9,9,20,20,4,4,20,20,4,4,5,0,2,2,0,12,116,116
20,9,Jack Steele,1,St Kilda,15,15,12,12,27,27,5,5,0,0,8,8,2,1,0,0,0,0,115,115
21,6,James Sicily,1,Hawthorn,21,21,5,5,26,26,13,13,0,0,1,1,1,1,0,0,0,0,114,114
22,13,Taylor Adams,1,Collingwood,14,14,9,9,23,23,8,8,0,0,8,8,0,1,0,0,0,0,113,113
23,10,Scott Pendlebury,1,Collingwood,18,18,7,7,25,25,6,6,0,0,6,6,3,0,0,0,0,0,113,113
24,15,Noah Anderson,1,Gold Coast,19,19,13,13,32,32,6,6,0,0,5,5,1,3,0,0,0,0,113,113
25,23,Jesse Hogan,1,GWS Giants,11,11,7,7,18,18,10,10,0,0,4,4,0,1,3,3,3,21,111,111
26,6,Sebastian Ross,1,St Kilda,24,24,7,7,31,31,4,4,0,0,4,4,0,1,0,0,0,0,111,111
27,5,Christian Petracca,1,Melbourne,17,17,14,14,31,31,5,5,0,0,2,2,2,0,1,1,1,7,111,111
28,10,Harry McKay,1,Carlton,13,13,2,2,15,15,11,11,3,3,1,1,1,0,4,4,2,26,110,110
29,39,Greg Clark,1,West Coast,15,15,9,9,24,24,7,7,0,0,6,6,2,0,0,0,0,0,110,110
30,10,Angus Brayshaw,1,Melbourne,15,15,11,11,26,26,10,10,0,0,3,3,1,0,0,0,0,0,110,110
31,9,Blake Acres,1,Fremantle,19,19,8,8,27,27,6,6,0,0,4,4,1,2,1,1,1,7,109,109
32,14,Darcy Cameron,1,Collingwood,10,10,6,6,16,16,4,4,15,15,5,5,5,0,2,2,1,13,107,107
33,12,Jordan Dawson,1,Adelaide,21,21,3,3,24,24,8,8,0,0,3,3,1,0,0,0,0,0,106,106
34,3,Stephen Coniglio,1,GWS Giants,9,9,11,11,20,20,4,4,0,0,7,7,1,1,3,3,0,18,105,105
35,15,Dayne Zorko,1,Brisbane Lions,19,19,3,3,22,22,8,8,0,0,2,2,1,2,2,2,3,15,105,105
36,35,Caleb Daniel,1,Western Bulldogs,18,18,14,14,32,32,4,4,0,0,3,3,2,1,0,0,0,0,105,105
37,1,Chad Warner,1,Sydney,12,12,12,12,24,24,5,5,0,0,8,8,1,2,0,0,2,2,104,104
38,28,Jarrod Witts,1,Gold Coast,9,9,11,11,20,20,5,5,44,44,1,1,0,3,0,0,0,0,103,103
39,3,Tom Mitchell,1,Hawthorn,10,10,12,12,22,22,6,6,0,0,7,7,3,2,1,1,0,6,103,103
40,27,Mason Redman,1,Essendon,20,20,9,9,29,29,6,6,0,0,1,1,2,0,0,0,1,1,103,103
41,1,Nick Vlastuin,1,Richmond,16,16,8,8,24,24,10,10,0,0,3,3,2,2,0,0,0,0,102,102
42,13,Luke Shuey,1,West Coast,19,19,9,9,28,28,4,4,0,0,6,6,0,3,0,0,0,0,102,102
43,31,Bailey Dale,1,Western Bulldogs,19,19,9,9,28,28,7,7,0,0,2,2,1,1,0,0,0,0,102,102
44,32,Jack Newnes,1,Carlton,13,13,9,9,22,22,10,10,0,0,2,2,0,0,1,1,0,6,101,101
45,3,Darcy Parish,1,Essendon,13,13,19,19,32,32,5,5,0,0,3,3,0,1,0,0,0,0,101,101
46,23,Lance Franklin,1,Sydney,10,10,5,5,15,15,7,7,0,0,2,2,1,2,6,6,0,36,100,100
47,6,Bailey Smith,1,Western Bulldogs,16,16,10,10,26,26,4,4,0,0,3,3,2,0,1,1,0,6,100,100
48,2,Ben Keays,1,Adelaide,15,15,12,12,27,27,2,2,0,0,6,6,1,2,1,1,0,6,100,100
49,15,Sam Docherty,1,Carlton,20,20,13,13,33,33,4,4,0,0,2,2,0,2,0,0,0,0,100,100
50,29,Cameron Guthrie,1,Geelong,16,16,19,19,35,35,2,2,0,0,2,2,3,1,0,0,0,0,100,100
Totals,,,50,,822,16.4,561,11.2,1383,27.7,330,6.6,119,2.4,215,4.3,78,53,49,1,29,323,5799,116
51,6,Lachie Whitfield,1,GWS Giants,7,7,12,12,19,19,4,4,0,0,6,6,0,0,3,3,0,18,99,99
52,21,Dyson Heppell,1,Essendon,14,14,15,15,29,29,5,5,0,0,2,2,3,0,0,0,0,0,98,98
53,19,Peter Ladhams,1,Sydney,8,8,15,15,23,23,4,4,25,25,3,3,2,3,0,0,1,1,97,97
54,23,Alex Witherden,1,West Coast,15,15,9,9,24,24,10,10,0,0,1,1,0,0,0,0,0,0,97,97
55,14,Liam Duggan,1,West Coast,12,12,16,16,28,28,9,9,0,0,0,0,2,0,0,0,0,0,97,97
56,18,Sam Walsh,1,Carlton,15,15,14,14,29,29,4,4,0,0,2,2,1,1,1,1,0,6,97,97
57,7,Matthew Kennedy,1,Carlton,10,10,14,14,24,24,5,5,0,0,5,5,2,0,0,0,1,1,96,96
58,42,Adam Saad,1,Carlton,14,14,11,11,25,25,6,6,0,0,3,3,2,0,0,0,0,0,96,96
59,3,Ryan Burton,1,Port Adelaide,21,21,4,4,25,25,9,9,0,0,1,1,0,2,0,0,0,0,96,96
60,6,Hugh McCluggage,1,Brisbane Lions,16,16,12,12,28,28,5,5,0,0,3,3,2,2,0,0,1,1,96,96
61,11,Braydon Preuss,1,GWS Giants,9,9,1,1,10,10,4,4,34,34,4,4,2,0,0,0,2,2,95,95
62,30,Levi Casboult,1,Gold Coast,12,12,0,0,12,12,8,8,0,0,1,1,3,0,4,4,4,28,95,95
63,5,Isaac Heeney,1,Sydney,11,11,7,7,18,18,3,3,0,0,5,5,4,1,3,3,0,18,95,95
64,14,Tim Taranto,1,GWS Giants,11,11,12,12,23,23,3,3,0,0,6,6,1,1,1,1,0,6,94,94
65,43,Patrick Naish,1,West Coast,17,17,7,7,24,24,5,5,0,0,3,3,2,0,0,0,0,0,94,94
