Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,5,Josh Dunkley,27,Brisbane Lions,318,11.8,345,12.8,663,24.6,125,4.6,0,0,218,8.1,45,20,7,0.3,8,50,2926,108.4
2,15,Dayne Zorko,27,Brisbane Lions,571,21.1,140,5.2,711,26.3,185,6.9,0,0,72,2.7,28,28,4,0.1,7,31,2811,104.1
3,6,Hugh McCluggage,27,Brisbane Lions,398,14.7,334,12.4,732,27.1,115,4.3,0,0,122,4.5,31,34,18,0.7,12,120,2744,101.6
4,12,Jordan Dawson,25,Adelaide,392,15.7,192,7.7,584,23.4,117,4.7,0,0,184,7.4,37,30,18,0.7,20,128,2722,108.9
5,35,Nick Daicos,25,Collingwood,419,16.8,331,13.2,750,30,101,4,0,0,98,3.9,42,35,17,0.7,20,122,2673,106.9
6,9,Max Holmes,26,Geelong,436,16.8,263,10.1,699,26.9,140,5.4,0,0,92,3.5,20,22,14,0.5,10,94,2670,102.7
7,8,Will Ashcroft,27,Brisbane Lions,370,13.7,364,13.5,734,27.2,114,4.2,0,0,94,3.5,34,12,15,0.6,13,103,2657,98.4
8,3,Bailey Smith,23,Geelong,454,19.7,266,11.6,720,31.3,111,4.8,0,0,114,5,16,36,8,0.3,7,55,2646,115
9,11,Max Gawn,23,Melbourne,237,10.3,240,10.4,477,20.7,131,5.7,826,35.9,50,2.2,55,37,6,0.3,15,51,2605,113.3
10,7,Nasiah Wanganeen-Milera,23,St Kilda,512,22.3,176,7.7,688,29.9,121,5.3,0,0,52,2.3,21,17,17,0.7,18,120,2549,110.8
11,44,Tim English,23,Western Bulldogs,232,10.1,178,7.7,410,17.8,141,6.1,697,30.3,77,3.3,47,24,13,0.6,15,93,2548,110.8
12,18,Matthew Rowell,25,Gold Coast,308,12.3,349,14,657,26.3,41,1.6,0,0,214,8.6,53,61,10,0.4,7,67,2538,101.5
13,14,Darcy Cameron,25,Collingwood,268,10.7,173,6.9,441,17.6,128,5.1,708,28.3,69,2.8,58,31,7,0.3,6,48,2531,101.2
14,15,Noah Anderson,25,Gold Coast,369,14.8,383,15.3,752,30.1,93,3.7,0,0,76,3,24,27,12,0.5,11,83,2482,99.3
15,8,Andrew Brayshaw,24,Fremantle,292,12.2,355,14.8,647,27,70,2.9,0,0,161,6.7,45,32,7,0.3,8,50,2439,101.6
16,6,Lachie Whitfield,23,GWS Giants,440,19.1,219,9.5,659,28.7,163,7.1,0,0,58,2.5,14,20,0,0,3,3,2436,105.9
17,19,Rowan Marshall,23,St Kilda,262,11.4,165,7.2,427,18.6,103,4.5,627,27.3,107,4.7,40,53,10,0.4,13,73,2434,105.8
18,3,Harry Sheezel,22,North Melbourne,328,14.9,319,14.5,647,29.4,128,5.8,0,0,94,4.3,23,16,7,0.3,10,52,2409,109.5
19,7,Lachlan Ash,24,GWS Giants,443,18.5,226,9.4,669,27.9,149,6.2,0,0,49,2,14,18,1,0,1,7,2391,99.6
20,7,Josh Daicos,25,Collingwood,423,16.9,248,9.9,671,26.8,123,4.9,0,0,57,2.3,12,16,3,0.1,5,23,2349,94
21,35,Jack Sinclair,23,St Kilda,447,19.4,174,7.6,621,27,110,4.8,0,0,61,2.7,17,7,9,0.4,6,60,2319,100.8
22,30,Tom Atkins,26,Geelong,223,8.6,288,11.1,511,19.7,52,2,0,0,232,8.9,40,36,5,0.2,4,34,2295,88.3
23,21,Tom Liberatore,23,Western Bulldogs,296,12.9,312,13.6,608,26.4,85,3.7,0,0,128,5.6,25,20,6,0.3,8,44,2288,99.5
24,29,George Hewett,23,Carlton,254,11,393,17.1,647,28.1,70,3,0,0,131,5.7,38,31,7,0.3,5,47,2274,98.9
25,3,Caleb Serong,24,Fremantle,331,13.8,326,13.6,657,27.4,41,1.7,0,0,114,4.8,42,17,7,0.3,6,48,2263,94.3
26,17,Lloyd Meek,24,Hawthorn,127,5.3,199,8.3,326,13.6,67,2.8,903,37.6,100,4.2,35,41,10,0.4,7,67,2262,94.3
27,7,Zach Merrett,22,Essendon,335,15.2,276,12.5,611,27.8,82,3.7,0,0,96,4.4,33,8,9,0.4,11,65,2261,102.8
28,3,Jaspa Fletcher,27,Brisbane Lions,373,13.8,202,7.5,575,21.3,181,6.7,0,0,44,1.6,13,14,7,0.3,2,44,2257,83.6
29,2,John Noble,25,Gold Coast,436,17.4,196,7.8,632,25.3,121,4.8,0,0,56,2.2,17,26,3,0.1,3,21,2247,89.9
30,12,Tom Green,23,GWS Giants,306,13.3,378,16.4,684,29.7,69,3,1,0,84,3.7,17,27,13,0.6,11,89,2243,97.5
31,43,Reilly O'Brien,25,Adelaide,159,6.4,141,5.6,300,12,75,3,972,38.9,88,3.5,41,45,3,0.1,3,21,2235,89.4
32,32,Gryan Miers,24,Geelong,353,14.7,181,7.5,534,22.3,136,5.7,0,0,76,3.2,19,7,14,0.6,13,97,2228,92.8
33,4,Brodie Grundy,21,Sydney,150,7.1,256,12.2,406,19.3,72,3.4,745,35.5,82,3.9,49,41,7,0.3,5,47,2224,105.9
34,20,Ed Richards,23,Western Bulldogs,353,15.3,240,10.4,593,25.8,77,3.3,0,0,84,3.7,21,17,22,1,15,147,2223,96.7
35,8,Matthew Kennedy,23,Western Bulldogs,289,12.6,244,10.6,533,23.2,103,4.5,0,0,117,5.1,26,24,21,0.9,8,134,2220,96.5
36,3,Jai Newcombe,25,Hawthorn,263,10.5,322,12.9,585,23.4,91,3.6,0,0,123,4.9,50,37,11,0.4,9,75,2212,88.5
37,28,Jarrod Witts,24,Gold Coast,119,5,187,7.8,306,12.8,38,1.6,1040,43.3,82,3.4,54,28,4,0.2,4,28,2211,92.1
38,33,Zac Bailey,26,Brisbane Lions,321,12.3,199,7.7,520,20,123,4.7,0,0,60,2.3,36,29,42,1.6,39,291,2210,85
39,1,Connor Rozee,21,Port Adelaide,378,18,199,9.5,577,27.5,102,4.9,0,0,79,3.8,28,22,11,0.5,7,73,2189,104.2
40,10,Karl Amon,25,Hawthorn,426,17,174,7,600,24,116,4.6,0,0,53,2.1,17,15,4,0.2,3,27,2185,87.4
41,44,Darcy Wilmot,27,Brisbane Lions,373,13.8,176,6.5,549,20.3,160,5.9,0,0,56,2.1,16,18,6,0.2,2,38,2175,80.6
42,5,Jeremy Cameron,26,Geelong,288,11.1,65,2.5,353,13.6,152,5.8,4,0.2,46,1.8,19,23,88,3.4,43,571,2159,83
43,6,Jordan Clark,24,Fremantle,381,15.9,198,8.3,579,24.1,114,4.8,0,0,72,3,24,21,2,0.1,3,15,2145,89.4
44,3,Christian Salem,23,Melbourne,372,16.2,155,6.7,527,22.9,176,7.7,0,0,51,2.2,5,11,1,0,2,8,2138,93
45,31,Bailey Dale,23,Western Bulldogs,454,19.7,168,7.3,622,27,108,4.7,0,0,25,1.1,11,15,4,0.2,3,27,2115,92
46,17,Finn Callaghan,21,GWS Giants,313,14.9,283,13.5,596,28.4,78,3.7,0,0,98,4.7,12,25,6,0.3,9,45,2113,100.6
47,25,Jack Crisp,25,Collingwood,285,11.4,216,8.6,501,20,106,4.2,0,0,129,5.2,14,30,9,0.4,7,61,2106,84.2
48,11,Touk Miller,23,Gold Coast,255,11.1,314,13.7,569,24.7,68,3,0,0,104,4.5,26,14,16,0.7,12,108,2105,91.5
49,38,Tristan Xerri,20,North Melbourne,123,6.2,222,11.1,345,17.3,33,1.7,699,35,132,6.6,48,37,4,0.2,0,24,2100,105
50,7,Riley Thilthorpe,25,Adelaide,241,9.6,102,4.1,343,13.7,138,5.5,164,6.6,52,2.1,34,19,60,2.4,29,389,2079,83.2
Totals,,,1206,,16496,13.7,12052,10,28548,23.7,5343,4.4,7386,6.1,4713,3.9,1486,1274,605,0.5,488,4118,117641,97.5
51,5,Christian Petracca,23,Melbourne,265,11.5,320,13.9,585,25.4,82,3.6,0,0,78,3.4,15,21,18,0.8,24,132,2077,90.3
52,9,Lachie Neale,22,Brisbane Lions,288,13.1,302,13.7,590,26.8,90,4.1,0,0,81,3.7,15,18,8,0.4,4,52,2075,94.3
53,5,Isaac Heeney,22,Sydney,276,12.5,232,10.5,508,23.1,79,3.6,0,0,83,3.8,31,14,32,1.5,20,212,2062,93.7
54,29,Rory Laird,22,Adelaide,286,13,245,11.1,531,24.1,131,6,0,0,78,3.5,22,10,1,0,0,6,2051,93.2
55,9,Patrick Cripps,23,Carlton,220,9.6,336,14.6,556,24.2,50,2.2,12,0.5,132,5.7,45,42,14,0.6,17,101,2042,88.8
56,14,Jake Soligo,25,Adelaide,309,12.4,213,8.5,522,20.9,68,2.7,0,0,115,4.6,35,35,14,0.6,5,89,2036,81.4
57,9,Jack Steele,22,St Kilda,177,8,261,11.9,438,19.9,87,4,0,0,183,8.3,24,28,4,0.2,3,27,2013,91.5
58,7,Jarrod Berry,24,Brisbane Lions,291,12.1,186,7.8,477,19.9,137,5.7,0,0,79,3.3,39,21,9,0.4,6,60,2008,83.7
59,25,Toby Nankervis,22,Richmond,173,7.9,176,8,349,15.9,47,2.1,727,33,84,3.8,27,45,6,0.3,2,38,2005,91.1
60,4,Marcus Bontempelli,18,Western Bulldogs,254,14.1,233,12.9,487,27.1,84,4.7,0,0,98,5.4,27,13,21,1.2,17,143,2003,111.3
61,9,Luke Jackson,21,Fremantle,153,7.3,220,10.5,373,17.8,72,3.4,458,21.8,87,4.1,32,26,20,1,7,127,2002,95.3
62,7,Shaun Mannagh,23,Geelong,305,13.3,116,5,421,18.3,84,3.7,0,0,112,4.9,20,24,31,1.3,20,206,2001,87
63,13,Dylan Moore,25,Hawthorn,249,10,224,9,473,18.9,109,4.4,0,0,87,3.5,36,20,21,0.8,17,143,1989,79.6
64,17,Jake Bowey,23,Melbourne,363,15.8,156,6.8,519,22.6,119,5.2,0,0,59,2.6,21,13,2,0.1,0,12,1988,86.4
65,21,Archie Roberts,23,Essendon,304,13.2,259,11.3,563,24.5,122,5.3,0,0,52,2.3,23,22,2,0.1,3,15,1976,85.9
