Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,15,Dayne Zorko,27,Brisbane Lions,566,21,145,5.4,711,26.3,213,7.9,0,0,86,3.2,23,24,9,0.3,6,60,2982,110.4
2,5,Josh Dunkley,27,Brisbane Lions,335,12.4,348,12.9,683,25.3,150,5.6,2,0.1,167,6.2,39,17,6,0.2,6,42,2851,105.6
3,21,Errol Gulden,26,Sydney,514,19.8,191,7.3,705,27.1,146,5.6,0,0,92,3.5,27,29,15,0.6,16,106,2776,106.8
4,6,Lachie Whitfield,25,GWS Giants,488,19.5,265,10.6,753,30.1,177,7.1,0,0,72,2.9,20,32,0,0,1,1,2738,109.5
5,6,Hugh McCluggage,27,Brisbane Lions,397,14.7,270,10,667,24.7,143,5.3,0,0,99,3.7,30,21,19,0.7,14,128,2651,98.2
6,38,Tristan Xerri,23,North Melbourne,194,8.4,218,9.5,412,17.9,66,2.9,794,34.5,173,7.5,54,58,8,0.3,3,51,2633,114.5
7,9,Zak Butters,26,Port Adelaide,370,14.2,334,12.8,704,27.1,123,4.7,0,0,107,4.1,35,30,13,0.5,13,91,2611,100.4
8,9,Lachie Neale,26,Brisbane Lions,353,13.6,409,15.7,762,29.3,120,4.6,0,0,85,3.3,35,30,13,0.5,7,85,2607,100.3
9,19,Rowan Marshall,22,St Kilda,327,14.9,132,6,459,20.9,130,5.9,567,25.8,97,4.4,41,44,15,0.7,8,98,2597,118
10,4,Marcus Bontempelli,24,Western Bulldogs,324,13.5,294,12.3,618,25.8,96,4,0,0,129,5.4,24,20,32,1.3,20,212,2540,105.8
11,1,Adam Treloar,24,Western Bulldogs,348,14.5,377,15.7,725,30.2,76,3.2,0,0,109,4.5,22,20,16,0.7,6,102,2526,105.3
12,5,Isaac Heeney,24,Sydney,328,13.7,274,11.4,602,25.1,108,4.5,0,0,113,4.7,45,23,34,1.4,20,224,2508,104.5
13,7,Zach Merrett,23,Essendon,361,15.7,289,12.6,650,28.3,99,4.3,0,0,114,5,34,14,14,0.6,15,99,2505,108.9
14,4,Brodie Grundy,26,Sydney,180,6.9,289,11.1,469,18,59,2.3,837,32.2,121,4.7,51,61,2,0.1,3,15,2499,96.1
15,12,Tom Green,25,GWS Giants,334,13.4,436,17.4,770,30.8,75,3,0,0,101,4,12,26,9,0.4,3,57,2494,99.8
16,37,Nic Martin,23,Essendon,418,18.2,232,10.1,650,28.3,153,6.7,0,0,54,2.3,11,13,15,0.7,11,101,2466,107.2
17,35,Nick Daicos,23,Collingwood,381,16.6,324,14.1,705,30.7,68,3,0,0,87,3.8,39,36,20,0.9,14,134,2408,104.7
18,9,Patrick Cripps,24,Carlton,266,11.1,426,17.8,692,28.8,63,2.6,20,0.8,129,5.4,49,47,17,0.7,6,108,2391,99.6
19,44,Tim English,23,Western Bulldogs,204,8.9,175,7.6,379,16.5,138,6,622,27,87,3.8,31,27,14,0.6,10,94,2390,103.9
20,15,Noah Anderson,23,Gold Coast,361,15.7,304,13.2,665,28.9,109,4.7,0,0,71,3.1,26,8,13,0.6,8,86,2390,103.9
21,24,Nic Newman,23,Carlton,398,17.3,147,6.4,545,23.7,187,8.1,0,0,91,4,25,25,1,0,3,9,2372,103.1
22,3,Sam Flanders,22,Gold Coast,380,17.3,300,13.6,680,30.9,122,5.5,0,0,50,2.3,27,11,11,0.5,5,71,2371,107.8
23,3,Harry Sheezel,21,North Melbourne,330,15.7,296,14.1,626,29.8,134,6.4,0,0,80,3.8,14,15,14,0.7,1,85,2358,112.3
24,9,Jack Steele,22,St Kilda,250,11.4,290,13.2,540,24.5,131,6,0,0,154,7,26,20,8,0.4,3,51,2356,107.1
25,1,Chad Warner,25,Sydney,361,14.4,226,9,587,23.5,104,4.2,0,0,79,3.2,19,29,35,1.4,19,229,2324,93
26,8,Andrew Brayshaw,22,Fremantle,289,13.1,356,16.2,645,29.3,95,4.3,0,0,112,5.1,31,30,7,0.3,11,53,2306,104.8
27,7,Jarrod Berry,27,Brisbane Lions,302,11.2,238,8.8,540,20,167,6.2,0,0,97,3.6,33,16,6,0.2,8,44,2300,85.2
