Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,6,Lachie Whitfield,1,GWS Giants,27,27,14,14,41,41,12,12,0,0,4,4,2,1,0,0,0,0,160,160
2,5,Josh Dunkley,1,Brisbane Lions,17,17,15,15,32,32,12,12,0,0,10,10,3,1,0,0,1,1,158,158
3,6,Jye Caldwell,1,Essendon,18,18,14,14,32,32,4,4,0,0,12,12,2,0,0,0,0,0,144,144
4,24,Nic Newman,1,Carlton,23,23,5,5,28,28,14,14,0,0,5,5,1,0,0,0,1,1,143,143
5,15,Noah Anderson,1,Gold Coast,16,16,23,23,39,39,8,8,0,0,5,5,2,0,0,0,0,0,140,140
6,35,Jack Sinclair,1,St Kilda,23,23,8,8,31,31,10,10,0,0,5,5,0,0,0,0,0,0,135,135
7,18,Sam Walsh,1,Carlton,11,11,15,15,26,26,5,5,0,0,10,10,2,0,2,2,0,12,132,132
8,14,Liam Duggan,1,West Coast,25,25,3,3,28,28,14,14,0,0,3,3,0,1,0,0,0,0,132,132
9,38,Tristan Xerri,1,North Melbourne,10,10,10,10,20,20,5,5,34,34,6,6,0,0,1,1,0,6,129,129
10,9,Patrick Cripps,1,Carlton,16,16,24,24,40,40,5,5,2,2,4,4,3,3,1,1,0,6,129,129
11,13,Dylan Moore,1,Hawthorn,16,16,13,13,29,29,12,12,0,0,1,1,1,0,2,2,0,12,127,127
12,12,Jack Bowes,1,Geelong,17,17,9,9,26,26,6,6,0,0,7,7,2,0,1,1,0,6,123,123
13,4,Marcus Bontempelli,1,Western Bulldogs,21,21,14,14,35,35,6,6,0,0,3,3,1,1,0,0,3,3,122,122
14,22,Nick Blakey,1,Sydney,23,23,9,9,32,32,10,10,0,0,0,0,1,1,1,1,0,6,121,121
15,19,Rowan Marshall,1,St Kilda,17,17,1,1,18,18,9,9,10,10,2,2,1,0,3,3,2,20,119,119
16,15,Dayne Zorko,1,Brisbane Lions,21,21,7,7,28,28,9,9,0,0,4,4,1,1,0,0,0,0,118,118
17,20,Mitchell Hinge,1,Adelaide,17,17,14,14,31,31,8,8,0,0,3,3,1,0,0,0,0,0,116,116
18,23,Izak Rankine,1,Adelaide,20,20,7,7,27,27,7,7,0,0,2,2,0,1,2,2,3,15,115,115
19,35,Nick Daicos,1,Collingwood,19,19,13,13,32,32,4,4,0,0,3,3,4,3,2,2,1,13,115,115
20,13,Darcy Tucker,1,North Melbourne,17,17,13,13,30,30,7,7,0,0,4,4,0,0,0,0,0,0,114,114
21,6,James Sicily,1,Hawthorn,18,18,3,3,21,21,11,11,0,0,4,4,3,0,0,0,1,1,113,113
22,9,Ben Ainsworth,1,Gold Coast,17,17,11,11,28,28,9,9,0,0,0,0,0,0,2,2,1,13,113,113
23,17,Lloyd Meek,1,Hawthorn,4,4,12,12,16,16,5,5,37,37,6,6,0,2,1,1,0,6,112,112
24,18,Jason Horne-Francis,1,Port Adelaide,24,24,4,4,28,28,6,6,0,0,2,2,2,1,1,1,1,7,112,112
25,8,Callan Ward,1,GWS Giants,13,13,11,11,24,24,9,9,0,0,2,2,1,0,2,2,0,12,109,109
26,13,Clayton Oliver,1,Melbourne,11,11,18,18,29,29,3,3,0,0,6,6,0,0,1,1,1,7,109,109
27,14,Darcy Cameron,1,Collingwood,11,11,5,5,16,16,5,5,28,28,5,5,2,0,0,0,0,0,108,108
28,25,Toby Nankervis,1,Richmond,11,11,6,6,17,17,2,2,43,43,3,3,4,3,1,1,0,6,107,107
29,28,Oliver Dempsey,1,Geelong,16,16,9,9,25,25,4,4,0,0,4,4,1,0,2,2,0,12,107,107
30,39,Connor Idun,1,GWS Giants,14,14,9,9,23,23,11,11,0,0,3,3,1,0,0,0,0,0,106,106
