Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,25,Toby Nankervis,1,Richmond,14,14,12,12,26,26,4,4,36,36,7,7,4,1,1,1,1,7,150,150
2,1,Connor Rozee,1,Port Adelaide,19,19,17,17,36,36,5,5,0,0,8,8,1,0,1,1,2,8,147,147
3,8,Andrew Brayshaw,1,Fremantle,20,20,15,15,35,35,8,8,0,0,8,8,2,3,1,1,1,7,146,146
4,9,Lachie Neale,1,Brisbane Lions,20,20,16,16,36,36,9,9,0,0,2,2,1,1,3,3,0,18,143,143
5,5,Josh Dunkley,1,Brisbane Lions,22,22,13,13,35,35,8,8,0,0,5,5,3,2,1,1,1,7,140,140
6,32,Kieren Briggs,1,GWS Giants,8,8,14,14,22,22,3,3,40,40,9,9,1,1,0,0,1,1,136,136
7,9,Zak Butters,1,Port Adelaide,19,19,14,14,33,33,10,10,0,0,3,3,3,0,1,1,0,6,136,136
8,3,Harry Sheezel,1,North Melbourne,14,14,21,21,35,35,8,8,0,0,5,5,0,0,1,1,0,6,134,134
9,44,Tim English,1,Western Bulldogs,13,13,4,4,17,17,8,8,24,24,5,5,4,0,2,2,0,12,131,131
10,6,Jye Caldwell,1,Essendon,15,15,15,15,30,30,6,6,0,0,7,7,3,0,1,1,0,6,130,130
11,44,Callum Wilkie,1,St Kilda,22,22,4,4,26,26,14,14,0,0,4,4,0,1,0,0,0,0,129,129
12,16,Brent Daniels,1,GWS Giants,12,12,17,17,29,29,5,5,0,0,11,11,0,1,0,0,3,3,129,129
13,22,Steele Sidebottom,1,Collingwood,22,22,12,12,34,34,11,11,0,0,2,2,0,1,0,0,0,0,128,128
14,44,Tom Stewart,1,Geelong,16,16,10,10,26,26,11,11,0,0,5,5,2,0,0,0,2,2,125,125
15,24,Trent Rivers,1,Melbourne,20,20,9,9,29,29,9,9,0,0,5,5,1,1,0,0,0,0,123,123
16,10,Colby McKercher,1,North Melbourne,27,27,10,10,37,37,6,6,0,0,1,1,0,0,0,0,0,0,123,123
17,1,Adam Treloar,1,Western Bulldogs,19,19,19,19,38,38,2,2,0,0,7,7,1,3,0,0,0,0,121,121
18,7,Zach Merrett,1,Essendon,19,19,11,11,30,30,6,6,0,0,4,4,0,0,1,1,1,7,120,120
19,23,Jesse Hogan,1,GWS Giants,11,11,4,4,15,15,9,9,0,0,5,5,1,0,5,5,0,30,119,119
20,13,Dylan Moore,1,Hawthorn,18,18,8,8,26,26,4,4,0,0,6,6,0,0,2,2,1,13,119,119
