Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,3,Caleb Serong,1,Fremantle,21,21,25,25,46,46,6,6,0,0,7,7,2,0,0,0,0,0,161,161
2,12,Tom Green,1,GWS Giants,13,13,24,24,37,37,5,5,0,0,9,9,0,0,1,1,1,7,145,145
3,14,Jack Billings,1,Melbourne,20,20,3,3,23,23,15,15,0,0,5,5,2,0,1,1,1,7,140,140
4,11,Max Gawn,1,Melbourne,16,16,10,10,26,26,9,9,35,35,1,1,2,0,0,0,1,1,137,137
5,16,Archie Perkins,1,Essendon,14,14,10,10,24,24,4,4,0,0,12,12,2,2,2,2,0,12,130,130
6,5,Josh Dunkley,1,Brisbane Lions,13,13,13,13,26,26,9,9,0,0,8,8,2,0,0,0,0,0,126,126
7,15,Noah Anderson,1,Gold Coast,20,20,15,15,35,35,3,3,0,0,5,5,1,0,1,1,0,6,126,126
8,5,Isaac Heeney,1,Sydney,15,15,14,14,29,29,7,7,0,0,4,4,1,0,2,2,2,14,125,125
9,7,Zach Merrett,1,Essendon,18,18,13,13,31,31,8,8,0,0,5,5,1,0,0,0,0,0,125,125
10,13,Luke Ryan,1,Fremantle,24,24,9,9,33,33,10,10,0,0,1,1,1,0,0,0,0,0,125,125
11,35,Nick Daicos,1,Collingwood,17,17,20,20,37,37,6,6,0,0,2,2,2,1,1,1,1,7,123,123
12,38,Tristan Xerri,1,North Melbourne,5,5,13,13,18,18,5,5,19,19,9,9,4,0,1,1,0,6,121,121
13,23,Jesse Hogan,1,GWS Giants,15,15,3,3,18,18,8,8,0,0,1,1,4,0,6,6,2,38,121,121
14,5,Christian Petracca,1,Melbourne,17,17,12,12,29,29,10,10,0,0,2,2,1,0,1,1,1,7,121,121
15,3,Harry Sheezel,1,North Melbourne,23,23,9,9,32,32,9,9,0,0,1,1,2,0,0,0,0,0,120,120
16,1,Steven May,1,Melbourne,21,21,4,4,25,25,13,13,0,0,3,3,0,1,0,0,0,0,119,119
17,29,Rory Laird,1,Adelaide,12,12,18,18,30,30,2,2,0,0,10,10,2,1,0,0,2,2,119,119
18,3,Sam Flanders,1,Gold Coast,21,21,14,14,35,35,4,4,0,0,4,4,0,0,0,0,0,0,119,119
19,19,Rowan Marshall,1,St Kilda,14,14,5,5,19,19,6,6,36,36,2,2,3,0,0,0,1,1,118,118
20,8,Andrew Brayshaw,1,Fremantle,19,19,13,13,32,32,8,8,0,0,5,5,0,3,0,0,0,0,118,118
21,3,Joe Daniher,1,Brisbane Lions,17,17,3,3,20,20,12,12,2,2,0,0,2,0,3,3,2,20,117,117
22,12,Will Setterfield,1,Essendon,15,15,9,9,24,24,6,6,0,0,8,8,1,0,0,0,1,1,115,115
23,18,Matthew Rowell,1,Gold Coast,16,16,13,13,29,29,1,1,0,0,10,10,4,4,1,1,0,6,115,115
24,13,Clayton Oliver,1,Melbourne,21,21,14,14,35,35,5,5,0,0,2,2,2,1,0,0,1,1,114,114
25,44,Tim English,1,Western Bulldogs,14,14,9,9,23,23,5,5,21,21,4,4,2,1,0,0,2,2,113,113
26,11,James Aish,1,Fremantle,19,19,7,7,26,26,9,9,0,0,3,3,2,0,0,0,1,1,113,113
27,5,Matt Crouch,1,Adelaide,13,13,20,20,33,33,3,3,0,0,6,6,1,0,0,0,0,0,113,113
28,1,Chad Warner,1,Sydney,15,15,12,12,27,27,4,4,0,0,4,4,0,1,3,3,0,18,112,112
29,1,Connor Rozee,1,Port Adelaide,17,17,10,10,27,27,10,10,0,0,0,0,1,1,2,2,0,12,111,111
30,21,Errol Gulden,1,Sydney,21,21,9,9,30,30,8,8,0,0,2,2,0,1,0,0,1,1,111,111
31,31,Harris Andrews,1,Brisbane Lions,14,14,7,7,21,21,12,12,0,0,4,4,1,0,0,0,0,0,109,109
32,1,Andrew McGrath,1,Essendon,19,19,14,14,33,33,5,5,0,0,2,2,1,0,0,0,0,0,109,109
33,21,Noah Balta,1,Richmond,19,19,4,4,23,23,9,9,4,4,0,0,0,2,3,3,0,18,108,108
34,1,Nick Vlastuin,1,Richmond,17,17,7,7,24,24,6,6,0,0,6,6,4,1,0,0,0,0,108,108
35,9,Jack Steele,1,St Kilda,14,14,11,11,25,25,7,7,0,0,6,6,2,1,0,0,0,0,108,108
36,12,Tom De Koning,1,Carlton,8,8,7,7,15,15,4,4,28,28,6,6,3,2,1,1,2,8,107,107
37,24,Nic Newman,1,Carlton,19,19,5,5,24,24,5,5,0,0,7,7,3,2,0,0,0,0,107,107
38,9,Zak Butters,1,Port Adelaide,16,16,11,11,27,27,8,8,0,0,2,2,2,1,1,1,0,6,107,107
39,4,Brayden Maynard,1,Collingwood,20,20,2,2,22,22,6,6,0,0,5,5,3,0,0,0,0,0,105,105
40,35,Patrick Dangerfield,1,Geelong,16,16,9,9,25,25,2,2,0,0,6,6,2,0,1,1,1,7,105,105
41,8,James Rowbottom,1,Sydney,7,7,9,9,16,16,1,1,0,0,13,13,3,0,1,1,1,7,104,104
