Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,21,Errol Gulden,1,Sydney,30,30,11,11,41,41,8,8,0,0,3,3,4,1,0,0,2,2,151,151
2,19,Rowan Marshall,1,St Kilda,19,19,1,1,20,20,1,1,48,48,9,9,5,1,0,0,2,2,150,150
3,14,Darcy Cameron,1,Collingwood,11,11,7,7,18,18,6,6,58,58,5,5,4,2,1,1,0,6,147,147
4,37,Nic Martin,1,Essendon,21,21,5,5,26,26,9,9,0,0,4,4,3,0,4,4,0,24,143,143
5,32,Kieren Briggs,1,GWS Giants,8,8,7,7,15,15,3,3,32,32,14,14,2,1,1,1,0,6,140,140
6,29,Rory Laird,1,Adelaide,21,21,10,10,31,31,2,2,0,0,13,13,1,3,0,0,0,0,133,133
7,9,Lachie Neale,1,Brisbane Lions,19,19,15,15,34,34,2,2,0,0,9,9,0,3,2,2,1,13,133,133
8,9,Zak Butters,1,Port Adelaide,21,21,14,14,35,35,12,12,0,0,1,1,2,2,1,1,0,6,133,133
9,6,Lachie Whitfield,1,GWS Giants,21,21,14,14,35,35,12,12,0,0,2,2,0,1,0,0,0,0,132,132
10,9,Patrick Cripps,1,Carlton,15,15,13,13,28,28,5,5,0,0,8,8,2,2,2,2,1,13,127,127
11,24,Trent Rivers,1,Melbourne,15,15,14,14,29,29,8,8,0,0,7,7,0,0,0,0,1,1,126,126
12,6,Hugh McCluggage,1,Brisbane Lions,19,19,13,13,32,32,6,6,0,0,6,6,0,1,0,0,2,2,124,124
13,12,Tom Green,1,GWS Giants,15,15,22,22,37,37,3,3,0,0,7,7,0,1,0,0,0,0,123,123
14,5,Dan Houston,1,Port Adelaide,22,22,12,12,34,34,9,9,0,0,1,1,1,0,0,0,0,0,122,122
15,6,Jye Caldwell,1,Essendon,13,13,10,10,23,23,3,3,0,0,12,12,4,0,0,0,0,0,120,120
16,25,Toby Nankervis,1,Richmond,12,12,10,10,22,22,4,4,36,36,4,4,2,2,0,0,1,1,117,117
17,32,Gryan Miers,1,Geelong,15,15,12,12,27,27,7,7,0,0,4,4,3,0,1,1,1,7,116,116
18,1,Chad Warner,1,Sydney,19,19,12,12,31,31,6,6,0,0,2,2,0,2,2,2,3,15,116,116
19,12,Jordan Dawson,1,Adelaide,23,23,3,3,26,26,2,2,0,0,9,9,3,2,0,0,0,0,114,114
20,9,Max Holmes,1,Geelong,20,20,7,7,27,27,9,9,0,0,3,3,1,0,0,0,0,0,114,114
21,44,Tom Stewart,1,Geelong,20,20,6,6,26,26,9,9,0,0,4,4,1,1,0,0,0,0,113,113
22,15,Noah Anderson,1,Gold Coast,16,16,13,13,29,29,3,3,0,0,5,5,2,0,1,1,1,7,112,112
23,44,Tim English,1,Western Bulldogs,6,6,13,13,19,19,6,6,32,32,5,5,0,1,0,0,0,0,111,111
24,9,Luke Jackson,1,Fremantle,6,6,14,14,20,20,2,2,31,31,6,6,2,2,1,1,2,8,111,111
25,14,Jordan Ridley,1,Essendon,23,23,6,6,29,29,10,10,0,0,0,0,0,0,0,0,0,0,111,111
26,43,Reilly O'Brien,1,Adelaide,10,10,3,3,13,13,1,1,51,51,7,7,1,3,0,0,0,0,110,110
27,4,Brodie Grundy,1,Sydney,8,8,12,12,20,20,4,4,35,35,6,6,0,5,1,1,0,6,110,110
28,2,Ben Keays,1,Adelaide,13,13,11,11,24,24,2,2,0,0,8,8,2,0,1,1,3,9,110,110
29,1,Liam Ryan,1,West Coast,17,17,4,4,21,21,9,9,0,0,2,2,1,0,2,2,1,13,108,108
30,10,Travis Boak,1,Port Adelaide,10,10,15,15,25,25,9,9,0,0,4,4,0,1,1,1,2,8,108,108
31,9,Luke Davies-Uniacke,1,North Melbourne,13,13,11,11,24,24,5,5,0,0,7,7,2,0,0,0,0,0,106,106
32,12,Jack Bowes,1,Geelong,17,17,7,7,24,24,9,9,0,0,2,2,0,0,1,1,0,6,106,106
33,5,Josh Dunkley,1,Brisbane Lions,14,14,12,12,26,26,4,4,0,0,5,5,2,0,1,1,0,6,106,106
34,7,Nasiah Wanganeen-Milera,1,St Kilda,23,23,5,5,28,28,7,7,0,0,2,2,1,1,0,0,0,0,106,106
35,17,Lloyd Meek,1,Hawthorn,6,6,9,9,15,15,3,3,51,51,4,4,1,3,0,0,1,1,105,105
36,9,Jack Steele,1,St Kilda,13,13,6,6,19,19,5,5,0,0,10,10,2,1,0,0,0,0,105,105
37,17,Lawson Humphries,1,Geelong,19,19,4,4,23,23,13,13,0,0,1,1,0,1,0,0,0,0,105,105
38,6,Jordan Clark,1,Fremantle,17,17,3,3,20,20,9,9,0,0,5,5,3,1,0,0,0,0,104,104
39,21,Aliir Aliir,1,Port Adelaide,17,17,5,5,22,22,14,14,0,0,1,1,0,1,0,0,0,0,104,104
40,1,Connor Rozee,1,Port Adelaide,16,16,13,13,29,29,4,4,0,0,5,5,1,1,0,0,0,0,104,104
41,11,Tom Papley,1,Sydney,15,15,4,4,19,19,5,5,0,0,2,2,1,0,4,4,2,26,103,103
42,31,Bailey Dale,1,Western Bulldogs,21,21,10,10,31,31,4,4,0,0,1,1,0,1,1,1,1,7,103,103
43,7,Josh Daicos,1,Collingwood,13,13,10,10,23,23,6,6,0,0,6,6,1,0,0,0,0,0,102,102
44,6,Kane Farrell,1,Port Adelaide,23,23,4,4,27,27,8,8,0,0,1,1,0,1,0,0,0,0,102,102
45,9,John Noble,1,Collingwood,22,22,6,6,28,28,5,5,0,0,3,3,0,1,0,0,0,0,102,102
46,9,Dylan Shiel,1,Essendon,16,16,12,12,28,28,3,3,0,0,6,6,0,1,0,0,0,0,102,102
47,28,Willem Drew,1,Port Adelaide,14,14,6,6,20,20,6,6,0,0,7,7,1,0,0,0,0,0,101,101
48,4,Marcus Bontempelli,1,Western Bulldogs,11,11,9,9,20,20,2,2,0,0,9,9,3,1,1,1,1,7,100,100
49,11,Tim Kelly,1,West Coast,17,17,12,12,29,29,2,2,0,0,3,3,0,0,1,1,1,7,100,100
50,13,Clayton Oliver,1,Melbourne,15,15,10,10,25,25,8,8,0,0,3,3,0,1,0,0,1,1,99,99
Totals,,,50,,810,16.2,467,9.3,1277,25.5,294,5.9,374,7.5,253,5.1,64,52,30,0.6,30,210,5750,115
51,15,Ed Langdon,1,Melbourne,15,15,16,16,31,31,8,8,0,0,0,0,1,3,1,1,0,6,99,99
52,46,Oscar McInerney,1,Brisbane Lions,12,12,4,4,16,16,2,2,43,43,2,2,0,1,0,0,0,0,98,98
53,27,Wil Powell,1,Gold Coast,18,18,3,3,21,21,9,9,0,0,1,1,1,0,1,1,0,6,98,98
