Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,15,Dayne Zorko,1,Brisbane Lions,23,23,3,3,26,26,10,10,0,0,6,6,1,1,0,0,0,0,127,127
2,5,Josh Dunkley,1,Brisbane Lions,12,12,9,9,21,21,8,8,0,0,11,11,2,0,0,0,0,0,124,124
3,9,Lachie Neale,1,Brisbane Lions,15,15,20,20,35,35,8,8,0,0,3,3,1,1,0,0,0,0,119,119
4,8,Will Ashcroft,1,Brisbane Lions,14,14,16,16,30,30,5,5,0,0,3,3,2,0,1,1,0,6,109,109
5,4,Brodie Grundy,1,Sydney,8,8,14,14,22,22,3,3,36,36,2,2,2,2,0,0,0,0,101,101
6,7,Jarrod Berry,1,Brisbane Lions,16,16,4,4,20,20,10,10,0,0,3,3,2,2,1,1,0,6,100,100
7,1,Kai Lohmann,1,Brisbane Lions,8,8,7,7,15,15,5,5,0,0,4,4,0,0,4,4,0,24,93,93
8,6,Hugh McCluggage,1,Brisbane Lions,12,12,9,9,21,21,5,5,0,0,6,6,0,2,1,1,0,6,93,93
9,21,Errol Gulden,1,Sydney,18,18,6,6,24,24,5,5,0,0,4,4,1,2,0,0,0,0,92,92
10,4,Callum Ah Chee,1,Brisbane Lions,10,10,4,4,14,14,6,6,0,0,2,2,1,0,4,4,1,25,90,90
11,35,Ryan Lester,1,Brisbane Lions,13,13,2,2,15,15,11,11,0,0,4,4,0,1,0,0,0,0,89,89
12,42,Robbie Fox,1,Sydney,13,13,8,8,21,21,6,6,0,0,3,3,0,1,1,1,0,6,88,88
13,37,Brandon Starcevich,1,Brisbane Lions,14,14,2,2,16,16,8,8,0,0,4,4,0,0,0,0,0,0,86,86
14,1,Chad Warner,1,Sydney,18,18,3,3,21,21,5,5,0,0,1,1,0,0,1,1,1,7,86,86
15,8,James Rowbottom,1,Sydney,13,13,5,5,18,18,3,3,0,0,4,4,4,0,1,1,1,7,85,85
16,26,Luke Parker,1,Sydney,10,10,4,4,14,14,2,2,0,0,6,6,0,1,3,3,0,18,83,83
17,3,Joe Daniher,1,Brisbane Lions,15,15,1,1,16,16,8,8,1,1,1,1,0,3,2,2,4,16,83,83
18,44,Jake Lloyd,1,Sydney,12,12,7,7,19,19,7,7,0,0,2,2,1,0,0,0,0,0,80,80
19,23,Charlie Cameron,1,Brisbane Lions,13,13,1,1,14,14,6,6,0,0,2,2,3,0,1,1,2,8,78,78
