Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,38,Tristan Xerri,1,North Melbourne,9,9,11,11,20,20,6,6,45,45,10,10,0,1,0,0,1,1,150,150
2,24,Nic Newman,1,Carlton,24,24,10,10,34,34,12,12,0,0,5,5,0,1,0,0,0,0,145,145
3,28,Jarrod Witts,1,Gold Coast,9,9,12,12,21,21,6,6,53,53,4,4,2,2,1,1,1,7,141,141
4,6,Lachie Whitfield,1,GWS Giants,24,24,13,13,37,37,10,10,0,0,2,2,1,0,0,0,0,0,137,137
5,11,Max Gawn,1,Melbourne,10,10,13,13,23,23,9,9,44,44,2,2,1,2,1,1,0,6,136,136
6,4,Marcus Bontempelli,1,Western Bulldogs,17,17,16,16,33,33,7,7,0,0,5,5,1,1,2,2,1,13,135,135
7,35,Jack Sinclair,1,St Kilda,21,21,9,9,30,30,6,6,0,0,8,8,1,0,0,0,0,0,132,132
8,19,Rowan Marshall,1,St Kilda,13,13,4,4,17,17,9,9,18,18,7,7,2,1,2,2,0,12,131,131
9,18,Sam Walsh,1,Carlton,18,18,12,12,30,30,10,10,0,0,6,6,1,1,0,0,0,0,130,130
10,9,Zak Butters,1,Port Adelaide,19,19,11,11,30,30,5,5,0,0,8,8,1,0,0,0,1,1,128,128
11,5,Dan Houston,1,Port Adelaide,18,18,6,6,24,24,12,12,0,0,3,3,0,0,2,2,0,12,126,126
12,1,Connor Rozee,1,Port Adelaide,20,20,7,7,27,27,8,8,0,0,5,5,0,0,1,1,2,8,126,126
13,10,Karl Amon,1,Hawthorn,20,20,10,10,30,30,9,9,0,0,4,4,1,0,0,0,0,0,124,124
14,25,Toby Nankervis,1,Richmond,3,3,13,13,16,16,3,3,35,35,11,11,0,0,0,0,0,0,123,123
15,9,Luke Davies-Uniacke,1,North Melbourne,14,14,19,19,33,33,6,6,0,0,3,3,1,2,3,3,0,18,123,123
16,27,Jack Darling,1,West Coast,14,14,8,8,22,22,9,9,0,0,7,7,1,0,1,1,1,7,121,121
17,13,Luke Ryan,1,Fremantle,21,21,9,9,30,30,9,9,0,0,3,3,1,0,0,0,0,0,121,121
18,5,Jeremy Cameron,1,Geelong,15,15,2,2,17,17,8,8,0,0,3,3,1,1,6,6,1,37,120,120
19,43,Reilly O'Brien,1,Adelaide,6,6,9,9,15,15,1,1,53,53,7,7,1,1,0,0,0,0,118,118
20,7,Zach Merrett,1,Essendon,15,15,14,14,29,29,6,6,0,0,7,7,2,1,0,0,0,0,118,118
21,18,Matthew Rowell,1,Gold Coast,15,15,15,15,30,30,1,1,0,0,9,9,6,1,0,0,0,0,117,117
22,28,Willem Drew,1,Port Adelaide,20,20,12,12,32,32,6,6,0,0,6,6,3,4,0,0,0,0,117,117
23,24,Tom Powell,1,North Melbourne,12,12,9,9,21,21,8,8,0,0,8,8,0,0,1,1,0,6,116,116
24,1,Adam Treloar,1,Western Bulldogs,16,16,14,14,30,30,4,4,0,0,4,4,0,0,2,2,0,12,116,116
25,6,Jye Caldwell,1,Essendon,16,16,16,16,32,32,5,5,0,0,6,6,2,2,0,0,1,1,116,116
26,14,Liam Duggan,1,West Coast,16,16,6,6,22,22,5,5,0,0,8,8,1,0,1,1,0,6,114,114
27,8,Bailey Scott,1,North Melbourne,18,18,10,10,28,28,7,7,0,0,3,3,1,0,1,1,0,6,114,114
28,31,Bailey Dale,1,Western Bulldogs,21,21,13,13,34,34,8,8,0,0,0,0,1,0,0,0,0,0,114,114
29,25,Caleb Poulter,1,Western Bulldogs,14,14,9,9,23,23,6,6,0,0,7,7,0,0,1,1,0,6,112,112
30,14,Tim Taranto,1,Richmond,11,11,16,16,27,27,5,5,0,0,8,8,1,1,0,0,1,1,111,111
31,23,Jesse Hogan,1,GWS Giants,13,13,4,4,17,17,11,11,0,0,1,1,0,2,5,5,2,32,110,110
32,6,Hugh McCluggage,1,Brisbane Lions,14,14,14,14,28,28,3,3,0,0,6,6,1,0,1,1,0,6,110,110
33,29,George Hewett,1,Carlton,20,20,12,12,32,32,5,5,0,0,3,3,5,2,0,0,0,0,110,110
34,17,Lloyd Meek,1,Hawthorn,8,8,8,8,16,16,4,4,42,42,4,4,2,2,0,0,3,3,109,109
35,9,Lachie Neale,1,Brisbane Lions,17,17,16,16,33,33,6,6,0,0,2,2,0,0,0,0,0,0,109,109
36,8,Andrew Brayshaw,1,Fremantle,12,12,21,21,33,33,6,6,0,0,5,5,2,3,0,0,0,0,109,109
37,9,Jack Steele,1,St Kilda,10,10,13,13,23,23,9,9,0,0,7,7,0,1,0,0,0,0,108,108
38,44,Tom Stewart,1,Geelong,16,16,12,12,28,28,5,5,0,0,5,5,0,0,0,0,0,0,107,107
39,9,Patrick Cripps,1,Carlton,15,15,15,15,30,30,4,4,0,0,4,4,2,2,1,1,2,8,107,107
40,3,Darcy Parish,1,Essendon,18,18,16,16,34,34,6,6,0,0,2,2,1,2,0,0,0,0,107,107
41,26,Hayden Young,1,Fremantle,14,14,13,13,27,27,1,1,0,0,7,7,0,2,2,2,1,13,106,106
42,16,Oliver Wines,1,Port Adelaide,14,14,17,17,31,31,5,5,0,0,3,3,0,1,1,1,0,6,106,106
43,15,Dayne Zorko,1,Brisbane Lions,21,21,5,5,26,26,8,8,0,0,2,2,0,0,0,0,0,0,105,105
44,12,Jordan Dawson,1,Adelaide,15,15,12,12,27,27,6,6,0,0,5,5,0,1,0,0,0,0,104,104
45,29,Rory Laird,1,Adelaide,10,10,19,19,29,29,6,6,0,0,5,5,1,1,0,0,0,0,104,104
46,4,Aidan Corr,1,North Melbourne,14,14,9,9,23,23,13,13,0,0,1,1,0,0,0,0,0,0,103,103
47,3,Jai Newcombe,1,Hawthorn,13,13,17,17,30,30,3,3,0,0,6,6,0,1,0,0,0,0,103,103
48,14,Darcy Cameron,1,Collingwood,12,12,3,3,15,15,6,6,40,40,2,2,3,3,0,0,0,0,102,102
49,2,Jamarra Ugle-Hagan,1,Western Bulldogs,14,14,2,2,16,16,8,8,0,0,3,3,2,0,2,2,6,18,102,102
50,15,Blake Hardwick,1,Hawthorn,14,14,5,5,19,19,8,8,0,0,6,6,2,0,0,0,0,0,102,102
Totals,,,50,,753,15.1,561,11.2,1314,26.3,329,6.6,330,6.6,248,5,54,45,37,0.7,24,246,5855,117.1
51,32,Will Hoskin-Elliott,1,Collingwood,18,18,2,2,20,20,10,10,0,0,0,0,0,0,2,2,2,14,102,102
52,4,Tanner Bruhn,1,Geelong,14,14,9,9,23,23,2,2,0,0,6,6,6,0,1,1,0,6,102,102
53,8,Josh Rachele,1,Adelaide,11,11,3,3,14,14,7,7,0,0,5,5,1,0,3,3,2,20,101,101
54,21,Errol Gulden,1,Sydney,21,21,4,4,25,25,4,4,0,0,5,5,1,1,0,0,0,0,101,101
55,24,Trent Rivers,1,Melbourne,11,11,14,14,25,25,4,4,0,0,5,5,2,0,1,1,0,6,101,101
56,2,Ben Keays,1,Adelaide,12,12,6,6,18,18,3,3,0,0,9,9,1,0,1,1,0,6,100,100
