"","venue_name","match_id","match_home_team","match_away_team","match_date","match_local_time","match_attendance","match_round","match_home_team_goals","match_home_team_behinds","match_home_team_score","match_away_team_goals","match_away_team_behinds","match_away_team_score","match_margin","match_winner","match_weather_temp_c","match_weather_type","player_id","player_first_name","player_last_name","player_height_cm","player_weight_kg","player_is_retired","player_team","guernsey_number","kicks","marks","handballs","disposals","effective_disposals","disposal_efficiency_percentage","goals","behinds","hitouts","tackles","rebounds","inside_fifties","clearances","clangers","free_kicks_for","free_kicks_against","brownlow_votes","contested_possessions","uncontested_possessions","contested_marks","marks_inside_fifty","one_percenters","bounces","goal_assists","time_on_ground_percentage","afl_fantasy_score","supercoach_score","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","tackles_inside_fifty","contest_def_losses","contest_def_one_on_ones","contest_off_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","hitouts_to_advantage","hitout_win_percentage","intercept_marks","marks_on_lead","pressure_acts","rating_points","ruck_contests","score_launches","shots_at_goal","spoils","subbed","player_position","date"
"11","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12419,"Tom","Papley",177,0,FALSE,"Sydney",11,6,3,7,13,9,69,1,1,0,0,0,1,1,6,2,3,0,7,7,0,1,2,0,2,81,41,NA,0,1,6,138,4,0,0,0,0,3,0,2,3,4,7,0,0,0,0,7,7.3,0,0,3,1,NA,"HFFR",2025-03-07
"12","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12477,"Blake","Hardwick",183,0,FALSE,"Hawthorn",15,6,3,3,9,6,67,0,0,0,4,1,1,0,1,2,1,0,6,6,0,0,2,0,0,91,48,NA,0,0,1,150,3,1,3,0,0,0,0,1,4,2,4,0,0,0,1,13,6,0,0,0,1,NA,"FB",2025-03-07
"13","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12491,"Mabior","Chol",200,0,FALSE,"Hawthorn",18,4,3,5,9,6,67,1,0,2,2,0,0,0,1,0,1,0,7,3,1,1,2,0,0,90,44,NA,0,0,3,50,0,1,1,0,0,2,0,1,3,1,5,1,50,0,0,14,7.2,4,1,1,1,NA,"FF",2025-03-07
"14","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12501,"Oliver","Florent",184,0,FALSE,"Sydney",13,9,3,7,16,10,63,0,2,0,2,1,1,0,5,2,2,0,3,12,0,0,5,1,0,77,56,NA,0,0,4,338,4,3,0,0,1,0,0,6,4,0,1,0,0,0,0,8,2.4,0,1,2,4,NA,"INT",2025-03-07
"15","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12516,"Will","Hayward",186,0,FALSE,"Sydney",9,4,0,1,5,4,80,1,0,0,4,0,0,0,0,1,0,0,2,3,0,0,1,0,0,79,37,NA,0,0,2,83,0,0,2,0,0,1,0,5,3,1,1,0,0,0,0,13,5,0,0,1,1,NA,"FPL",2025-03-07
"16","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12533,"Lewis","Melican",194,0,FALSE,"Sydney",43,8,6,3,11,9,82,0,0,0,1,2,0,0,2,0,0,0,4,7,0,0,12,0,0,89,52,NA,0,0,0,75,2,5,0,1,1,0,0,6,6,0,4,0,0,2,0,10,12.7,0,0,0,12,NA,"FB",2025-03-07
"17","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12565,"Josh","Battle",193,0,FALSE,"Hawthorn",24,11,6,2,13,10,77,0,1,0,1,3,3,0,2,0,1,0,2,10,1,0,3,0,0,88,57,NA,0,0,3,374,3,1,0,0,1,1,1,5,9,0,1,0,0,0,0,6,2.4,0,0,1,2,NA,"HBFR",2025-03-07
"18","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12571,"Jack","Scrimshaw",194,0,FALSE,"Hawthorn",14,12,8,6,18,17,94,0,0,0,3,1,1,0,0,1,0,0,5,12,2,0,1,0,0,77,85,NA,0,0,6,113,1,9,0,0,3,0,0,4,11,0,2,0,0,5,0,7,14.2,0,3,0,0,NA,"INT",2025-03-07
"19","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12585,"Harry","Morrison",184,0,FALSE,"Hawthorn",1,11,7,4,15,14,93,0,0,0,2,2,3,1,1,0,0,0,3,11,0,1,1,0,0,79,70,NA,0,1,2,316,4,4,0,0,0,0,0,3,10,0,3,0,0,2,1,8,8,0,1,0,1,NA,"CHF",2025-03-07
"20","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12626,"James","Worpel",186,0,FALSE,"Hawthorn",5,7,2,4,11,5,46,0,1,0,3,1,4,5,2,1,0,0,6,5,0,1,2,1,2,44,49,NA,3,2,6,268,1,1,1,0,0,1,0,4,2,0,4,0,0,1,0,11,6.7,0,2,1,1,NA,"RR",2025-03-07
