Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,3,Darcy Parish,1,Essendon,25,25,19,19,44,44,8,8,0,0,5,5,1,0,0,0,2,2,160,160
2,9,Jack Steele,1,St Kilda,18,18,13,13,31,31,5,5,0,0,9,9,3,1,1,1,0,6,137,137
3,5,Brad Crouch,1,St Kilda,14,14,24,24,38,38,5,5,0,0,7,7,1,1,0,0,0,0,131,131
4,29,Rory Laird,1,Adelaide,15,15,25,25,40,40,6,6,0,0,5,5,1,1,0,0,0,0,131,131
5,18,Sam Walsh,1,Carlton,18,18,12,12,30,30,11,11,0,0,4,4,3,3,1,1,0,6,127,127
6,4,Marcus Bontempelli,1,Western Bulldogs,18,18,9,9,27,27,6,6,0,0,5,5,4,1,2,2,2,14,125,125
7,4,Dom Sheed,1,West Coast,20,20,12,12,32,32,8,8,0,0,2,2,1,0,1,1,0,6,123,123
8,11,Paul Seedsman,1,Adelaide,18,18,9,9,27,27,7,7,0,0,4,4,0,0,2,2,0,12,121,121
9,8,Jack Redden,1,West Coast,11,11,11,11,22,22,7,7,0,0,10,10,1,1,1,1,0,6,120,120
10,5,Christian Petracca,1,Melbourne,17,17,9,9,26,26,4,4,0,0,6,6,4,1,2,2,1,13,119,119
11,15,Dayne Zorko,1,Brisbane Lions,13,13,9,9,22,22,6,6,0,0,10,10,2,2,1,1,1,7,118,118
12,22,Jack Higgins,1,St Kilda,16,16,7,7,23,23,12,12,0,0,2,2,1,1,1,1,6,12,116,116
13,2,Ben Keays,1,Adelaide,17,17,16,16,33,33,3,3,0,0,6,6,1,1,0,0,1,1,115,115
14,4,Kyle Langford,1,Essendon,18,18,10,10,28,28,10,10,0,0,1,1,0,0,1,1,0,6,114,114
15,11,Jackson Macrae,1,Western Bulldogs,16,16,19,19,35,35,6,6,0,0,2,2,2,0,0,0,0,0,114,114
16,25,Jack Crisp,1,Collingwood,21,21,10,10,31,31,9,9,0,0,3,3,0,3,0,0,0,0,113,113
17,7,Zach Merrett,1,Essendon,13,13,19,19,32,32,5,5,0,0,7,7,1,3,0,0,0,0,112,112
18,43,Reilly O'Brien,1,Adelaide,10,10,9,9,19,19,7,7,27,27,4,4,2,1,0,0,0,0,111,111
19,16,David Mundy,1,Fremantle,13,13,17,17,30,30,7,7,0,0,4,4,0,0,0,0,1,1,111,111
20,17,Jarryd Lyons,1,Brisbane Lions,18,18,10,10,28,28,1,1,0,0,8,8,4,1,0,0,0,0,110,110
21,4,Dustin Martin,1,Richmond,16,16,11,11,27,27,4,4,0,0,3,3,0,1,3,3,0,18,109,109
22,11,Max Gawn,1,Melbourne,13,13,4,4,17,17,3,3,31,31,4,4,2,1,1,1,0,6,108,108
23,25,Shannon Hurn,1,West Coast,21,21,6,6,27,27,9,9,0,0,1,1,1,0,0,0,0,0,107,107
24,5,Jamie Elliott,1,Collingwood,10,10,4,4,14,14,6,6,0,0,3,3,1,0,6,6,0,36,105,105
25,33,Aaron Naughton,1,Western Bulldogs,13,13,6,6,19,19,13,13,0,0,1,1,0,0,1,1,5,11,105,105
26,27,Caleb Poulter,1,Collingwood,16,16,4,4,20,20,10,10,0,0,3,3,0,0,1,1,1,7,105,105
27,1,Liam Ryan,1,West Coast,15,15,2,2,17,17,9,9,0,0,1,1,0,0,4,4,0,24,104,104
28,11,Jason Castagna,1,Richmond,10,10,8,8,18,18,12,12,0,0,1,1,0,0,3,3,0,18,104,104
29,10,Scott Pendlebury,1,Collingwood,11,11,10,10,21,21,5,5,0,0,9,9,0,0,0,0,0,0,104,104
30,34,Jack Graham,1,Richmond,12,12,10,10,22,22,5,5,0,0,5,5,1,0,2,2,0,12,104,104
31,13,Nikolas Cox,1,Essendon,14,14,9,9,23,23,8,8,2,2,2,2,3,0,1,1,1,7,104,104
32,13,Luke Ryan,1,Fremantle,23,23,2,2,25,25,10,10,0,0,1,1,0,1,0,0,0,0,104,104
33,13,Taylor Walker,1,Adelaide,13,13,9,9,22,22,6,6,6,6,1,1,1,1,2,2,6,18,101,101
34,33,Brodie Smith,1,Adelaide,21,21,5,5,26,26,8,8,0,0,1,1,0,0,0,0,0,0,101,101
35,8,Andrew Brayshaw,1,Fremantle,18,18,9,9,27,27,4,4,0,0,3,3,1,1,1,1,1,7,101,101
36,44,Jake Lloyd,1,Sydney,18,18,9,9,27,27,6,6,0,0,3,3,1,1,0,0,0,0,100,100
37,33,Zac Bailey,1,Brisbane Lions,16,16,3,3,19,19,5,5,0,0,1,1,2,0,4,4,0,24,99,99
38,7,Harry Cunningham,1,Sydney,14,14,11,11,25,25,9,9,0,0,2,2,0,0,0,0,0,0,99,99
39,7,Lachlan Hunter,1,Western Bulldogs,18,18,9,9,27,27,4,4,0,0,2,2,1,0,1,1,0,6,99,99
40,3,Andrew Gaff,1,West Coast,17,17,13,13,30,30,5,5,0,0,0,0,1,0,1,1,0,6,99,99
41,31,Harris Andrews,1,Brisbane Lions,14,14,7,7,21,21,14,14,0,0,0,0,0,0,0,0,0,0,98,98
42,15,Sam Docherty,1,Carlton,19,19,3,3,22,22,9,9,0,0,2,2,0,0,0,0,0,0,98,98
43,41,Mabior Chol,1,Richmond,13,13,6,6,19,19,6,6,19,19,2,2,0,0,0,0,1,1,97,97
44,3,Dion Prestia,1,Richmond,12,12,14,14,26,26,6,6,0,0,3,3,2,0,0,0,1,1,97,97
45,26,Luke Parker,1,Sydney,14,14,13,13,27,27,4,4,0,0,4,4,0,2,1,1,1,7,97,97
