Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,29,Cameron Guthrie,1,Geelong,20,20,16,16,36,36,11,11,0,0,4,4,0,1,0,0,1,1,139,139
2,9,Jack Steele,1,St Kilda,18,18,10,10,28,28,7,7,0,0,8,8,1,1,2,2,1,13,138,138
3,15,Jack Billings,1,St Kilda,20,20,5,5,25,25,13,13,0,0,3,3,2,0,2,2,2,14,137,137
4,3,Andrew Gaff,1,West Coast,25,25,13,13,38,38,12,12,0,0,0,0,0,0,0,0,0,0,137,137
5,22,Mitchell Duncan,1,Geelong,15,15,15,15,30,30,10,10,0,0,7,7,2,0,0,0,0,0,135,135
6,4,Dom Sheed,1,West Coast,21,21,14,14,35,35,10,10,0,0,4,4,1,1,0,0,0,0,135,135
7,30,Darcy Moore,1,Collingwood,19,19,9,9,28,28,19,19,0,0,2,2,0,2,0,0,0,0,134,134
8,14,Callum Mills,1,Sydney,14,14,19,19,33,33,2,2,0,0,10,10,1,0,1,1,0,6,133,133
9,43,Aaron Hall,1,North Melbourne,30,30,7,7,37,37,8,8,0,0,1,1,0,0,0,0,1,1,133,133
10,10,Daniel Rich,1,Brisbane Lions,28,28,3,3,31,31,10,10,0,0,3,3,1,1,0,0,1,1,131,131
11,4,Marcus Bontempelli,1,Western Bulldogs,18,18,14,14,32,32,6,6,0,0,8,8,2,3,1,1,0,6,131,131
12,24,David Swallow,1,Gold Coast,15,15,13,13,28,28,5,5,0,0,13,13,0,3,0,0,1,1,130,130
13,7,Zach Merrett,1,Essendon,22,22,15,15,37,37,6,6,0,0,3,3,3,1,0,0,2,2,128,128
14,25,Jack Crisp,1,Collingwood,20,20,11,11,31,31,9,9,0,0,4,4,1,0,0,0,0,0,126,126
15,14,Tim Taranto,1,GWS Giants,17,17,12,12,29,29,5,5,0,0,8,8,0,1,1,1,0,6,125,125
16,3,Tom Mitchell,1,Hawthorn,10,10,31,31,41,41,5,5,0,0,4,4,1,0,0,0,0,0,124,124
17,15,Sam Docherty,1,Carlton,24,24,7,7,31,31,9,9,0,0,2,2,2,0,0,0,0,0,123,123
18,3,Zak Jones,1,St Kilda,24,24,7,7,31,31,4,4,0,0,7,7,3,2,0,0,0,0,123,123
19,5,Jeremy Cameron,1,Geelong,18,18,4,4,22,22,8,8,0,0,0,0,3,2,6,6,2,38,121,121
20,17,Jarryd Lyons,1,Brisbane Lions,21,21,8,8,29,29,9,9,0,0,2,2,1,0,1,1,0,6,121,121
21,17,Josh Bruce,1,Western Bulldogs,12,12,3,3,15,15,11,11,5,5,3,3,1,2,5,5,2,32,119,119
22,37,Brayden Maynard,1,Collingwood,20,20,12,12,32,32,10,10,0,0,2,2,0,1,0,0,0,0,119,119
23,11,Touk Miller,1,Gold Coast,20,20,13,13,33,33,7,7,0,0,3,3,0,0,0,0,0,0,119,119
24,9,Rory Sloane,1,Adelaide,13,13,7,7,20,20,4,4,0,0,11,11,0,0,1,1,2,8,117,117
25,23,Jacob Weitering,1,Carlton,21,21,2,2,23,23,13,13,0,0,3,3,2,1,0,0,0,0,117,117
26,3,Darcy Parish,1,Essendon,17,17,18,18,35,35,5,5,0,0,4,4,1,1,0,0,1,1,117,117
27,8,James Rowbottom,1,Sydney,12,12,10,10,22,22,4,4,0,0,12,12,2,1,0,0,0,0,115,115
28,44,Jake Lloyd,1,Sydney,20,20,8,8,28,28,7,7,0,0,3,3,0,0,1,1,0,6,115,115
29,26,Luke Parker,1,Sydney,16,16,16,16,32,32,4,4,0,0,5,5,1,0,0,0,0,0,113,113
30,44,Callum Wilkie,1,St Kilda,16,16,9,9,25,25,14,14,0,0,3,3,1,3,0,0,0,0,112,112
31,4,Brodie Grundy,1,Collingwood,10,10,15,15,25,25,5,5,23,23,5,5,2,3,0,0,1,1,112,112
32,11,Tim Kelly,1,West Coast,16,16,9,9,25,25,10,10,0,0,3,3,1,1,1,1,0,6,112,112
33,15,Karl Amon,1,Port Adelaide,18,18,9,9,27,27,6,6,0,0,6,6,0,1,0,0,0,0,111,111
34,6,Hugh McCluggage,1,Brisbane Lions,17,17,10,10,27,27,6,6,0,0,5,5,1,2,1,1,0,6,110,110
35,11,Max Gawn,1,Melbourne,8,8,8,8,16,16,3,3,44,44,3,3,3,0,0,0,1,1,109,109
36,27,Sam Menegola,1,Geelong,14,14,12,12,26,26,10,10,0,0,3,3,0,0,0,0,1,1,109,109
37,5,Brad Crouch,1,St Kilda,11,11,19,19,30,30,4,4,0,0,5,5,0,0,1,1,0,6,109,109
38,29,Scott Lycett,1,Port Adelaide,10,10,8,8,18,18,3,3,34,34,6,6,1,2,0,0,0,0,108,108
39,7,Isaac Smith,1,Geelong,12,12,9,9,21,21,10,10,0,0,3,3,0,0,2,2,0,12,108,108
40,4,Toby Greene,1,GWS Giants,17,17,4,4,21,21,6,6,0,0,5,5,0,1,2,2,2,14,108,108
41,26,Tom Hawkins,1,Geelong,12,12,8,8,20,20,7,7,1,1,2,2,0,0,4,4,1,25,107,107
42,46,Mark Blicavs,1,Geelong,10,10,14,14,24,24,5,5,16,16,4,4,2,0,0,0,0,0,107,107
43,2,Jordan de Goey,1,Collingwood,12,12,5,5,17,17,6,6,0,0,1,1,2,1,6,6,3,39,106,106
44,16,Chris Mayne,1,Collingwood,16,16,12,12,28,28,7,7,0,0,3,3,1,0,0,0,0,0,106,106
45,20,Connor Rozee,1,Port Adelaide,15,15,8,8,23,23,4,4,0,0,6,6,1,0,1,1,1,7,105,105
46,44,Tom Stewart,1,Geelong,20,20,6,6,26,26,7,7,0,0,3,3,0,0,0,0,0,0,105,105
47,5,Brad Sheppard,1,West Coast,18,18,9,9,27,27,12,12,0,0,0,0,0,1,0,0,0,0,105,105
48,5,James Worpel,1,Hawthorn,13,13,14,14,27,27,5,5,0,0,4,4,1,2,2,2,0,12,105,105
49,22,Joshua Kelly,1,GWS Giants,14,14,16,16,30,30,4,4,0,0,3,3,1,2,2,2,0,12,105,105
50,14,Jack Scrimshaw,1,Hawthorn,15,15,12,12,27,27,6,6,0,0,4,4,0,0,0,0,1,1,104,104
Totals,,,50,,844,16.9,538,10.8,1382,27.6,373,7.5,123,2.5,216,4.3,48,43,43,0.9,27,285,5918,118.4
51,27,Jack Darling,1,West Coast,15,15,2,2,17,17,9,9,5,5,3,3,2,2,2,2,2,14,103,103
52,1,Adam Treloar,1,Western Bulldogs,12,12,11,11,23,23,3,3,0,0,9,9,0,2,1,1,0,6,103,103
53,7,Nathan Fyfe,1,Fremantle,9,9,18,18,27,27,5,5,0,0,5,5,2,2,1,1,3,9,103,103
54,4,Jarman Impey,1,Hawthorn,14,14,18,18,32,32,4,4,0,0,2,2,2,1,1,1,0,6,103,103
55,17,Oleg Markov,1,Gold Coast,16,16,7,7,23,23,6,6,0,0,5,5,0,0,0,0,2,2,102,102
56,12,Tom Green,1,GWS Giants,14,14,14,14,28,28,7,7,0,0,3,3,2,1,0,0,0,0,102,102
57,13,Clayton Oliver,1,Melbourne,15,15,20,20,35,35,1,1,0,0,5,5,0,2,0,0,0,0,102,102
58,23,Gary Rohan,1,Geelong,9,9,7,7,16,16,6,6,0,0,3,3,0,0,5,5,0,30,101,101
59,41,Brendon Ah Chee,1,West Coast,12,12,5,5,17,17,5,5,0,0,4,4,0,0,4,4,0,24,101,101
60,9,John Noble,1,Collingwood,19,19,12,12,31,31,4,4,0,0,3,3,2,2,0,0,0,0,101,101
61,11,Jackson Macrae,1,Western Bulldogs,17,17,15,15,32,32,3,3,0,0,2,2,3,0,0,0,0,0,101,101
62,23,Charlie Cameron,1,Brisbane Lions,12,12,2,2,14,14,11,11,0,0,1,1,0,0,3,3,5,23,100,100
63,4,Sean Darcy,1,Fremantle,9,9,8,8,17,17,4,4,39,39,3,3,0,4,1,1,0,6,100,100
64,4,Kyle Langford,1,Essendon,10,10,10,10,20,20,9,9,0,0,2,2,0,1,3,3,0,18,100,100
65,19,Nick Hind,1,Essendon,22,22,7,7,29,29,5,5,0,0,1,1,1,0,0,0,0,0,100,100
66,4,James Harmes,1,Melbourne,7,7,24,24,31,31,3,3,0,0,7,7,0,2,0,0,0,0,100,100
67,29,Rory Laird,1,Adelaide,16,16,20,20,36,36,0,0,0,0,5,5,1,3,0,0,0,0,100,100
68,11,Paul Seedsman,1,Adelaide,22,22,7,7,29,29,4,4,0,0,2,2,1,1,0,0,1,1,99,99
69,12,Josh P. Kennedy,1,Sydney,13,13,9,9,22,22,4,4,0,0,7,7,0,0,0,0,0,0,97,97
70,27,Wil Powell,1,Gold Coast,15,15,9,9,24,24,9,9,0,0,2,2,2,1,0,0,0,0,97,97
71,3,Isaac Quaynor,1,Collingwood,16,16,7,7,23,23,10,10,0,0,1,1,0,0,0,0,0,0,96,96
72,15,Ed Langdon,1,Melbourne,15,15,9,9,24,24,5,5,0,0,5,5,1,1,0,0,0,0,96,96
73,35,Edward Curnow,1,Carlton,17,17,10,10,27,27,5,5,0,0,2,2,2,0,0,0,0,0,96,96
74,5,Christian Petracca,1,Melbourne,16,16,12,12,28,28,0,0,0,0,8,8,0,5,1,1,1,7,96,96
75,11,Hunter Clark,1,St Kilda,15,15,7,7,22,22,9,9,0,0,2,2,1,0,0,0,0,0,95,95
76,23,James Jordon,1,Melbourne,10,10,13,13,23,23,2,2,0,0,8,8,1,0,0,0,0,0,95,95
77,7,Jack Ziebell,1,North Melbourne,20,20,10,10,30,30,7,7,0,0,0,0,0,2,0,0,0,0,95,95
78,34,Jordan Dawson,1,Sydney,19,19,2,2,21,21,9,9,0,0,3,3,0,2,0,0,0,0,94,94
79,35,Caleb Daniel,1,Western Bulldogs,16,16,6,6,22,22,9,9,0,0,1,1,0,0,0,0,1,1,92,92
80,29,Changkuoth Jiath,1,Hawthorn,12,12,13,13,25,25,7,7,0,0,2,2,1,0,0,0,0,0,92,92
81,16,David Mundy,1,Fremantle,12,12,15,15,27,27,4,4,0,0,2,2,0,0,1,1,0,6,92,92
82,37,Rory Lobb,1,Fremantle,8,8,9,9,17,17,8,8,13,13,1,1,1,0,1,1,1,7,91,91
83,25,Tom McDonald,1,Melbourne,13,13,5,5,18,18,5,5,1,1,1,1,1,1,4,4,0,24,91,91
84,2,Ben Keays,1,Adelaide,11,11,9,9,20,20,2,2,0,0,8,8,2,0,0,0,0,0,91,91
85,31,Connor Menadue,1,North Melbourne,12,12,13,13,25,25,6,6,0,0,3,3,2,1,0,0,0,0,91,91
86,3,Christian Salem,1,Melbourne,19,19,8,8,27,27,4,4,0,0,3,3,0,2,0,0,0,0,91,91
87,17,Daniel Howe,1,Hawthorn,12,12,6,6,18,18,5,5,0,0,5,5,1,0,1,1,0,6,90,90
88,15,Jayden Short,1,Richmond,17,17,5,5,22,22,5,5,0,0,3,3,2,0,0,0,0,0,90,90
89,21,Tom Liberatore,1,Western Bulldogs,9,9,18,18,27,27,2,2,0,0,5,5,1,0,0,0,0,0,90,90
90,34,Andrew Phillips,1,Essendon,8,8,5,5,13,13,6,6,26,26,4,4,1,2,0,0,0,0,89,89
91,7,Harry Cunningham,1,Sydney,15,15,7,7,22,22,7,7,0,0,2,2,1,0,0,0,0,0,89,89
92,33,Darcy Byrne-Jones,1,Port Adelaide,17,17,7,7,24,24,5,5,0,0,2,2,1,0,0,0,0,0,89,89
93,33,Zac Bailey,1,Brisbane Lions,14,14,12,12,26,26,7,7,0,0,1,1,0,1,0,0,1,1,89,89
94,21,Dyson Heppell,1,Essendon,14,14,13,13,27,27,8,8,0,0,0,0,0,1,0,0,0,0,89,89
95,22,Jack Higgins,1,St Kilda,13,13,5,5,18,18,5,5,0,0,3,3,3,0,1,1,3,9,88,88
96,42,Tom Campbell,1,North Melbourne,8,8,11,11,19,19,8,8,0,0,3,3,0,0,1,1,0,6,88,88
97,10,Travis Boak,1,Port Adelaide,11,11,17,17,28,28,3,3,0,0,3,3,0,0,0,0,0,0,88,88
98,13,Orazio Fantasia,1,Port Adelaide,15,15,3,3,18,18,6,6,0,0,2,2,2,1,1,1,5,11,87,87
99,16,Luke Brown,1,Adelaide,14,14,6,6,20,20,7,7,0,0,3,3,0,0,0,0,0,0,87,87
100,31,Bailey Dale,1,Western Bulldogs,20,20,7,7,27,27,3,3,0,0,1,1,0,0,0,0,0,0,87,87
Totals,,,50,,696,13.9,495,9.9,1191,23.8,271,5.4,84,1.7,161,3.2,42,43,32,0.6,25,217,4749,95
101,3,Joe Daniher,1,Brisbane Lions,13,13,3,3,16,16,7,7,3,3,1,1,1,0,2,2,0,12,86,86
102,23,Ben McKay,1,North Melbourne,8,8,9,9,17,17,9,9,0,0,4,4,1,0,0,0,0,0,86,86
103,13,Jack Lukosius,1,Gold Coast,16,16,2,2,18,18,12,12,0,0,0,0,0,1,0,0,1,1,86,86
104,40,Will Snelling,1,Essendon,9,9,10,10,19,19,5,5,0,0,3,3,0,0,2,2,0,12,86,86
105,18,Shaun Atley,1,North Melbourne,13,13,9,9,22,22,7,7,0,0,2,2,0,0,0,0,0,0,86,86
106,7,Ben McEvoy,1,Hawthorn,5,5,6,6,11,11,5,5,19,19,6,6,0,0,0,0,0,0,85,85
107,1,Hugh Greenwood,1,Gold Coast,10,10,10,10,20,20,3,3,0,0,6,6,1,0,0,0,1,1,85,85
108,11,James Aish,1,Fremantle,13,13,8,8,21,21,4,4,0,0,4,4,1,0,0,0,1,1,85,85
109,10,Scott Pendlebury,1,Collingwood,11,11,10,10,21,21,5,5,0,0,2,2,0,1,2,2,0,12,85,85
110,29,Shai Bolton,1,Richmond,11,11,10,10,21,21,2,2,0,0,2,2,2,1,3,3,1,19,85,85
111,18,Sam Walsh,1,Carlton,8,8,16,16,24,24,5,5,0,0,5,5,0,2,0,0,0,0,85,85
112,2,Zach Tuohy,1,Geelong,19,19,7,7,26,26,3,3,0,0,1,1,0,0,0,0,1,1,85,85
113,22,Todd Goldstein,1,North Melbourne,10,10,7,7,17,17,5,5,20,20,1,1,3,1,0,0,1,1,84,84
114,24,Kane Farrell,1,Port Adelaide,14,14,5,5,19,19,4,4,0,0,4,4,0,1,1,1,1,7,84,84
115,2,Jaidyn Stephenson,1,North Melbourne,11,11,8,8,19,19,6,6,0,0,1,1,2,1,2,2,2,14,84,84
116,3,Ryan Burton,1,Port Adelaide,17,17,3,3,20,20,6,6,0,0,4,4,2,3,0,0,0,0,84,84
