Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,9,Jack Steele,1,St Kilda,16,16,20,20,36,36,5,5,0,0,14,14,1,1,0,0,0,0,157,157
2,16,Oliver Wines,1,Port Adelaide,26,26,17,17,43,43,3,3,0,0,7,7,1,0,0,0,1,1,151,151
3,35,Patrick Dangerfield,1,Geelong,24,24,13,13,37,37,11,11,0,0,4,4,2,2,1,1,0,6,149,149
4,7,Zach Merrett,1,Essendon,21,21,15,15,36,36,5,5,0,0,7,7,1,0,1,1,0,6,143,143
5,3,Darcy Parish,1,Essendon,23,23,20,20,43,43,5,5,0,0,3,3,1,0,1,1,0,6,143,143
6,11,Touk Miller,1,Gold Coast,19,19,17,17,36,36,7,7,0,0,7,7,4,1,0,0,0,0,141,141
7,5,Christian Petracca,1,Melbourne,18,18,12,12,30,30,10,10,0,0,6,6,2,0,0,0,2,2,136,136
8,43,Aaron Hall,1,North Melbourne,23,23,8,8,31,31,13,13,0,0,3,3,0,1,0,0,1,1,134,134
9,17,Jarryd Lyons,1,Brisbane Lions,18,18,13,13,31,31,4,4,0,0,10,10,1,0,0,0,0,0,133,133
10,10,Ben Cunnington,1,North Melbourne,17,17,9,9,26,26,8,8,0,0,7,7,2,2,2,2,2,14,131,131
11,4,Dom Sheed,1,West Coast,20,20,17,17,37,37,6,6,0,0,5,5,0,1,0,0,0,0,129,129
12,18,Sam Walsh,1,Carlton,15,15,10,10,25,25,8,8,0,0,8,8,1,0,1,1,0,6,128,128
13,3,Christian Salem,1,Melbourne,19,19,12,12,31,31,9,9,0,0,3,3,0,0,1,1,0,6,126,126
14,8,Andrew Brayshaw,1,Fremantle,15,15,13,13,28,28,8,8,0,0,5,5,0,1,2,2,0,12,124,124
15,2,Jordan de Goey,1,Collingwood,17,17,15,15,32,32,9,9,0,0,2,2,0,0,1,1,2,8,124,124
16,21,Tom Liberatore,1,Western Bulldogs,14,14,11,11,25,25,6,6,0,0,5,5,3,0,2,2,2,14,119,119
17,6,Elliot Yeo,1,West Coast,16,16,10,10,26,26,5,5,0,0,8,8,2,2,1,1,1,7,118,118
18,29,Rory Laird,1,Adelaide,17,17,20,20,37,37,5,5,0,0,3,3,0,0,0,0,0,0,118,118
19,7,Luke Dunstan,1,St Kilda,15,15,12,12,27,27,5,5,0,0,9,9,0,1,0,0,0,0,117,117
20,4,Sean Darcy,1,Fremantle,11,11,9,9,20,20,8,8,40,40,0,0,0,2,1,1,1,7,116,116
21,14,Callum Mills,1,Sydney,22,22,13,13,35,35,2,2,0,0,4,4,2,0,0,0,0,0,116,116
22,24,Nic Newman,1,Carlton,23,23,1,1,24,24,11,11,0,0,4,4,1,2,0,0,0,0,115,115
23,14,Tim Taranto,1,GWS Giants,18,18,10,10,28,28,6,6,0,0,4,4,1,0,1,1,0,6,115,115
