Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,29,Rory Laird,1,Adelaide,22,22,14,14,36,36,6,6,0,0,5,5,4,2,2,2,0,12,142,142
2,8,Brayden Fiorini,1,Gold Coast,19,19,22,22,41,41,8,8,0,0,4,4,1,0,0,0,0,0,142,142
3,25,Jack Crisp,1,Collingwood,17,17,13,13,30,30,13,13,0,0,6,6,1,0,0,0,0,0,141,141
4,11,Jackson Macrae,1,Western Bulldogs,19,19,19,19,38,38,5,5,0,0,7,7,0,0,0,0,0,0,138,138
5,17,Jarryd Lyons,1,Brisbane Lions,24,24,9,9,33,33,6,6,0,0,6,6,3,0,0,0,1,1,136,136
6,5,Isaac Heeney,1,Sydney,15,15,7,7,22,22,11,11,0,0,2,2,1,0,5,5,1,31,132,132
7,6,Lachie Whitfield,1,GWS Giants,25,25,10,10,35,35,10,10,0,0,2,2,2,1,0,0,0,0,132,132
8,5,Adam Cerra,1,Fremantle,19,19,11,11,30,30,9,9,0,0,3,3,2,1,2,2,0,12,129,129
9,35,Caleb Daniel,1,Western Bulldogs,17,17,17,17,34,34,6,6,0,0,4,4,3,0,1,1,0,6,128,128
10,11,Touk Miller,1,Gold Coast,16,16,16,16,32,32,5,5,0,0,9,9,3,3,0,0,2,2,127,127
11,5,Christian Petracca,1,Melbourne,18,18,13,13,31,31,4,4,0,0,7,7,0,0,1,1,0,6,126,126
12,13,Clayton Oliver,1,Melbourne,19,19,19,19,38,38,4,4,0,0,5,5,1,1,0,0,1,1,126,126
13,6,Bailey Smith,1,Western Bulldogs,18,18,8,8,26,26,4,4,0,0,9,9,0,0,1,1,1,7,125,125
14,12,Jy Simpkin,1,North Melbourne,15,15,16,16,31,31,8,8,0,0,5,5,4,0,0,0,0,0,125,125
15,12,Josh P. Kennedy,1,Sydney,10,10,24,24,34,34,6,6,0,0,7,7,0,0,0,0,1,1,125,125
16,20,Nick Larkey,1,North Melbourne,12,12,8,8,20,20,8,8,0,0,1,1,0,0,7,7,1,43,123,123
17,4,Marcus Bontempelli,1,Western Bulldogs,24,24,7,7,31,31,3,3,0,0,6,6,1,3,2,2,0,12,123,123
18,11,Max Gawn,1,Melbourne,16,16,2,2,18,18,2,2,56,56,2,2,0,1,0,0,0,0,119,119
19,35,Patrick Dangerfield,1,Geelong,14,14,14,14,28,28,6,6,0,0,7,7,2,2,1,1,0,6,118,118
20,8,Andrew Brayshaw,1,Fremantle,14,14,20,20,34,34,6,6,0,0,5,5,1,1,0,0,0,0,118,118
21,5,Mitch Robinson,1,Brisbane Lions,19,19,4,4,23,23,8,8,0,0,4,4,2,1,2,2,1,13,117,117
22,13,Jack Lukosius,1,Gold Coast,22,22,5,5,27,27,13,13,0,0,0,0,0,0,0,0,2,2,117,117
23,29,Cameron Guthrie,1,Geelong,17,17,17,17,34,34,7,7,0,0,3,3,2,1,0,0,0,0,117,117
