Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,17,Jarryd Lyons,1,Brisbane Lions,13,13,24,24,37,37,6,6,0,0,9,9,1,0,0,0,0,0,142,142
2,12,Jy Simpkin,1,North Melbourne,22,22,16,16,38,38,2,2,0,0,9,9,5,1,0,0,0,0,142,142
3,29,Cameron Guthrie,1,Geelong,16,16,20,20,36,36,6,6,0,0,7,7,1,1,1,1,0,6,138,138
4,8,Andrew Brayshaw,1,Fremantle,14,14,19,19,33,33,8,8,0,0,8,8,1,0,0,0,0,0,137,137
5,22,Mitchell Duncan,1,Geelong,17,17,13,13,30,30,15,15,0,0,3,3,0,0,0,0,0,0,134,134
6,4,Sean Darcy,1,Fremantle,9,9,13,13,22,22,4,4,38,38,8,8,1,1,0,0,0,0,133,133
7,3,Darcy Parish,1,Essendon,18,18,21,21,39,39,4,4,0,0,4,4,1,0,1,1,0,6,131,131
8,16,Oliver Wines,1,Port Adelaide,10,10,22,22,32,32,5,5,0,0,8,8,3,0,1,1,0,6,130,130
9,23,Alex Witherden,1,West Coast,26,26,4,4,30,30,12,12,0,0,2,2,0,1,0,0,0,0,127,127
10,15,Dayne Zorko,1,Brisbane Lions,23,23,11,11,34,34,9,9,0,0,2,2,2,3,1,1,2,8,127,127
11,2,Jacob Hopper,1,GWS Giants,16,16,19,19,35,35,5,5,0,0,7,7,0,3,1,1,0,6,126,126
12,29,Rory Laird,1,Adelaide,16,16,20,20,36,36,6,6,0,0,5,5,2,3,1,1,0,6,125,125
13,19,Nick Hind,1,Essendon,24,24,7,7,31,31,8,8,0,0,3,3,3,1,0,0,0,0,122,122
14,6,Hugh McCluggage,1,Brisbane Lions,16,16,8,8,24,24,8,8,0,0,6,6,3,0,1,1,0,6,121,121
15,18,Sam Walsh,1,Carlton,14,14,16,16,30,30,9,9,0,0,5,5,3,1,0,0,0,0,121,121
16,15,Blake Hardwick,1,Hawthorn,21,21,7,7,28,28,7,7,0,0,5,5,1,0,0,0,0,0,119,119
17,7,Liam Baker,1,Richmond,19,19,14,14,33,33,3,3,0,0,6,6,2,1,0,0,1,1,118,118
18,9,Jack Steele,1,St Kilda,14,14,9,9,23,23,3,3,0,0,11,11,1,1,1,1,0,6,117,117
19,22,Joshua Kelly,1,GWS Giants,14,14,13,13,27,27,3,3,0,0,8,8,2,1,1,1,1,7,115,115
20,32,Will Hoskin-Elliott,1,Collingwood,14,14,9,9,23,23,10,10,0,0,4,4,1,0,1,1,0,6,113,113
21,10,Travis Boak,1,Port Adelaide,15,15,15,15,30,30,3,3,0,0,7,7,4,1,0,0,0,0,113,113
22,15,Jamie Cripps,1,West Coast,16,16,9,9,25,25,10,10,0,0,3,3,0,1,1,1,0,6,111,111
23,14,Callum Mills,1,Sydney,12,12,16,16,28,28,6,6,0,0,7,7,0,1,0,0,0,0,111,111
24,5,Brad Crouch,1,St Kilda,13,13,15,15,28,28,2,2,0,0,9,9,2,1,0,0,1,1,111,111
25,23,James Jordon,1,Melbourne,12,12,8,8,20,20,2,2,0,0,13,13,2,1,0,0,1,1,110,110
26,14,Grant Birchall,1,Brisbane Lions,19,19,7,7,26,26,13,13,0,0,0,0,0,0,0,0,0,0,110,110
27,13,Clayton Oliver,1,Melbourne,15,15,13,13,28,28,1,1,0,0,10,10,3,5,1,1,2,8,110,110
28,30,Matt Flynn,1,GWS Giants,7,7,5,5,12,12,4,4,30,30,9,9,2,1,0,0,1,1,109,109
29,1,Andrew McGrath,1,Essendon,15,15,12,12,27,27,3,3,0,0,8,8,2,1,0,0,0,0,109,109
30,41,Hayden McLean,1,Sydney,11,11,7,7,18,18,9,9,0,0,6,6,2,0,1,1,2,8,108,108
31,25,Toby Nankervis,1,Richmond,10,10,6,6,16,16,5,5,29,29,5,5,1,2,1,1,0,6,107,107
32,5,Isaac Heeney,1,Sydney,12,12,10,10,22,22,6,6,0,0,3,3,1,0,3,3,2,20,107,107
