Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,17,Jarryd Lyons,1,Brisbane Lions,22,22,14,14,36,36,6,6,0,0,12,12,1,0,0,0,0,0,161,161
2,16,Oliver Wines,1,Port Adelaide,24,24,19,19,43,43,8,8,0,0,6,6,2,2,0,0,0,0,154,154
3,14,Tim Taranto,1,GWS Giants,18,18,6,6,24,24,11,11,0,0,12,12,1,1,0,0,0,0,145,145
4,25,Jake Stringer,1,Essendon,17,17,12,12,29,29,3,3,0,0,7,7,5,2,4,4,1,25,136,136
5,3,Tom Mitchell,1,Hawthorn,18,18,18,18,36,36,2,2,0,0,8,8,1,1,1,1,2,8,134,134
6,4,Marcus Bontempelli,1,Western Bulldogs,18,18,12,12,30,30,5,5,0,0,7,7,1,1,1,1,2,8,127,127
7,7,Jack Ziebell,1,North Melbourne,26,26,6,6,32,32,5,5,0,0,4,4,3,0,0,0,0,0,124,124
8,11,Touk Miller,1,Gold Coast,14,14,17,17,31,31,2,2,0,0,9,9,4,0,0,0,0,0,122,122
9,44,Tom Stewart,1,Geelong,24,24,3,3,27,27,13,13,0,0,1,1,0,0,0,0,0,0,121,121
10,10,Jaeger O'Meara,1,Hawthorn,20,20,11,11,31,31,6,6,0,0,5,5,1,0,0,0,0,0,121,121
11,13,Isaac Cumming,1,GWS Giants,21,21,2,2,23,23,12,12,0,0,4,4,0,2,1,1,0,6,119,119
12,6,Lachie Whitfield,1,GWS Giants,20,20,6,6,26,26,10,10,0,0,4,4,1,0,0,0,0,0,119,119
13,6,Hugh McCluggage,1,Brisbane Lions,24,24,7,7,31,31,4,4,0,0,5,5,0,1,0,0,3,3,118,118
14,27,Sam Menegola,1,Geelong,18,18,9,9,27,27,8,8,0,0,2,2,1,2,2,2,0,12,111,111
15,9,Lachie Neale,1,Brisbane Lions,10,10,20,20,30,30,1,1,0,0,10,10,1,3,1,1,0,6,111,111
16,6,Steven Motlop,1,Port Adelaide,16,16,10,10,26,26,9,9,0,0,2,2,1,2,2,2,0,12,110,110
17,7,Matthew Kennedy,1,Carlton,16,16,11,11,27,27,8,8,0,0,4,4,0,0,0,0,0,0,110,110
18,21,Tom Liberatore,1,Western Bulldogs,11,11,19,19,30,30,1,1,0,0,8,8,4,2,1,1,0,6,110,110
19,4,Toby Greene,1,GWS Giants,16,16,4,4,20,20,8,8,0,0,1,1,2,1,4,4,2,26,109,109
20,35,Caleb Daniel,1,Western Bulldogs,16,16,11,11,27,27,3,3,0,0,6,6,0,0,1,1,0,6,109,109
21,4,Jarman Impey,1,Hawthorn,18,18,7,7,25,25,10,10,0,0,3,3,1,1,0,0,0,0,108,108
22,15,Karl Amon,1,Port Adelaide,15,15,11,11,26,26,7,7,0,0,4,4,0,1,1,1,1,7,108,108
23,12,Jy Simpkin,1,North Melbourne,22,22,9,9,31,31,3,3,0,0,3,3,5,1,0,0,1,1,108,108
24,13,Jack Lukosius,1,Gold Coast,21,21,1,1,22,22,9,9,0,0,3,3,2,0,0,0,0,0,106,106
25,10,Ben Cunnington,1,North Melbourne,15,15,10,10,25,25,2,2,0,0,10,10,1,2,0,0,0,0,106,106
26,14,Joel Selwood,1,Geelong,15,15,14,14,29,29,2,2,0,0,6,6,3,2,1,1,0,6,106,106
27,11,Jackson Macrae,1,Western Bulldogs,15,15,20,20,35,35,3,3,0,0,3,3,2,1,0,0,0,0,105,105
28,21,Dyson Heppell,1,Essendon,18,18,6,6,24,24,8,8,0,0,3,3,1,0,0,0,1,1,104,104
29,24,Matt De Boer,1,GWS Giants,8,8,8,8,16,16,5,5,0,0,12,12,0,0,0,0,0,0,103,103
30,1,Hugh Greenwood,1,Gold Coast,8,8,8,8,16,16,3,3,0,0,14,14,1,1,0,0,0,0,103,103
31,14,Miles Bergman,1,Port Adelaide,11,11,12,12,23,23,7,7,0,0,6,6,1,0,0,0,0,0,103,103
32,7,Lachlan Hunter,1,Western Bulldogs,14,14,9,9,23,23,10,10,0,0,3,3,1,0,0,0,0,0,103,103
33,10,Travis Boak,1,Port Adelaide,13,13,12,12,25,25,5,5,0,0,7,7,0,1,0,0,0,0,103,103
34,2,Jacob Hopper,1,GWS Giants,15,15,12,12,27,27,5,5,0,0,4,4,3,2,1,1,0,6,103,103
35,31,Jeremy Finlayson,1,GWS Giants,11,11,2,2,13,13,10,10,0,0,2,2,0,1,5,5,0,30,102,102
36,22,Joshua Kelly,1,GWS Giants,15,15,10,10,25,25,7,7,0,0,3,3,0,1,1,1,1,7,102,102
37,9,Luke Davies-Uniacke,1,North Melbourne,12,12,10,10,22,22,8,8,0,0,5,5,1,1,0,0,1,1,99,99
38,33,Zac Bailey,1,Brisbane Lions,15,15,14,14,29,29,4,4,0,0,3,3,2,2,1,1,0,6,99,99
39,3,Brandan Parfitt,1,Geelong,15,15,7,7,22,22,2,2,0,0,9,9,0,3,1,1,0,6,98,98
40,33,Darcy Byrne-Jones,1,Port Adelaide,17,17,8,8,25,25,6,6,0,0,3,3,0,0,0,0,1,1,98,98
41,43,Aaron Hall,1,North Melbourne,22,22,5,5,27,27,3,3,0,0,3,3,0,0,0,0,1,1,98,98
42,17,Daniel Howe,1,Hawthorn,16,16,7,7,23,23,10,10,0,0,3,3,2,3,0,0,0,0,97,97
43,7,Isaac Smith,1,Geelong,19,19,11,11,30,30,7,7,0,0,0,0,0,1,0,0,0,0,97,97
44,19,Nick Haynes,1,GWS Giants,14,14,8,8,22,22,10,10,0,0,1,1,2,0,0,0,1,1,95,95
45,15,Noah Anderson,1,Gold Coast,20,20,10,10,30,30,3,3,0,0,3,3,0,2,0,0,0,0,95,95
46,28,Willem Drew,1,Port Adelaide,12,12,15,15,27,27,3,3,0,0,7,7,0,3,0,0,0,0,94,94
47,14,Jack Scrimshaw,1,Hawthorn,15,15,8,8,23,23,10,10,0,0,0,0,1,0,0,0,1,1,93,93
48,20,Connor Rozee,1,Port Adelaide,9,9,10,10,19,19,3,3,0,0,4,4,3,1,3,3,1,19,91,91
49,15,Sam Docherty,1,Carlton,15,15,6,6,21,21,8,8,0,0,2,2,2,0,0,0,0,0,91,91
50,15,Taylor Duryea,1,Western Bulldogs,13,13,9,9,22,22,4,4,0,0,5,5,2,0,0,0,0,0,91,91
Totals,,,50,,817,16.3,496,9.9,1313,26.3,302,6,0,0,251,5,65,50,32,0.6,20,212,5480,109.6
51,46,Mark Blicavs,1,Geelong,6,6,13,13,19,19,2,2,26,26,3,3,2,0,0,0,0,0,90,90
52,22,Charlie Dixon,1,Port Adelaide,7,7,9,9,16,16,5,5,3,3,5,5,2,1,2,2,1,13,89,89
53,15,Blake Hardwick,1,Hawthorn,17,17,4,4,21,21,6,6,0,0,2,2,3,0,0,0,0,0,88,88
54,7,Zach Merrett,1,Essendon,11,11,16,16,27,27,4,4,0,0,3,3,2,1,0,0,0,0,88,88
55,29,Cameron Guthrie,1,Geelong,10,10,12,12,22,22,4,4,0,0,5,5,1,0,0,0,0,0,87,87
56,14,Jordan Ridley,1,Essendon,19,19,6,6,25,25,4,4,0,0,2,2,1,1,0,0,0,0,87,87
57,27,Marc Pittonet,1,Carlton,6,6,6,6,12,12,5,5,27,27,3,3,2,2,1,1,0,6,86,86
58,22,Luke Breust,1,Hawthorn,8,8,6,6,14,14,4,4,0,0,5,5,2,1,3,3,1,19,86,86
59,27,Harrison Himmelberg,1,GWS Giants,11,11,6,6,17,17,6,6,0,0,3,3,1,1,2,2,1,13,86,86
60,26,Tarryn Thomas,1,North Melbourne,11,11,9,9,20,20,5,5,0,0,5,5,1,1,0,0,2,2,86,86
61,14,Trent Dumont,1,North Melbourne,15,15,6,6,21,21,4,4,0,0,4,4,1,0,0,0,0,0,86,86
62,34,Bailey Williams,1,Western Bulldogs,12,12,12,12,24,24,6,6,0,0,2,2,0,0,0,0,0,0,86,86
63,5,Dan Houston,1,Port Adelaide,15,15,12,12,27,27,5,5,0,0,1,1,1,1,0,0,0,0,86,86
64,4,Kyle Langford,1,Essendon,9,9,10,10,19,19,2,2,0,0,7,7,1,1,1,1,0,6,85,85
65,40,Luke Dahlhaus,1,Geelong,11,11,10,10,21,21,1,1,0,0,6,6,1,1,1,1,1,7,85,85
