Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,11,Touk Miller,1,Gold Coast,14,14,14,14,28,28,5,5,1,1,13,13,2,0,0,0,0,0,140,140
2,5,Christian Petracca,1,Melbourne,24,24,12,12,36,36,7,7,0,0,2,2,1,1,2,2,1,13,136,136
3,43,Reilly O'Brien,1,Adelaide,7,7,17,17,24,24,8,8,31,31,4,4,3,0,1,1,0,6,135,135
4,11,Max Gawn,1,Melbourne,16,16,7,7,23,23,6,6,41,41,4,4,1,4,1,1,0,6,132,132
5,38,Lachlan Sholl,1,Adelaide,25,25,6,6,31,31,8,8,0,0,2,2,3,0,1,1,2,8,130,130
6,14,Tim Taranto,1,GWS Giants,19,19,15,15,34,34,8,8,0,0,6,6,0,2,0,0,0,0,129,129
7,13,Clayton Oliver,1,Melbourne,19,19,15,15,34,34,7,7,0,0,6,6,2,2,0,0,0,0,128,128
8,1,Adam Treloar,1,Western Bulldogs,17,17,12,12,29,29,3,3,0,0,10,10,1,0,0,0,2,2,127,127
9,26,Luke Parker,1,Sydney,21,21,11,11,32,32,7,7,0,0,3,3,1,0,1,1,1,7,126,126
10,5,Brad Crouch,1,St Kilda,13,13,13,13,26,26,3,3,0,0,12,12,2,0,0,0,1,1,125,125
11,1,Hugh Greenwood,1,Gold Coast,18,18,9,9,27,27,0,0,2,2,10,10,3,0,1,1,1,7,124,124
12,3,Jack Bowes,1,Gold Coast,31,31,3,3,34,34,9,9,0,0,1,1,0,2,0,0,0,0,124,124
13,7,Jack Viney,1,Melbourne,13,13,11,11,24,24,3,3,0,0,12,12,3,0,0,0,2,2,123,123
14,43,Aaron Hall,1,North Melbourne,25,25,8,8,33,33,6,6,0,0,3,3,1,0,0,0,1,1,123,123
15,7,Lachlan Ash,1,GWS Giants,20,20,8,8,28,28,11,11,0,0,4,4,0,1,0,0,0,0,122,122
16,35,Edward Curnow,1,Carlton,23,23,9,9,32,32,5,5,0,0,5,5,0,2,1,1,0,6,122,122
17,9,Jack Steele,1,St Kilda,15,15,18,18,33,33,5,5,0,0,6,6,1,2,1,1,0,6,121,121
18,8,Callan Ward,1,GWS Giants,16,16,21,21,37,37,6,6,0,0,3,3,1,0,0,0,0,0,121,121
19,3,Tom Mitchell,1,Hawthorn,14,14,24,24,38,38,5,5,0,0,2,2,1,0,1,1,0,6,120,120
20,15,Noah Anderson,1,Gold Coast,19,19,11,11,30,30,7,7,0,0,4,4,2,0,0,0,0,0,118,118
21,14,Joel Selwood,1,Geelong,16,16,14,14,30,30,5,5,0,0,8,8,4,4,0,0,1,1,116,116
22,20,Chad Wingard,1,Hawthorn,13,13,13,13,26,26,7,7,0,0,5,5,2,0,1,1,1,7,115,115
23,7,Zach Merrett,1,Essendon,16,16,11,11,27,27,2,2,0,0,9,9,3,0,0,0,0,0,115,115
24,6,Hugh McCluggage,1,Brisbane Lions,19,19,6,6,25,25,12,12,0,0,1,1,1,1,1,1,0,6,113,113
25,15,Jayden Short,1,Richmond,25,25,6,6,31,31,4,4,0,0,2,2,0,0,1,1,0,6,113,113
26,11,Jackson Macrae,1,Western Bulldogs,12,12,20,20,32,32,1,1,0,0,8,8,2,2,1,1,0,6,113,113
27,24,David Swallow,1,Gold Coast,16,16,7,7,23,23,8,8,0,0,6,6,1,0,0,0,1,1,112,112
28,4,Brandon Ellis,1,Gold Coast,20,20,6,6,26,26,8,8,0,0,2,2,2,0,1,1,0,6,112,112
29,14,Lachie Weller,1,Gold Coast,15,15,10,10,25,25,9,9,0,0,3,3,0,0,1,1,1,7,111,111
30,5,Adam Cerra,1,Fremantle,17,17,6,6,23,23,7,7,0,0,6,6,2,0,0,0,0,0,110,110
31,5,Dan Houston,1,Port Adelaide,17,17,6,6,23,23,5,5,0,0,7,7,0,1,1,1,1,7,110,110
32,14,Bachar Houli,1,Richmond,15,15,11,11,26,26,11,11,0,0,3,3,1,1,0,0,0,0,110,110
33,14,Jordan Ridley,1,Essendon,22,22,6,6,28,28,8,8,0,0,2,2,0,0,0,0,0,0,110,110
34,5,Josh Dunkley,1,Western Bulldogs,9,9,18,18,27,27,4,4,0,0,8,8,3,1,0,0,1,1,108,108
35,15,Sam Docherty,1,Carlton,25,25,3,3,28,28,8,8,0,0,2,2,1,2,0,0,0,0,108,108
36,22,Steele Sidebottom,1,Collingwood,21,21,9,9,30,30,8,8,0,0,2,2,1,2,0,0,0,0,108,108
37,7,Nathan Fyfe,1,Fremantle,15,15,16,16,31,31,3,3,0,0,5,5,0,2,0,0,6,6,106,106
38,44,Tim English,1,Western Bulldogs,9,9,8,8,17,17,9,9,8,8,1,1,2,0,3,3,3,21,105,105
