Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
1,9,Lachie Neale,1,Brisbane Lions,22,22,24,24,46,46,5,5,0,0,3,3,2,1,0,0,0,0,140,140
2,11,Max Gawn,1,Melbourne,17,17,2,2,19,19,6,6,37,37,7,7,2,2,0,0,1,1,135,135
3,22,Mitchell Duncan,1,Geelong,24,24,9,9,33,33,13,13,0,0,1,1,2,0,0,0,0,0,135,135
4,21,Tom Liberatore,1,Western Bulldogs,16,16,19,19,35,35,5,5,0,0,7,7,1,0,0,0,0,0,130,130
5,3,Darcy Parish,1,Essendon,22,22,13,13,35,35,3,3,0,0,4,4,1,1,1,1,1,7,122,122
6,2,Sam Draper,1,Essendon,12,12,6,6,18,18,5,5,44,44,4,4,2,2,0,0,2,2,121,121
7,10,Travis Boak,1,Port Adelaide,17,17,15,15,32,32,5,5,0,0,7,7,1,3,0,0,3,3,119,119
8,26,Luke Parker,1,Sydney,17,17,17,17,34,34,5,5,0,0,5,5,3,3,0,0,1,1,115,115
9,7,Zach Merrett,1,Essendon,16,16,15,15,31,31,3,3,0,0,9,9,2,4,0,0,1,1,114,114
10,7,Jack Viney,1,Melbourne,17,17,11,11,28,28,3,3,0,0,6,6,5,0,0,0,0,0,111,111
11,14,Tim Taranto,1,GWS Giants,16,16,9,9,25,25,5,5,0,0,5,5,2,0,1,1,0,6,109,109
12,29,George Hewett,1,Sydney,6,6,13,13,19,19,4,4,0,0,13,13,1,1,0,0,0,0,106,106
13,30,Alex Neal-Bullen,1,Melbourne,14,14,13,13,27,27,6,6,0,0,5,5,1,1,0,0,1,1,105,105
14,17,Jarryd Lyons,1,Brisbane Lions,18,18,9,9,27,27,3,3,0,0,6,6,1,1,0,0,1,1,104,104
15,5,Christian Petracca,1,Melbourne,17,17,13,13,30,30,3,3,0,0,1,1,0,0,2,2,2,14,104,104
16,36,Harry Perryman,1,GWS Giants,22,22,7,7,29,29,5,5,0,0,1,1,3,0,0,0,0,0,102,102
17,13,Clayton Oliver,1,Melbourne,17,17,16,16,33,33,1,1,0,0,3,3,1,1,1,1,0,6,102,102
18,10,Angus Brayshaw,1,Melbourne,16,16,10,10,26,26,5,5,0,0,4,4,1,0,0,0,1,1,101,101
19,10,Daniel Rich,1,Brisbane Lions,20,20,7,7,27,27,7,7,0,0,2,2,0,1,0,0,0,0,100,100
20,11,Jackson Macrae,1,Western Bulldogs,15,15,21,21,36,36,0,0,0,0,3,3,1,0,0,0,0,0,100,100
21,5,Isaac Heeney,1,Sydney,11,11,10,10,21,21,5,5,0,0,2,2,0,1,4,4,1,25,98,98
22,2,Jacob Hopper,1,GWS Giants,11,11,12,12,23,23,2,2,0,0,9,9,1,1,0,0,1,1,98,98
23,4,Marcus Bontempelli,1,Western Bulldogs,16,16,7,7,23,23,4,4,1,1,6,6,1,1,0,0,0,0,97,97
24,7,Xavier Duursma,1,Port Adelaide,11,11,13,13,24,24,7,7,0,0,4,4,1,0,0,0,0,0,97,97
25,22,Joshua Kelly,1,GWS Giants,15,15,13,13,28,28,1,1,0,0,6,6,1,1,0,0,1,1,97,97
26,16,Oliver Wines,1,Port Adelaide,10,10,23,23,33,33,4,4,0,0,2,2,0,1,0,0,1,1,94,94
27,1,Adam Treloar,1,Western Bulldogs,13,13,15,15,28,28,3,3,0,0,5,5,0,2,0,0,1,1,93,93
28,46,Oscar McInerney,1,Brisbane Lions,8,8,9,9,17,17,0,0,30,30,5,5,2,1,0,0,0,0,91,91
29,7,Lachlan Hunter,1,Western Bulldogs,12,12,12,12,24,24,3,3,0,0,5,5,2,0,0,0,0,0,91,91
30,23,Charlie Cameron,1,Brisbane Lions,12,12,1,1,13,13,4,4,0,0,2,2,1,0,5,5,1,31,90,90
31,34,Jordan Dawson,1,Sydney,12,12,6,6,18,18,8,8,0,0,6,6,0,2,0,0,0,0,90,90
32,35,Patrick Dangerfield,1,Geelong,17,17,6,6,23,23,3,3,0,0,5,5,4,2,0,0,0,0,90,90
33,6,Hugh McCluggage,1,Brisbane Lions,15,15,9,9,24,24,3,3,0,0,5,5,1,3,1,1,0,6,90,90
34,19,Nick Haynes,1,GWS Giants,14,14,3,3,17,17,11,11,0,0,2,2,0,0,0,0,0,0,89,89
35,15,Ed Langdon,1,Melbourne,14,14,5,5,19,19,7,7,0,0,2,2,0,0,1,1,1,7,88,88
36,41,Shane Mumford,1,GWS Giants,6,6,8,8,14,14,2,2,36,36,3,3,5,2,0,0,0,0,87,87
37,33,Darcy Byrne-Jones,1,Port Adelaide,17,17,4,4,21,21,8,8,0,0,1,1,0,0,0,0,0,0,87,87
38,3,Brandan Parfitt,1,Geelong,11,11,10,10,21,21,0,0,0,0,8,8,2,1,0,0,2,2,86,86
39,9,Dylan Shiel,1,Essendon,16,16,8,8,24,24,3,3,0,0,4,4,0,1,0,0,0,0,86,86
40,1,Thomas Jonas,1,Port Adelaide,14,14,4,4,18,18,9,9,0,0,2,2,0,0,0,0,0,0,85,85
41,3,Ryan Burton,1,Port Adelaide,19,19,2,2,21,21,6,6,0,0,2,2,1,1,0,0,0,0,85,85
42,21,Dyson Heppell,1,Essendon,12,12,12,12,24,24,7,7,0,0,1,1,0,0,0,0,0,0,85,85
43,31,Tom Hickey,1,Sydney,11,11,4,4,15,15,5,5,33,33,0,0,0,2,0,0,1,1,84,84
44,14,Miles Bergman,1,Port Adelaide,14,14,4,4,18,18,7,7,0,0,3,3,0,0,0,0,1,1,84,84
45,24,Dane Rampe,1,Sydney,11,11,10,10,21,21,3,3,0,0,6,6,1,1,0,0,0,0,84,84
46,6,Lachie Whitfield,1,GWS Giants,14,14,7,7,21,21,4,4,0,0,4,4,0,0,0,0,0,0,84,84
47,31,Bayley Fritsch,1,Melbourne,7,7,0,0,7,7,5,5,0,0,5,5,1,0,4,4,1,25,82,82
48,5,Dan Houston,1,Port Adelaide,9,9,11,11,20,20,8,8,0,0,2,2,1,0,0,0,0,0,82,82
49,5,Mitch Robinson,1,Brisbane Lions,15,15,10,10,25,25,4,4,0,0,1,1,0,0,0,0,0,0,81,81
